wavelength[m],n,k
2.5000000000000004e-07,1.600554,0.0
2.6e-07,1.598573,0.0
2.7e-07,1.594827,0.0
2.8e-07,1.589698,0.0
2.9000000000000003e-07,1.580481,0.0
3.0000000000000004e-07,1.57886,0.0
3.1e-07,1.573996,0.0
3.2e-07,1.570455,0.0
3.3e-07,1.567529,0.0
3.4000000000000003e-07,1.565412,0.0
3.5000000000000004e-07,1.562746,0.0
3.6000000000000005e-07,1.560887,0.0
3.7e-07,1.55766,0.0
3.8e-07,1.556334,0.0
3.9e-07,1.554327,0.0
4.0000000000000003e-07,1.553069,0.0
4.1000000000000004e-07,1.550919,0.0
4.2e-07,1.550192,0.0
4.3e-07,1.549295,0.0
4.4e-07,1.548726,0.0
4.5000000000000003e-07,1.547578,0.0
4.6000000000000004e-07,1.546176,0.0
4.7000000000000005e-07,1.545128,0.0
4.800000000000001e-07,1.544499,0.0
4.900000000000001e-07,1.544377,0.0
5.000000000000001e-07,1.543887,0.0
5.1e-07,1.542843,0.0
5.2e-07,1.541416,0.0
5.3e-07,1.541853,0.0
5.4e-07,1.541278,0.0
5.5e-07,1.540888,0.0
5.6e-07,1.541587,0.0
5.7e-07,1.541599,0.0
5.800000000000001e-07,1.540024,0.0
5.900000000000001e-07,1.539081,0.0
6.000000000000001e-07,1.539439,0.0
6.100000000000001e-07,1.537805,0.0
6.2e-07,1.537365,0.0
6.3e-07,1.536842,0.0
6.4e-07,1.535643,0.0
6.5e-07,1.535242,0.0
6.6e-07,1.53533,0.0
6.7e-07,1.53487,0.0
6.800000000000001e-07,1.534056,0.0
6.900000000000001e-07,1.533884,0.0
7.000000000000001e-07,1.533791,0.0
7.100000000000001e-07,1.532683,0.0
7.200000000000001e-07,1.533638,0.0
7.3e-07,1.533646,0.0
7.4e-07,1.532032,0.0
7.5e-07,1.531743,0.0
7.6e-07,1.532456,0.0
7.7e-07,1.531269,0.0
7.8e-07,1.531927,0.0
7.900000000000001e-07,1.532355,0.0
8.000000000000001e-07,1.531374,0.0
8.100000000000001e-07,1.530895,0.0
8.200000000000001e-07,1.529314,0.0
8.300000000000001e-07,1.529998,0.0
8.4e-07,1.53049,0.0
8.5e-07,1.532562,0.0
