wavelength[m],n,k
1.87856335e-07,0.995,1.13
1.8929035300000003e-07,1.00425,1.149375
1.9074643300000002e-07,1.012,1.16
1.9222508700000001e-07,1.0195,1.168125
1.93726846e-07,1.028,1.18
1.95252254e-07,1.0375,1.194375
1.9680187500000001e-07,1.048,1.21
1.9837629000000002e-07,1.059625,1.225625
1.99976099e-07,1.072,1.24
2.01601921e-07,1.084812,1.25125
2.0325439600000004e-07,1.098,1.26
2.04934184e-07,1.111625,1.265625
2.06641969e-07,1.125,1.27
2.08378456e-07,1.137188,1.275
2.1014437500000002e-07,1.149,1.28
2.1194048100000003e-07,1.161438,1.285312
2.13767554e-07,1.173,1.29
2.1562640200000003e-07,1.181875,1.292813
2.1751786200000003e-07,1.19,1.295
2.1944279900000003e-07,1.199125,1.2975
2.21402109e-07,1.208,1.3
2.2339672300000003e-07,1.215688,1.3025
2.25427602e-07,1.223,1.305
2.2749574500000002e-07,1.230688,1.307187
2.2960218800000001e-07,1.238,1.31
2.3174800200000003e-07,1.244,1.314687
2.33934304e-07,1.25,1.32
2.3616225000000003e-07,1.257188,1.325
2.38433041e-07,1.265,1.33
2.40747925e-07,1.273437,1.335
2.4310819900000004e-07,1.282,1.34
2.4551521000000003e-07,1.289687,1.345625
2.47970363e-07,1.298,1.35
2.50475114e-07,1.308563,1.350625
2.53030982e-07,1.32,1.35
2.55639549e-07,1.331063,1.35
2.58302461e-07,1.343,1.35
2.61021434e-07,1.356938,1.35125
2.63798258e-07,1.372,1.35
2.66634798e-07,1.3875,1.34125
2.6953300300000005e-07,1.404,1.33
2.7249490400000003e-07,1.422312,1.321875
2.75522625e-07,1.441,1.31
2.78618385e-07,1.459188,1.288125
2.81784503e-07,1.476,1.26
2.8502340500000006e-07,1.490125,1.22875
2.88337631e-07,1.502,1.19
2.91729838e-07,1.513563,1.143
2.9520281300000004e-07,1.519,1.08
2.9875947300000006e-07,1.519375,0.988813
3.02402881e-07,1.496,0.882
3.0613625e-07,1.4325,0.761063
3.09962953e-07,1.323,0.647
3.13886535e-07,1.142062,0.550875
3.1791072100000004e-07,0.932,0.504
3.22039432e-07,0.719062,0.554375
3.26276793e-07,0.526,0.663
3.3062715e-07,0.388125,0.818563
3.35095085e-07,0.294,0.986
3.3968542800000003e-07,0.253313,1.120687
3.4440328100000003e-07,0.238,1.24
3.49254032e-07,0.221438,1.34525
3.5424337500000004e-07,0.209,1.44
3.59377337e-07,0.194813,1.53375
3.6466229800000006e-07,0.186,1.61
3.7010501900000006e-07,0.192063,1.641875
3.75712671e-07,0.2,1.67
3.8149286600000003e-07,0.198063,1.735
3.87453692e-07,0.192,1.81
3.9360375000000003e-07,0.182,1.87875
3.99952198e-07,0.173,1.95
4.06508791e-07,0.172625,2.029375
4.13283938e-07,0.173,2.11
4.2028875000000003e-07,0.166688,2.18625
4.27535108e-07,0.16,2.26
4.3503572400000006e-07,0.1585,2.329375
4.42804219e-07,0.157,2.4
4.50855205e-07,0.151063,2.47875
4.592043750000001e-07,0.144,2.56
4.67868609e-07,0.137313,2.64
4.76866082e-07,0.132,2.72
4.86216397e-07,0.13025,2.798125
4.95940725e-07,0.13,2.88
5.06061964e-07,0.129938,2.97375
5.16604922e-07,0.13,3.07
5.27596516e-07,0.130063,3.159375
5.390660060000001e-07,0.129,3.25
5.5104525e-07,0.124375,3.348125
5.63569006e-07,0.12,3.45
5.76675262e-07,0.119313,3.55375
5.904056250000001e-07,0.121,3.66
6.04805762e-07,0.1255,3.76625
6.19925906e-07,0.131,3.88
6.358214430000001e-07,0.136125,4.010625
6.52553586e-07,0.14,4.15
6.70190169e-07,0.140063,4.293125
6.888065630000001e-07,0.14,4.44
7.084867500000001e-07,0.144313,4.58625
7.293245960000001e-07,0.148,4.74
7.51425341e-07,0.145875,4.908125
7.74907383e-07,0.143,5.09
7.999043950000001e-07,0.142563,5.28875
8.26567875e-07,0.145,5.5
8.55070216e-07,0.151938,5.720624
8.85608438e-07,0.163,5.95
9.184087500000002e-07,0.179875,6.183125
9.53732164e-07,0.198,6.43
9.9188145e-07,0.212625,6.6975
1.03320984e-06,0.226,6.99
1.0781320100000002e-06,0.235375,7.31375
1.12713801e-06,0.251,7.67
1.1808112500000001e-06,0.287375,8.060625
1.2398518099999999e-06,0.329,8.49
1.3051071700000002e-06,0.36,8.95375
1.3776131300000001e-06,0.396,9.48
1.4586491900000002e-06,0.438563,10.11437
1.54981477e-06,0.514,10.8
1.65313575e-06,0.672625,11.445
1.7712168800000001e-06,0.844,12.2
1.90746433e-06,0.987875,13.155
2.0664196900000003e-06,1.064,14.4
