wavelength[m],n,k
1.8368175e-07,0.102,2.07
1.85052509e-07,0.104385,2.085002
1.8644388200000002e-07,0.106203,2.103344
1.87856335e-07,0.107628,2.124184
1.8929035300000003e-07,0.108835,2.146683
1.9074643300000002e-07,0.11,2.17
1.9222508700000001e-07,0.111298,2.193295
1.93726846e-07,0.112904,2.215727
1.95252254e-07,0.114761,2.237511
1.9680187500000001e-07,0.116812,2.258863
1.9837629000000002e-07,0.119,2.28
1.99976099e-07,0.121268,2.301136
2.01601921e-07,0.123559,2.322489
2.0325439600000004e-07,0.125816,2.344273
2.04934184e-07,0.127982,2.366705
2.06641969e-07,0.13,2.39
2.08378456e-07,0.131813,2.414375
2.1014437500000002e-07,0.134,2.44
2.1194048100000003e-07,0.136438,2.465625
2.13767554e-07,0.139,2.49
2.1562640200000003e-07,0.1415,2.509375
2.1751786200000003e-07,0.144,2.53
2.1944279900000003e-07,0.146438,2.559375
2.21402109e-07,0.149,2.59
2.2339672300000003e-07,0.151875,2.615
2.25427602e-07,0.155,2.64
2.2749574500000002e-07,0.1585,2.669375
2.2960218800000001e-07,0.162,2.7
2.3174800200000003e-07,0.164938,2.73
2.33934304e-07,0.168,2.76
2.3616225000000003e-07,0.171938,2.79
2.38433041e-07,0.176,2.82
2.40747925e-07,0.179563,2.85
2.4310819900000004e-07,0.183,2.88
2.4551521000000003e-07,0.1865,2.909375
2.47970363e-07,0.19,2.94
2.50475114e-07,0.193438,2.975
2.53030982e-07,0.197,3.01
2.55639549e-07,0.200938,3.039375
2.58302461e-07,0.205,3.07
2.61021434e-07,0.208875,3.109375
2.63798258e-07,0.213,3.15
2.66634798e-07,0.217875,3.185
2.6953300300000005e-07,0.223,3.22
2.7249490400000003e-07,0.227938,3.259375
2.75522625e-07,0.233,3.3
2.78618385e-07,0.238438,3.339375
2.81784503e-07,0.244,3.38
2.8502340500000006e-07,0.249438,3.425
2.88337631e-07,0.255,3.47
2.91729838e-07,0.260875,3.51
2.9520281300000004e-07,0.267,3.55
2.9875947300000006e-07,0.273375,3.59375
3.02402881e-07,0.28,3.64
3.0613625e-07,0.286813,3.689375
3.09962953e-07,0.294,3.74
3.13886535e-07,0.301875,3.789375
3.1791072100000004e-07,0.31,3.84
3.22039432e-07,0.317875,3.894375
3.26276793e-07,0.326,3.95
3.3062715e-07,0.33475,4.005
3.35095085e-07,0.344,4.06
3.3968542800000003e-07,0.353813,4.11375
3.4440328100000003e-07,0.364,4.17
3.49254032e-07,0.374375,4.23375
3.5424337500000004e-07,0.385,4.3
3.59377337e-07,0.39575,4.365
3.6466229800000006e-07,0.407,4.43
3.7010501900000006e-07,0.419125,4.49375
3.75712671e-07,0.432,4.56
3.8149286600000003e-07,0.445688,4.63375
3.87453692e-07,0.46,4.71
3.9360375000000003e-07,0.474688,4.784375
3.99952198e-07,0.49,4.86
4.06508791e-07,0.506188,4.938125
4.13283938e-07,0.523,5.02
4.2028875000000003e-07,0.540063,5.10875
4.27535108e-07,0.558,5.2
4.3503572400000006e-07,0.577313,5.29
4.42804219e-07,0.598,5.38
4.50855205e-07,0.620313,5.48
4.592043750000001e-07,0.644,5.58
4.67868609e-07,0.668625,5.69
4.76866082e-07,0.695,5.8
4.86216397e-07,0.72375,5.915
4.95940725e-07,0.755,6.03
5.06061964e-07,0.789,6.15
5.16604922e-07,0.826,6.28
5.27596516e-07,0.867,6.42
5.390660060000001e-07,0.912,6.55
5.5104525e-07,0.963,6.7
5.63569006e-07,1.02,6.85
5.76675262e-07,1.08,7.0
5.904056250000001e-07,1.15,7.15
6.04805762e-07,1.22,7.31
6.19925906e-07,1.3,7.48
6.358214430000001e-07,1.39,7.65
6.52553586e-07,1.49,7.82
6.70190169e-07,1.6,8.01
6.888065630000001e-07,1.74,8.21
7.084867500000001e-07,1.91,8.39
7.293245960000001e-07,2.14,8.57
7.51425341e-07,2.41,8.62
7.74907383e-07,2.63,8.6
7.999043950000001e-07,2.8,8.45
8.26567875e-07,2.74,8.31
8.55070216e-07,2.58,8.21
8.85608438e-07,2.24,8.21
9.184087500000002e-07,1.86,8.44
9.53732164e-07,1.47,8.95
9.9188145e-07,1.37,9.49
1.03320984e-06,1.26,10.0
1.0781320100000002e-06,1.21,10.6
1.12713801e-06,1.2,11.2
1.1808112500000001e-06,1.21,11.8
1.2398518099999999e-06,1.21,12.5
1.3051071700000002e-06,1.23,13.2
1.3776131300000001e-06,1.26,14.0
1.4586491900000002e-06,1.33,14.9
1.54981477e-06,1.44,16.0
1.65313575e-06,1.59,17.1
1.7712168800000001e-06,1.77,18.3
1.90746433e-06,1.99,19.8
2.0664196900000003e-06,2.27,21.4
2.25427602e-06,2.62,23.3
2.47970363e-06,3.07,25.6
