wavelength[m],n,k
2.5000000000000004e-07,1.7331,0.0
2.75e-07,1.7163,0.0
3.0000000000000004e-07,1.7042,0.0
3.25e-07,1.6951,0.0
3.5000000000000004e-07,1.6881,0.0
3.75e-07,1.6825,0.0
4.0000000000000003e-07,1.678,0.0
4.25e-07,1.6743,0.0
4.5000000000000003e-07,1.6713,0.0
4.75e-07,1.6687,0.0
5.000000000000001e-07,1.6665,0.0
5.250000000000001e-07,1.6646,0.0
5.5e-07,1.6629,0.0
5.75e-07,1.6614,0.0
6.000000000000001e-07,1.6601,0.0
6.25e-07,1.659,0.0
6.5e-07,1.6579,0.0
6.75e-07,1.657,0.0
7.000000000000001e-07,1.6561,0.0
7.25e-07,1.6553,0.0
7.5e-07,1.6546,0.0
7.750000000000001e-07,1.6539,0.0
8.000000000000001e-07,1.6532,0.0
8.25e-07,1.6526,0.0
8.5e-07,1.652,0.0
8.750000000000001e-07,1.6515,0.0
9.000000000000001e-07,1.6509,0.0
