wavelength[m],n,k
2.06641969e-07,1.834,0.0
2.1014437500000002e-07,1.833664,0.0
2.13767554e-07,1.833552,0.0
2.1751786200000003e-07,1.833608,0.0
2.21402109e-07,1.833776,0.0
2.25427602e-07,1.834,0.0
2.2960218800000001e-07,1.834224,0.0
2.33934304e-07,1.834392,0.0
2.38433041e-07,1.834448,0.0
2.4310819900000004e-07,1.834336,0.0
2.47970363e-07,1.834,0.0
2.53030982e-07,1.833256,0.0
2.58302461e-07,1.832208,0.0
2.63798258e-07,1.830832,0.0
2.6953300300000005e-07,1.829104,0.0
2.75522625e-07,1.827,0.0
2.81784503e-07,1.823984,0.0
2.88337631e-07,1.820672,0.0
2.9520281300000004e-07,1.817168,0.0
3.02402881e-07,1.813576,0.0
3.09962953e-07,1.81,0.0
3.1791072100000004e-07,1.806992,0.0
3.26276793e-07,1.804096,0.0
3.35095085e-07,1.801304,0.0
3.4440328100000003e-07,1.798608,0.0
3.5424337500000004e-07,1.796,0.0
3.6466229800000006e-07,1.793408,0.0
3.75712671e-07,1.790904,0.0
3.87453692e-07,1.788496,0.0
3.99952198e-07,1.786192,0.0
4.13283938e-07,1.784,0.0
4.27535108e-07,1.782024,0.0
4.42804219e-07,1.780152,0.0
4.592043750000001e-07,1.778368,0.0
4.76866082e-07,1.776656,0.0
4.95940725e-07,1.775,0.0
5.16604922e-07,1.773352,0.0
5.390660060000001e-07,1.771736,0.0
5.63569006e-07,1.770144,0.0
5.904056250000001e-07,1.768568,0.0
6.19925906e-07,1.767,0.0
6.52553586e-07,1.7654,0.0
6.888065630000001e-07,1.7638,0.0
7.293245960000001e-07,1.7622,0.0
7.74907383e-07,1.7606,0.0
8.26567875e-07,1.759,0.0
8.85608438e-07,1.7574,0.0
9.53732164e-07,1.7558,0.0
1.03320984e-06,1.7542,0.0
1.12713801e-06,1.7526,0.0
1.2398518099999999e-06,1.751,0.0
1.3776131300000001e-06,1.749,0.0
1.54981477e-06,1.746,0.0
1.7712168800000001e-06,1.742,0.0
2.0664196900000003e-06,1.736,0.0
2.47970363e-06,1.726,0.0
