wavelength[m],n,k
2.75829102e-07,4.042,3.1153
2.76752637e-07,4.0834,3.0643
2.77682377e-07,4.1136,3.016
2.78618385e-07,4.1327,2.9726
2.7956072400000003e-07,4.147,2.9304
2.8050946e-07,4.1611,2.8858
2.81464657e-07,4.1724,2.8396
2.82426381e-07,4.1817,2.7929
2.833947e-07,4.1928,2.7458
2.84369682e-07,4.2067,2.6981
2.8535139500000003e-07,4.2168,2.6542
2.86339911e-07,4.2213,2.6147
2.87335298e-07,4.2238,2.5779
2.88337631e-07,4.2229,2.5446
2.8934698100000004e-07,4.2222,2.5124
2.9036342200000004e-07,4.2242,2.4819
2.9138703e-07,4.2261,2.4534
2.9241788000000006e-07,4.2291,2.4237
2.9345605e-07,4.2328,2.3921
2.9450161800000004e-07,4.2344,2.361
2.95554663e-07,4.233,2.3337
2.9661526600000005e-07,4.2323,2.3098
2.97683509e-07,4.2352,2.2891
2.9875947300000006e-07,4.2387,2.272
2.9984324400000003e-07,4.2411,2.2553
3.0093490600000004e-07,4.2418,2.2387
3.02034546e-07,4.2409,2.2234
3.03142253e-07,4.2397,2.2076
3.04258114e-07,4.2387,2.1911
3.0538222000000006e-07,4.2391,2.1766
3.06514663e-07,4.2432,2.1644
3.07655537e-07,4.2521,2.1518
3.08804935e-07,4.2632,2.1388
3.09962953e-07,4.2742,2.1267
3.1112969e-07,4.2866,2.113
3.12305243e-07,4.3002,2.0989
3.13489712e-07,4.3145,2.0865
3.1468320100000003e-07,4.3301,2.0738
3.15885812e-07,4.3477,2.0594
3.1709765e-07,4.3684,2.0448
3.18318822e-07,4.3907,2.0306
3.1954943600000004e-07,4.4109,2.0158
3.2078960200000004e-07,4.4286,1.9985
3.22039432e-07,4.448,1.9776
3.23299039e-07,4.4712,1.9532
3.24568537e-07,4.493,1.9269
3.25848045e-07,4.5114,1.8996
3.27137682e-07,4.5292,1.8701
3.28437566e-07,4.5476,1.8385
3.29747823e-07,4.5665,1.8051
3.3106857500000003e-07,4.5838,1.7717
3.3239995e-07,4.5985,1.739
3.3374207600000004e-07,4.6134,1.7042
3.35095085e-07,4.6316,1.6667
3.3645910800000003e-07,4.6519,1.6284
3.37834281e-07,4.6703,1.5889
3.39220742e-07,4.6874,1.5467
3.4061863e-07,4.7042,1.5026
3.42028086e-07,4.7183,1.4571
3.43449256e-07,4.7289,1.4094
3.4488228500000003e-07,4.7362,1.3616
3.46327322e-07,4.739,1.3145
3.4778452e-07,4.739,1.2659
3.49254032e-07,4.7382,1.2168
3.50736015e-07,4.7347,1.1698
3.5223062900000003e-07,4.7272,1.1236
3.5373803500000006e-07,4.7179,1.0761
3.5525839900000004e-07,4.7073,1.0288
3.5679188900000003e-07,4.6932,0.98382
3.58338674e-07,4.676,0.94133
3.5989893e-07,4.6565,0.90251
3.61472832e-07,4.6348,0.8659
3.6306056000000004e-07,4.6133,0.82946
3.6466229800000006e-07,4.5921,0.79465
3.66278231e-07,4.5695,0.76266
3.6790855e-07,4.5457,0.73184
