wavelength[m],n,k
2.5000000000000004e-07,0.156487,2.295574
2.55e-07,0.163833,2.313968
2.6e-07,0.169489,2.359777
2.65e-07,0.173898,2.421387
2.7e-07,0.177503,2.487185
2.75e-07,0.180418,2.537015
2.8e-07,0.18408,2.584888
2.85e-07,0.190636,2.639921
2.9000000000000003e-07,0.198064,2.69664
2.9500000000000003e-07,0.205186,2.752498
3.0000000000000004e-07,0.211614,2.807837
3.0500000000000004e-07,0.215789,2.861916
3.1e-07,0.220042,2.915433
3.15e-07,0.22647,2.968448
3.2e-07,0.234219,3.02213
3.25e-07,0.244185,3.078488
3.3e-07,0.25321,3.135056
3.35e-07,0.256589,3.189678
3.4000000000000003e-07,0.259859,3.243432
3.4500000000000003e-07,0.268986,3.296397
3.5000000000000004e-07,0.277974,3.349415
3.5500000000000004e-07,0.28022,3.404014
3.6000000000000005e-07,0.283517,3.458216
3.65e-07,0.296547,3.509495
3.7e-07,0.310043,3.561027
3.75e-07,0.315274,3.616131
3.8e-07,0.319313,3.671854
3.85e-07,0.326216,3.726072
3.9e-07,0.336304,3.77962
3.9500000000000003e-07,0.354278,3.83213
4.0000000000000003e-07,0.371052,3.885093
4.0500000000000004e-07,0.376196,3.939565
4.1000000000000004e-07,0.378449,3.99648
4.1500000000000005e-07,0.382388,4.059748
4.2e-07,0.390067,4.121498
4.25e-07,0.408473,4.171356
4.3e-07,0.427392,4.220753
4.35e-07,0.435067,4.281133
4.4e-07,0.44312,4.342093
4.4500000000000003e-07,0.463485,4.396205
4.5000000000000003e-07,0.483467,4.445996
4.5500000000000004e-07,0.490653,4.488146
4.6000000000000004e-07,0.496135,4.532772
4.6500000000000005e-07,0.508856,4.594168
4.7000000000000005e-07,0.522849,4.656487
4.75e-07,0.534813,4.704552
4.800000000000001e-07,0.545698,4.750657
4.85e-07,0.553639,4.803677
4.900000000000001e-07,0.563789,4.858696
4.95e-07,0.583779,4.913237
5.000000000000001e-07,0.604313,4.968865
5.05e-07,0.61602,5.0287
5.1e-07,0.626753,5.085599
5.15e-07,0.643463,5.130123
5.2e-07,0.659483,5.17227
5.250000000000001e-07,0.66871,5.221686
5.3e-07,0.676407,5.269992
5.350000000000001e-07,0.685166,5.309886
5.4e-07,0.696897,5.34778
5.450000000000001e-07,0.715984,5.387094
5.5e-07,0.7376,5.429519
5.550000000000001e-07,0.758894,5.480131
5.6e-07,0.778321,5.532201
5.65e-07,0.791122,5.578501
5.7e-07,0.804088,5.625605
5.75e-07,0.824633,5.678329
5.800000000000001e-07,0.846129,5.734722
5.85e-07,0.863396,5.796947
5.900000000000001e-07,0.879501,5.857492
5.95e-07,0.896496,5.908688
6.000000000000001e-07,0.912249,5.95317
6.05e-07,0.922501,5.989237
6.100000000000001e-07,0.935688,6.02224
6.15e-07,0.961408,6.055367
6.2e-07,0.991916,6.093397
6.25e-07,1.02419,6.147973
6.3e-07,1.053656,6.201692
6.350000000000001e-07,1.070788,6.235268
6.4e-07,1.087422,6.265997
6.450000000000001e-07,1.116477,6.307863
6.5e-07,1.145172,6.351516
6.550000000000001e-07,1.162157,6.391303
6.6e-07,1.176053,6.430112
6.650000000000001e-07,1.189321,6.469171
6.7e-07,1.209095,6.50781
6.75e-07,1.248713,6.545737
6.800000000000001e-07,1.292017,6.583038
6.85e-07,1.325103,6.619649
6.900000000000001e-07,1.354554,6.65572
6.95e-07,1.382236,6.690845
7.000000000000001e-07,1.408404,6.726626
7.05e-07,1.432585,6.766716
7.100000000000001e-07,1.458822,6.804561
7.15e-07,1.492139,6.83351
7.200000000000001e-07,1.529111,6.8575
7.25e-07,1.569096,6.876251
7.3e-07,1.608771,6.895767
7.350000000000001e-07,1.642775,6.924725
7.4e-07,1.676585,6.95482
7.450000000000001e-07,1.714285,6.980029
7.5e-07,1.75469,7.002186
7.550000000000001e-07,1.801329,7.021618
7.6e-07,1.844143,7.036818
7.650000000000001e-07,1.868354,7.045407
7.7e-07,1.891647,7.050321
7.750000000000001e-07,1.931045,7.054325
7.8e-07,1.97376,7.055557
7.85e-07,2.011793,7.053227
7.900000000000001e-07,2.047796,7.046875
7.95e-07,2.082997,7.035734
8.000000000000001e-07,2.113673,7.01993
8.05e-07,2.136357,6.996832
8.100000000000001e-07,2.15151,6.97394
8.15e-07,2.157922,6.963675
8.200000000000001e-07,2.157147,6.948639
8.25e-07,2.151296,6.909702
8.300000000000001e-07,2.137493,6.86447
8.35e-07,2.112098,6.826813
8.4e-07,2.079508,6.788807
8.450000000000001e-07,2.04494,6.741091
8.5e-07,2.002293,6.701838
8.550000000000001e-07,1.942751,6.693566
8.6e-07,1.879684,6.693874
8.650000000000001e-07,1.82532,6.680408
8.7e-07,1.774271,6.675537
8.750000000000001e-07,1.725275,6.709201
8.8e-07,1.678188,6.736331
8.850000000000001e-07,1.641538,6.712652
8.900000000000001e-07,1.588052,6.665723
8.95e-07,1.499407,6.605146
9.000000000000001e-07,1.357281,6.540522
