wavelength[m],n,k
2.06641969e-07,1.36773,2.408635
2.0733307900000002e-07,1.366706,2.425231
2.0802882800000003e-07,1.363513,2.437054
2.08729261e-07,1.36385,2.449338
2.09434428e-07,1.361771,2.459857
2.1014437500000002e-07,1.360299,2.475115
2.1085915200000002e-07,1.355457,2.488745
2.11578808e-07,1.358509,2.505798
2.1230339300000001e-07,1.360557,2.525156
2.1303295800000003e-07,1.35678,2.541649
2.13767554e-07,1.353672,2.560094
2.1450723400000003e-07,1.357826,2.579203
2.15252051e-07,1.360648,2.600473
2.1600205800000003e-07,1.365027,2.622416
2.1675731e-07,1.365157,2.642255
2.1751786200000003e-07,1.368879,2.666583
2.1828377e-07,1.372645,2.691017
2.19055091e-07,1.379928,2.71482
2.1983188200000003e-07,1.383415,2.738823
2.20614202e-07,1.39051,2.767717
2.21402109e-07,1.398542,2.791589
2.2219566500000002e-07,1.406065,2.818798
2.2299493000000003e-07,1.4145,2.846713
2.2379996600000001e-07,1.424394,2.874825
2.24610836e-07,1.435944,2.904395
2.25427602e-07,1.447533,2.934761
2.2625033100000001e-07,1.46101,2.965337
2.27079087e-07,1.475797,2.999766
2.2791393600000002e-07,1.490617,3.032514
2.28754947e-07,1.507601,3.068018
2.2960218800000001e-07,1.528185,3.104239
2.30455727e-07,1.549184,3.142183
2.31315637e-07,1.573706,3.179307
2.32181987e-07,1.599737,3.216152
2.3305485200000004e-07,1.629322,3.254536
2.33934304e-07,1.660722,3.293328
2.34820419e-07,1.694997,3.330937
2.35713272e-07,1.732781,3.367088
2.3661294100000003e-07,1.771878,3.404514
2.3751950400000003e-07,1.812821,3.44081
2.38433041e-07,1.857134,3.475461
2.3935363200000003e-07,1.902588,3.50961
2.4028135900000004e-07,1.951164,3.541881
2.4121630600000003e-07,2.001702,3.575438
2.42158557e-07,2.055129,3.605436
2.4310819900000004e-07,2.110081,3.634532
2.44065318e-07,2.167775,3.662261
2.4503000300000003e-07,2.226578,3.688884
2.46002344e-07,2.289519,3.714884
2.46982433e-07,2.355277,3.740512
2.47970363e-07,2.425725,3.762865
2.48966227e-07,2.501001,3.783535
2.4997012400000003e-07,2.581557,3.800385
2.50982148e-07,2.664463,3.810394
2.52002401e-07,2.749063,3.81525
2.53030982e-07,2.83313,3.814589
2.5406799400000003e-07,2.914522,3.807181
2.55113542e-07,2.996082,3.79702
2.5616773e-07,3.073597,3.783924
2.57230667e-07,3.151824,3.773685
2.58302461e-07,3.23273,3.76488
2.59383224e-07,3.322136,3.756563
2.6047307e-07,3.424154,3.742109
2.61572112e-07,3.537803,3.710999
2.6268046900000003e-07,3.651115,3.655933
2.63798258e-07,3.750522,3.582209
2.64925601e-07,3.837582,3.500773
2.66062621e-07,3.91206,3.418681
2.6720944200000006e-07,3.983938,3.333623
2.68366193e-07,4.052369,3.237316
2.6953300300000005e-07,4.106817,3.127372
2.70710003e-07,4.139107,3.011511
2.7189732700000004e-07,4.150104,2.901179
2.7309511300000004e-07,4.145312,2.801643
2.74303498e-07,4.131001,2.714043
2.75522625e-07,4.111799,2.63928
2.76752637e-07,4.089559,2.574093
2.7799368e-07,4.067288,2.518199
2.7924590400000003e-07,4.045513,2.468813
2.8050946e-07,4.024508,2.426393
2.81784503e-07,4.003805,2.388821
2.8307119000000003e-07,3.985286,2.355067
2.84369682e-07,3.968649,2.326177
2.85680141e-07,3.953465,2.300017
2.87002734e-07,3.939252,2.277394
2.88337631e-07,3.92748,2.256335
2.8968500300000003e-07,3.916428,2.238172
2.91045027e-07,3.908105,2.222002
2.9241788000000006e-07,3.901985,2.206774
2.93803747e-07,3.896515,2.194345
2.9520281300000004e-07,3.893319,2.183481
2.9661526600000005e-07,3.891694,2.173419
2.98041301e-07,3.892528,2.164334
2.99481114e-07,3.894084,2.156829
3.0093490600000004e-07,3.898038,2.150068
3.02402881e-07,3.903663,2.143751
3.03885248e-07,3.911214,2.138334
3.0538222000000006e-07,3.920773,2.133301
3.06894013e-07,3.932445,2.128372
3.08420849e-07,3.945931,2.123722
3.09962953e-07,3.962049,2.119132
3.1152055600000003e-07,3.980025,2.114298
3.13093892e-07,4.000175,2.109902
3.1468320100000003e-07,4.023803,2.104628
3.1628872800000003e-07,4.049469,2.098489
3.1791072100000004e-07,4.077944,2.091666
3.1954943600000004e-07,4.110074,2.082821
3.2120513300000003e-07,4.14512,2.071383
3.2287807600000005e-07,4.183635,2.057121
3.24568537e-07,4.22442,2.03744
3.26276793e-07,4.266706,2.013328
3.2800312500000003e-07,4.309442,1.982972
3.29747823e-07,4.350698,1.948058
3.3151118000000003e-07,4.390663,1.909032
3.33293498e-07,4.428,1.865246
3.35095085e-07,4.462547,1.819638
3.36916254e-07,4.49483,1.773796
3.38757326e-07,4.524928,1.72615
3.4061863e-07,4.555778,1.675362
3.42500501e-07,4.58576,1.620188
3.4440328100000003e-07,4.613389,1.561012
3.46327322e-07,4.64256,1.492996
3.4827298100000005e-07,4.657414,1.424354
3.5024062500000004e-07,4.668477,1.349335
3.5223062900000003e-07,4.672393,1.271014
3.5424337500000004e-07,4.6665,1.199167
3.56279257e-07,4.65393,1.128314
3.58338674e-07,4.636009,1.062005
3.6042203900000003e-07,4.613459,1.001007
3.6252977e-07,4.588688,0.943815
3.6466229800000006e-07,4.561718,0.890362
3.66820063e-07,4.531853,0.843581
3.6900351600000003e-07,4.502514,0.797599
3.7121311800000003e-07,4.472733,0.756404
3.7344934100000004e-07,4.442775,0.718797
3.75712671e-07,4.413115,0.684523
3.78003601e-07,4.384969,0.651483
3.80322642e-07,4.357731,0.620989
3.8267031300000005e-07,4.330487,0.592562
3.85047147e-07,4.303158,0.566585
3.87453692e-07,4.277103,0.540734
3.8989050700000005e-07,4.25099,0.51757
3.92358169e-07,4.226199,0.496117
3.94857265e-07,4.201487,0.474233
3.97388402e-07,4.177989,0.455156
3.99952198e-07,4.154938,0.43693
4.0254929000000003e-07,4.13286,0.419404
4.0518033100000007e-07,4.111485,0.399825
4.0784599100000006e-07,4.090594,0.38326
4.1054695800000006e-07,4.069854,0.368602
4.13283938e-07,4.050424,0.352885
4.1605765500000005e-07,4.031247,0.336511
4.18868856e-07,4.012777,0.323905
4.2171830400000004e-07,3.995358,0.307616
4.24606785e-07,3.978005,0.292069
4.27535108e-07,3.960989,0.276093
4.30504102e-07,3.943318,0.260703
4.3351462e-07,3.925343,0.245532
4.3656754e-07,3.906948,0.233642
4.3966376300000005e-07,3.888981,0.219021
4.42804219e-07,3.87173,0.204689
4.4598986100000006e-07,3.853474,0.192287
4.49221671e-07,3.835718,0.185834
4.5250066200000003e-07,3.818955,0.173774
4.5582787200000004e-07,3.802142,0.167151
4.592043750000001e-07,3.786868,0.16072
4.6263127300000007e-07,3.772651,0.152386
4.661097040000001e-07,3.76129,0.14508
4.69640838e-07,3.754749,0.134214
4.7322588300000006e-07,3.746088,0.120248
4.76866082e-07,3.738295,0.103979
4.805627180000001e-07,3.726269,0.084574
4.84317114e-07,3.712087,0.064318
4.88130635e-07,3.69125,0.041508
4.92004688e-07,3.663218,0.023997
4.95940725e-07,3.635356,0.012919
4.999402470000001e-07,3.607969,0.005023
5.04004802e-07,3.580019,0.002558
5.081359890000001e-07,3.556797,0.003764
5.1233546e-07,3.537062,0.004189
5.16604922e-07,3.518755,0.003474
5.2094614e-07,3.500172,0.00258
5.253609380000001e-07,3.482681,0.00359
5.29851202e-07,3.468162,0.004247
5.344188850000001e-07,3.454344,0.003216
5.390660060000001e-07,3.440216,0.002735
5.437946550000001e-07,3.428871,0.002921
5.48606997e-07,3.414818,0.000801
5.53505274e-07,3.400288,1.1e-05
5.584918080000001e-07,3.388905,0.0
5.63569006e-07,3.37766,0.0
5.68739364e-07,3.366776,0.0
5.74005469e-07,3.355161,0.0
5.793700060000001e-07,3.344086,0.0
5.848357610000001e-07,3.33273,0.0
5.904056250000001e-07,3.322299,0.0
5.96082602e-07,3.312342,0.0
6.018698120000001e-07,3.302316,0.0
6.07770497e-07,3.293934,0.0
6.13788026e-07,3.285523,0.0
6.19925906e-07,3.277094,0.0
6.26187784e-07,3.26864,0.0
6.325774560000001e-07,3.260163,0.0
6.390988730000001e-07,3.251616,0.0
6.457561530000001e-07,3.243704,0.0
6.52553586e-07,3.23602,0.0
6.59495645e-07,3.229093,0.0
6.66586996e-07,3.222234,0.0
6.73832507e-07,3.21536,0.0
6.8123726e-07,3.208433,0.0
6.888065630000001e-07,3.201824,0.0
6.965459620000001e-07,3.195821,0.0
7.044612570000001e-07,3.189706,0.0
7.12558513e-07,3.184254,0.0
7.208440770000001e-07,3.178361,0.0
7.293245960000001e-07,3.173004,0.0
7.380070310000001e-07,3.167776,0.0
7.468986820000001e-07,3.16253,0.0
7.56007203e-07,3.157277,0.0
7.653406250000001e-07,3.152015,0.0
7.74907383e-07,3.146697,0.0
7.847163370000001e-07,3.141875,0.0
7.94776803e-07,3.137515,0.0
8.050985800000001e-07,3.133104,0.0
8.156919820000001e-07,3.128685,0.0
8.26567875e-07,3.12426,0.0
