wavelength[m],n,k
2.2500000000000002e-07,1.573654,2.611591
2.2750000000000002e-07,1.613422,2.664156
2.3000000000000002e-07,1.658284,2.719758
2.3250000000000002e-07,1.70948,2.778285
2.3500000000000003e-07,1.768507,2.839363
2.375e-07,1.837127,2.902203
2.4000000000000003e-07,1.917313,2.965407
2.425e-07,2.011102,3.026714
2.4500000000000004e-07,2.120284,3.082734
2.475e-07,2.24584,3.128757
2.5000000000000004e-07,2.387115,3.158837
2.525e-07,2.540851,3.166428
2.55e-07,2.700498,3.145784
2.575e-07,2.856492,3.093969
2.6e-07,2.998024,3.012609
2.6250000000000003e-07,3.115664,2.908373
2.65e-07,3.204223,2.791159
2.6750000000000003e-07,3.263385,2.671405
2.7e-07,3.296772,2.557618
2.7250000000000004e-07,3.310048,2.455255
2.75e-07,3.309188,2.366862
2.7750000000000004e-07,3.299428,2.292838
2.8e-07,3.284873,2.232294
2.825e-07,3.268497,2.183725
2.85e-07,3.252342,2.14544
2.875e-07,3.237735,2.115807
2.9000000000000003e-07,3.225498,2.093364
2.925e-07,3.216115,2.076854
2.9500000000000003e-07,3.209849,2.065229
2.975e-07,3.206827,2.057624
3.0000000000000004e-07,3.207104,2.053329
3.025e-07,3.210699,2.051759
3.0500000000000004e-07,3.217624,2.052428
3.075e-07,3.227913,2.05491
3.1e-07,3.24157,2.058944
3.125e-07,3.258491,2.064698
3.15e-07,3.279288,2.070538
3.1750000000000003e-07,3.303818,2.076793
3.2e-07,3.332251,2.083029
3.2250000000000004e-07,3.364761,2.088764
3.25e-07,3.40147,2.093424
3.2750000000000004e-07,3.442485,2.096343
3.3e-07,3.487805,2.096752
3.3250000000000005e-07,3.537292,2.093785
3.35e-07,3.590618,2.086514
3.375e-07,3.647217,2.074001
3.4000000000000003e-07,3.706263,2.055361
3.425e-07,3.766667,2.029869
3.4500000000000003e-07,3.827107,1.997051
3.475e-07,3.886116,1.956762
3.5000000000000004e-07,3.942188,1.909243
3.525e-07,3.993904,1.855125
3.5500000000000004e-07,4.040063,1.795383
3.575e-07,4.079771,1.731242
3.6000000000000005e-07,4.112496,1.664063
3.625e-07,4.138065,1.59522
3.65e-07,4.156631,1.525998
