wavelength[m],n,k
3.99952198e-07,1.812453,0.0
4.06508791e-07,1.811345,0.0
4.13283938e-07,1.810097,0.0
4.2028875000000003e-07,1.808736,0.0
4.27535108e-07,1.807286,0.0
4.3503572400000006e-07,1.805774,0.0
4.42804219e-07,1.804225,0.0
4.50855205e-07,1.802665,0.0
4.592043750000001e-07,1.80112,0.0
4.67868609e-07,1.799615,0.0
4.76866082e-07,1.798176,0.0
4.86216397e-07,1.796829,0.0
4.95940725e-07,1.795599,0.0
5.06061964e-07,1.794512,0.0
5.16604922e-07,1.793594,0.0
5.27596516e-07,1.792846,0.0
5.390660060000001e-07,1.792366,0.0
5.5104525e-07,1.792325,0.0
5.63569006e-07,1.792498,0.0
5.76675262e-07,1.792822,0.0
5.904056250000001e-07,1.792973,0.0
6.04805762e-07,1.792509,0.0
6.19925906e-07,1.791719,0.0
6.358214430000001e-07,1.790741,0.0
6.52553586e-07,1.789582,0.0
6.70190169e-07,1.78828,0.0
6.888065630000001e-07,1.786876,0.0
7.084867500000001e-07,1.785408,0.0
7.293245960000001e-07,1.783917,0.0
7.51425341e-07,1.782442,0.0
7.74907383e-07,1.781022,0.0
7.999043950000001e-07,1.779431,0.0
8.26567875e-07,1.778505,0.0
8.55070216e-07,1.779556,0.0
8.85608438e-07,1.780931,0.0
9.184087500000002e-07,1.781412,0.0
9.53732164e-07,1.780999,0.0
9.9188145e-07,1.778849,0.0
1.03320984e-06,1.776281,0.0
1.0781320100000002e-06,1.774516,0.0
1.12713801e-06,1.773011,0.0
1.1808112500000001e-06,1.77168,0.0
1.2398518099999999e-06,1.770373,0.0
1.3051071700000002e-06,1.768865,0.0
1.3776131300000001e-06,1.767294,0.0
1.4586491900000002e-06,1.765826,0.0
1.54981477e-06,1.764154,0.0
1.65313575e-06,1.761981,0.0
1.7712168800000001e-06,1.759444,0.0
1.90746433e-06,1.756723,0.0
2.0664196900000003e-06,1.753395,0.0
2.25427602e-06,1.749189,0.0
2.47970363e-06,1.743834,0.0
