wavelength[m],n,k
2.13767554e-07,1.0,2.4
2.1562640200000003e-07,1.0025,2.4075
2.1751786200000003e-07,1.01,2.42
2.1944279900000003e-07,1.0225,2.4375
2.21402109e-07,1.04,2.46
2.2339672300000003e-07,1.061875,2.48875
2.25427602e-07,1.09,2.52
2.2749574500000002e-07,1.1275,2.553125
2.2960218800000001e-07,1.17,2.58
2.3174800200000003e-07,1.216875,2.589375
2.33934304e-07,1.26,2.59
2.3616225000000003e-07,1.290625,2.585
2.38433041e-07,1.31,2.58
2.40747925e-07,1.31375,2.58125
2.4310819900000004e-07,1.31,2.59
2.4551521000000003e-07,1.305625,2.610625
2.47970363e-07,1.3,2.64
2.50475114e-07,1.29375,2.675625
2.53030982e-07,1.29,2.72
2.55639549e-07,1.2925,2.775625
2.58302461e-07,1.3,2.84
2.61021434e-07,1.3125,2.911875
2.63798258e-07,1.33,2.99
2.66634798e-07,1.3525,3.069999
2.6953300300000005e-07,1.38,3.16
2.7249490400000003e-07,1.409375,3.26625
2.75522625e-07,1.45,3.39
2.78618385e-07,1.50125,3.536251
2.81784503e-07,1.59,3.7
2.8502340500000006e-07,1.743751,3.895001
2.88337631e-07,1.96,4.07
2.91729838e-07,2.26875,4.181876
2.9520281300000004e-07,2.6,4.22
2.9875947300000006e-07,2.893123,4.1375
3.02402881e-07,3.15,4.0
3.0613625e-07,3.346249,3.860626
3.09962953e-07,3.5,3.71
3.13886535e-07,3.620625,3.551875
3.1791072100000004e-07,3.71,3.4
3.22039432e-07,3.765625,3.2725
3.26276793e-07,3.81,3.16
3.3062715e-07,3.874375,3.06
3.35095085e-07,3.93,2.97
3.3968542800000003e-07,3.953125,2.885625
3.4440328100000003e-07,3.96,2.81
3.49254032e-07,3.955625,2.743125
3.5424337500000004e-07,3.95,2.69
3.59377337e-07,3.94875,2.654375
3.6466229800000006e-07,3.97,2.64
3.7010501900000006e-07,4.033125,2.675625
3.75712671e-07,4.14,2.69
3.8149286600000003e-07,4.331875,2.605
3.87453692e-07,4.51,2.47
3.9360375000000003e-07,4.56625,2.290625
3.99952198e-07,4.57,2.12
4.06508791e-07,4.54,2.0175
4.13283938e-07,4.52,1.97
4.2028875000000003e-07,4.54875,2.035625
4.27535108e-07,4.66,2.06
4.3503572400000006e-07,4.985626,1.866874
4.42804219e-07,5.27,1.58
4.50855205e-07,5.23,1.238125
4.592043750000001e-07,5.08,0.92
4.67868609e-07,4.945625,0.744375
4.76866082e-07,4.81,0.63
4.86216397e-07,4.70375,0.535
4.95940725e-07,4.61,0.46
5.06061964e-07,4.520625,0.39
5.16604922e-07,4.44,0.33
5.27596516e-07,4.37125,0.29125
5.390660060000001e-07,4.31,0.24
5.5104525e-07,4.258749,0.119625
5.63569006e-07,4.2,0.01
5.76675262e-07,4.104775,-0.00625
5.904056250000001e-07,4.01,0.006
6.04805762e-07,3.950506,0.004813
6.19925906e-07,3.9036,0.004
6.358214430000001e-07,3.8573,0.003438
6.52553586e-07,3.8143,0.003
6.70190169e-07,3.7732,0.0025
6.888065630000001e-07,3.7343,0.002
7.084867500000001e-07,3.697456,0.001481
7.293245960000001e-07,3.6626,0.001
7.51425341e-07,3.62965,0.000594
7.74907383e-07,3.5985,0.0003
7.999043950000001e-07,3.569037,0.000213
8.26567875e-07,3.5412,0.0002
8.55070216e-07,3.514906,0.00015
8.85608438e-07,3.4901,0.0001
9.184087500000002e-07,3.466725,4.4e-05
9.53732164e-07,3.4447,0.0
9.9188145e-07,3.423944,6e-06
1.03320984e-06,3.4044,0.0
1.0781320100000002e-06,3.385994,0.0
1.12713801e-06,3.3687,0.0
1.1808112500000001e-06,3.352481,0.0
1.2398518099999999e-06,3.3373,0.0
1.3051071700000002e-06,3.323131,0.0
1.3776131300000001e-06,3.3099,0.0
1.4586491900000002e-06,3.297525,0.0
1.54981477e-06,3.286,0.0
1.65313575e-06,3.275312,0.0
1.7712168800000001e-06,3.2654,0.0
1.90746433e-06,3.2562,0.0
2.0664196900000003e-06,3.2477,0.0
2.25427602e-06,3.239875,0.0
2.47970363e-06,3.2327,0.0
