wavelength[m],n,k
2.5000000000000004e-07,0.169016,2.142445
2.55e-07,0.178619,2.195379
2.6e-07,0.188004,2.248202
2.65e-07,0.196991,2.300824
2.7e-07,0.205466,2.353186
2.75e-07,0.213396,2.40527
2.8e-07,0.220824,2.45709
2.85e-07,0.227853,2.508682
2.9000000000000003e-07,0.23462,2.560087
2.9500000000000003e-07,0.24127,2.611346
3.0000000000000004e-07,0.247937,2.662488
3.0500000000000004e-07,0.254727,2.713526
3.1e-07,0.261713,2.764464
3.15e-07,0.268934,2.815296
3.2e-07,0.276397,2.866014
3.25e-07,0.284087,2.916609
3.3e-07,0.291973,2.967079
3.35e-07,0.300017,3.017433
3.4000000000000003e-07,0.308181,3.067688
3.4500000000000003e-07,0.316434,3.117868
3.5000000000000004e-07,0.324751,3.167993
3.5500000000000004e-07,0.333121,3.218074
3.6000000000000005e-07,0.341545,3.268102
3.65e-07,0.350039,3.318045
3.7e-07,0.358636,3.36785
3.75e-07,0.367377,3.417453
3.8e-07,0.376308,3.466787
3.85e-07,0.385471,3.515804
3.9e-07,0.394889,3.564478
3.9500000000000003e-07,0.404561,3.612814
4.0000000000000003e-07,0.414459,3.660839
4.0500000000000004e-07,0.424532,3.708597
4.1000000000000004e-07,0.434725,3.756131
4.1500000000000005e-07,0.444987,3.803479
4.2e-07,0.455294,3.850659
4.25e-07,0.465649,3.897678
4.3e-07,0.476085,3.944528
4.35e-07,0.486651,3.991193
4.4e-07,0.497395,4.037653
4.4500000000000003e-07,0.508352,4.083889
4.5000000000000003e-07,0.519529,4.129887
4.5500000000000004e-07,0.530912,4.17564
4.6000000000000004e-07,0.542464,4.221161
4.6500000000000005e-07,0.554148,4.266489
4.7000000000000005e-07,0.565934,4.311681
4.75e-07,0.577811,4.356822
4.800000000000001e-07,0.589791,4.402006
4.85e-07,0.601901,4.447329
4.900000000000001e-07,0.614172,4.492874
4.95e-07,0.62663,4.5387
5.000000000000001e-07,0.639287,4.584831
5.05e-07,0.652142,4.63126
5.1e-07,0.665182,4.677944
5.15e-07,0.678398,4.724811
5.2e-07,0.691787,4.77177
5.250000000000001e-07,0.705354,4.818724
5.3e-07,0.719115,4.86558
5.350000000000001e-07,0.733084,4.912259
5.4e-07,0.74727,4.958702
5.450000000000001e-07,0.761672,5.004865
5.5e-07,0.776278,5.050716
5.550000000000001e-07,0.791067,5.096226
5.6e-07,0.806022,5.141365
5.65e-07,0.821136,5.186102
5.7e-07,0.836418,5.23041
5.75e-07,0.851906,5.274274
5.800000000000001e-07,0.867659,5.3177
5.85e-07,0.883758,5.360718
5.900000000000001e-07,0.900293,5.403384
5.95e-07,0.917349,5.44577
6.000000000000001e-07,0.934992,5.487955
6.05e-07,0.953251,5.530002
6.100000000000001e-07,0.972117,5.571944
6.15e-07,0.991538,5.613771
6.2e-07,1.01143,5.655422
6.25e-07,1.031692,5.696795
6.3e-07,1.052221,5.737759
6.350000000000001e-07,1.072942,5.778183
6.4e-07,1.093814,5.817966
6.450000000000001e-07,1.114846,5.857056
6.5e-07,1.136092,5.89546
6.550000000000001e-07,1.157635,5.93324
6.6e-07,1.179571,5.97049
6.650000000000001e-07,1.201989,6.007305
6.7e-07,1.224956,6.043753
6.75e-07,1.248516,6.079859
6.800000000000001e-07,1.27269,6.115597
6.85e-07,1.297489,6.150907
6.900000000000001e-07,1.322922,6.185701
6.95e-07,1.349002,6.219894
7.000000000000001e-07,1.37575,6.253403
7.05e-07,1.403192,6.28615
7.100000000000001e-07,1.431359,6.31805
7.15e-07,1.460282,6.348998
7.200000000000001e-07,1.489991,6.378851
7.25e-07,1.520505,6.407426
7.3e-07,1.551817,6.434502
7.350000000000001e-07,1.583881,6.459829
7.4e-07,1.616592,6.483149
7.450000000000001e-07,1.649784,6.50421
7.5e-07,1.683233,6.5228
7.550000000000001e-07,1.716679,6.538761
7.6e-07,1.749852,6.55201
7.650000000000001e-07,1.782503,6.562558
7.7e-07,1.814436,6.570518
7.750000000000001e-07,1.845524,6.576101
7.8e-07,1.875721,6.579605
7.85e-07,1.905071,6.581396
7.900000000000001e-07,1.933697,6.58188
7.95e-07,1.961796,6.581488
8.000000000000001e-07,1.989617,6.580659
