wavelength[m],n,k
2.5000000000000004e-07,0.199391,2.147232
2.55e-07,0.207117,2.201599
2.6e-07,0.214793,2.25579
2.65e-07,0.222379,2.309652
2.7e-07,0.229853,2.363075
2.75e-07,0.237213,2.415993
2.8e-07,0.244478,2.468392
2.85e-07,0.25168,2.520297
2.9000000000000003e-07,0.258859,2.571754
2.9500000000000003e-07,0.266059,2.62282
3.0000000000000004e-07,0.273323,2.673544
3.0500000000000004e-07,0.28069,2.723962
3.1e-07,0.288198,2.774096
3.15e-07,0.295881,2.823957
3.2e-07,0.303767,2.87355
3.25e-07,0.311881,2.922886
3.3e-07,0.320241,2.971986
3.35e-07,0.328853,3.020882
3.4000000000000003e-07,0.337714,3.069618
3.4500000000000003e-07,0.346806,3.118241
3.5000000000000004e-07,0.356098,3.166794
3.5500000000000004e-07,0.365552,3.215307
3.6000000000000005e-07,0.375124,3.263795
3.65e-07,0.384779,3.312253
3.7e-07,0.394495,3.360662
3.75e-07,0.404273,3.40899
3.8e-07,0.414136,3.457197
3.85e-07,0.424126,3.505249
3.9e-07,0.434297,3.553113
3.9500000000000003e-07,0.444694,3.600774
4.0000000000000003e-07,0.455344,3.648229
4.0500000000000004e-07,0.466246,3.695487
4.1000000000000004e-07,0.477371,3.742567
4.1500000000000005e-07,0.488663,3.789487
4.2e-07,0.500063,3.836258
4.25e-07,0.51151,3.882877
4.3e-07,0.522967,3.929324
4.35e-07,0.534416,3.975567
4.4e-07,0.545865,4.021563
4.4500000000000003e-07,0.557341,4.067272
4.5000000000000003e-07,0.56888,4.112667
4.5500000000000004e-07,0.58052,4.157738
4.6000000000000004e-07,0.592296,4.202504
4.6500000000000005e-07,0.604236,4.247014
4.7000000000000005e-07,0.616357,4.291345
4.75e-07,0.628663,4.335599
4.800000000000001e-07,0.641146,4.379888
4.85e-07,0.653781,4.42432
4.900000000000001e-07,0.666531,4.468986
4.95e-07,0.679358,4.513943
5.000000000000001e-07,0.692228,4.559206
5.05e-07,0.705124,4.604743
5.1e-07,0.718057,4.65047
5.15e-07,0.731066,4.69627
5.2e-07,0.744218,4.741996
5.250000000000001e-07,0.75759,4.787501
5.3e-07,0.771263,4.832657
5.350000000000001e-07,0.785297,4.877376
5.4e-07,0.799732,4.921617
5.450000000000001e-07,0.814579,4.965394
5.5e-07,0.829825,5.008762
5.550000000000001e-07,0.845443,5.051797
5.6e-07,0.861401,5.094578
5.65e-07,0.877663,5.137167
5.7e-07,0.894195,5.179592
5.75e-07,0.910959,5.221845
5.800000000000001e-07,0.927918,5.263884
5.85e-07,0.945035,5.305641
5.900000000000001e-07,0.962282,5.347032
5.95e-07,0.979646,5.387985
6.000000000000001e-07,0.997137,5.428451
6.05e-07,1.014789,5.468426
6.100000000000001e-07,1.032657,5.507951
6.15e-07,1.050804,5.547106
6.2e-07,1.069298,5.585985
6.25e-07,1.088193,5.624676
6.3e-07,1.107527,5.663233
6.350000000000001e-07,1.127319,5.701663
6.4e-07,1.147566,5.739931
6.450000000000001e-07,1.168255,5.777967
6.5e-07,1.189358,5.815693
6.550000000000001e-07,1.210847,5.853025
6.6e-07,1.232699,5.889885
6.650000000000001e-07,1.254902,5.926202
6.7e-07,1.277459,5.961903
6.75e-07,1.30039,5.996912
6.800000000000001e-07,1.323727,6.031155
6.85e-07,1.34751,6.064575
6.900000000000001e-07,1.371774,6.097137
6.95e-07,1.396542,6.128841
7.000000000000001e-07,1.421819,6.159712
7.05e-07,1.447588,6.189781
7.100000000000001e-07,1.473816,6.219061
7.15e-07,1.50046,6.247518
7.200000000000001e-07,1.527471,6.275052
7.25e-07,1.554804,6.301501
7.3e-07,1.582418,6.326647
7.350000000000001e-07,1.610266,6.350242
7.4e-07,1.638293,6.372032
7.450000000000001e-07,1.666425,6.391783
7.5e-07,1.694567,6.409296
7.550000000000001e-07,1.722612,6.424421
7.6e-07,1.75045,6.437071
7.650000000000001e-07,1.777992,6.447233
7.7e-07,1.80518,6.454969
7.750000000000001e-07,1.831999,6.46043
7.8e-07,1.858473,6.463853
7.85e-07,1.884657,6.465551
7.900000000000001e-07,1.910623,6.4659
7.95e-07,1.936447,6.465326
8.000000000000001e-07,1.9622,6.464282
