wavelength[m],n,k
2.5000000000000004e-07,1.650273,0.0
2.565e-07,1.625126,0.0
2.63e-07,1.605781,0.0
2.695e-07,1.591229,0.0
2.7600000000000004e-07,1.580641,0.0
2.825e-07,1.573333,0.0
2.89e-07,1.568738,0.0
2.955e-07,1.566386,0.0
3.0200000000000003e-07,1.565886,0.0
3.0850000000000004e-07,1.566912,0.0
3.15e-07,1.56919,0.0
3.215e-07,1.572493,0.0
3.28e-07,1.576631,0.0
3.3450000000000004e-07,1.581442,0.0
3.41e-07,1.586792,0.0
3.475e-07,1.592568,0.0
3.54e-07,1.598675,0.0
3.6050000000000003e-07,1.605033,0.0
3.6700000000000004e-07,1.611576,0.0
3.735e-07,1.618246,0.0
3.8e-07,1.624997,0.0
3.865e-07,1.631789,0.0
3.9300000000000004e-07,1.638589,0.0
3.9950000000000005e-07,1.64537,0.0
4.06e-07,1.652108,0.0
4.125e-07,1.658786,0.0
4.1900000000000003e-07,1.665387,0.0
4.2550000000000004e-07,1.671899,0.0
4.32e-07,1.678312,0.0
4.385e-07,1.684618,0.0
4.4500000000000003e-07,1.690811,0.0
4.5150000000000004e-07,1.696885,0.0
4.5800000000000005e-07,1.702838,0.0
4.645e-07,1.708667,0.0
4.71e-07,1.71437,0.0
4.775e-07,1.719947,0.0
4.84e-07,1.725398,0.0
4.905e-07,1.730722,0.0
4.970000000000001e-07,1.735921,0.0
5.035e-07,1.740996,0.0
5.1e-07,1.745949,0.0
5.165e-07,1.750781,0.0
5.23e-07,1.755495,0.0
5.295000000000001e-07,1.760092,0.0
5.36e-07,1.764575,0.0
5.425e-07,1.768947,0.0
5.490000000000001e-07,1.773209,0.0
5.555e-07,1.777364,0.0
5.620000000000001e-07,1.781415,0.0
5.685e-07,1.785365,0.0
5.75e-07,1.789215,0.0
5.815000000000001e-07,1.792969,0.0
5.88e-07,1.796628,0.0
5.945000000000001e-07,1.800197,0.0
6.01e-07,1.803676,0.0
6.075e-07,1.807068,0.0
6.140000000000001e-07,1.810376,0.0
6.205e-07,1.813602,0.0
6.27e-07,1.816749,0.0
6.335000000000001e-07,1.819818,0.0
6.4e-07,1.822812,0.0
6.465000000000001e-07,1.825733,0.0
6.53e-07,1.828583,0.0
6.595e-07,1.831363,0.0
6.660000000000001e-07,1.834077,0.0
6.725e-07,1.836726,0.0
6.790000000000001e-07,1.839311,0.0
6.855e-07,1.841835,0.0
6.92e-07,1.8443,0.0
6.985000000000001e-07,1.846706,0.0
7.05e-07,1.849056,0.0
7.115000000000001e-07,1.851352,0.0
7.18e-07,1.853594,0.0
7.245e-07,1.855784,0.0
7.310000000000001e-07,1.857925,0.0
7.375e-07,1.860016,0.0
7.440000000000001e-07,1.862061,0.0
7.505000000000001e-07,1.864058,0.0
7.57e-07,1.866012,0.0
7.635000000000001e-07,1.867922,0.0
7.7e-07,1.869789,0.0
7.765e-07,1.871615,0.0
7.830000000000001e-07,1.873402,0.0
7.895e-07,1.875149,0.0
7.960000000000001e-07,1.876858,0.0
8.025e-07,1.878531,0.0
8.09e-07,1.880168,0.0
8.155000000000001e-07,1.88177,0.0
8.22e-07,1.883338,0.0
8.285000000000001e-07,1.884873,0.0
8.35e-07,1.886376,0.0
8.415e-07,1.887847,0.0
8.480000000000001e-07,1.889288,0.0
8.545e-07,1.8907,0.0
8.610000000000001e-07,1.892082,0.0
8.675000000000001e-07,1.893437,0.0
8.74e-07,1.894764,0.0
8.805000000000001e-07,1.896064,0.0
8.87e-07,1.897339,0.0
8.935000000000001e-07,1.898588,0.0
9.000000000000001e-07,1.899812,0.0
