wavelength[m],n,k
2.4000000000000003e-07,1.6844,3.3312
2.42e-07,1.7317,3.357
2.44e-07,1.7801,3.3777
2.46e-07,1.8318,3.4067
2.48e-07,1.8774,3.4219
2.5000000000000004e-07,1.9236,3.4458
2.5200000000000003e-07,1.9717,3.4721
2.54e-07,2.01,3.4965
2.56e-07,2.061,3.5225
2.58e-07,2.1072,3.5382
2.6e-07,2.1631,3.5597
2.62e-07,2.2099,3.5831
2.6400000000000003e-07,2.2571,3.5991
2.66e-07,2.3094,3.6191
2.68e-07,2.3627,3.6328
2.7e-07,2.4148,3.6511
2.72e-07,2.4636,3.66
2.74e-07,2.5163,3.6755
2.7600000000000004e-07,2.5723,3.6899
2.7800000000000003e-07,2.6313,3.7061
2.8e-07,2.6816,3.7121
2.82e-07,2.7391,3.722
2.84e-07,2.7993,3.7303
2.86e-07,2.8529,3.7364
2.8800000000000004e-07,2.913,3.7387
2.9000000000000003e-07,2.9684,3.7439
2.92e-07,3.0269,3.7474
2.94e-07,3.0826,3.746
2.96e-07,3.1419,3.7466
2.98e-07,3.2032,3.7444
3.0000000000000004e-07,3.2614,3.7385
3.0200000000000003e-07,3.323681,3.733288
3.04e-07,3.3831,3.7265
3.06e-07,3.440919,3.718062
3.08e-07,3.4984,3.7079
3.1e-07,3.558175,3.695819
3.1200000000000004e-07,3.6174,3.6821
3.1400000000000003e-07,3.673425,3.666893
3.16e-07,3.7283,3.6504
3.18e-07,3.783206,3.633244
3.2e-07,3.8381,3.6143
3.22e-07,3.89345,3.592156
3.2400000000000004e-07,3.9489,3.5683
3.2600000000000003e-07,4.005306,3.543831
3.28e-07,4.0595,3.5185
3.3e-07,4.106369,3.492862
3.32e-07,4.1526,3.4656
3.34e-07,4.20565,3.4355
3.3600000000000004e-07,4.2581,3.4028
3.3800000000000004e-07,4.303544,3.366
3.4000000000000003e-07,4.3464,3.3291
3.42e-07,4.389093,3.2972
3.44e-07,4.4312,3.2655
3.46e-07,4.473431,3.230169
3.4800000000000005e-07,4.5148,3.1934
3.5000000000000004e-07,4.5545,3.156306
3.5200000000000003e-07,4.5927,3.1183
3.54e-07,4.629331,3.078887
3.56e-07,4.6643,3.0389
3.58e-07,4.697343,2.999362
3.6000000000000005e-07,4.7289,2.9592
3.6200000000000004e-07,4.759543,2.917107
3.6400000000000003e-07,4.7886,2.8748
