wavelength[m],n,k
2.06641969e-07,1.422,1.306
2.08378456e-07,1.427375,1.31925
2.1014437500000002e-07,1.43,1.334
2.1194048100000003e-07,1.431125,1.34925
2.13767554e-07,1.432,1.364
2.1562640200000003e-07,1.434875,1.376
2.1751786200000003e-07,1.438,1.388
2.1944279900000003e-07,1.43975,1.403
2.21402109e-07,1.442,1.418
2.2339672300000003e-07,1.447125,1.429625
2.25427602e-07,1.452,1.442
2.2749574500000002e-07,1.453125,1.4595
2.2960218800000001e-07,1.454,1.478
2.3174800200000003e-07,1.457625,1.49375
2.33934304e-07,1.462,1.51
2.3616225000000003e-07,1.466,1.5295
2.38433041e-07,1.47,1.55
2.40747925e-07,1.474125,1.569625
2.4310819900000004e-07,1.478,1.59
2.4551521000000003e-07,1.481125,1.611625
2.47970363e-07,1.484,1.636
2.50475114e-07,1.4865,1.66675
2.53030982e-07,1.49,1.698
2.55639549e-07,1.49475,1.724625
2.58302461e-07,1.504,1.748
2.61021434e-07,1.522625,1.76675
2.63798258e-07,1.546,1.784
2.66634798e-07,1.5715,1.803375
2.6953300300000005e-07,1.598,1.822
2.7249490400000003e-07,1.623625,1.8375
2.75522625e-07,1.648,1.852
2.78618385e-07,1.668875,1.86775
2.81784503e-07,1.69,1.882
2.8502340500000006e-07,1.7165,1.89175
2.88337631e-07,1.742,1.9
2.91729838e-07,1.76,1.91
2.9520281300000004e-07,1.776,1.918
2.9875947300000006e-07,1.795,1.920375
3.02402881e-07,1.812,1.92
3.0613625e-07,1.822625,1.918875
3.09962953e-07,1.83,1.916
3.13886535e-07,1.837125,1.911375
3.1791072100000004e-07,1.84,1.904
3.22039432e-07,1.83425,1.891375
3.26276793e-07,1.824,1.878
3.3062715e-07,1.812,1.86825
3.35095085e-07,1.798,1.86
3.3968542800000003e-07,1.782,1.85175
3.4440328100000003e-07,1.766,1.846
3.49254032e-07,1.7525,1.84525
3.5424337500000004e-07,1.74,1.848
3.59377337e-07,1.727625,1.852375
3.6466229800000006e-07,1.716,1.862
3.7010501900000006e-07,1.705875,1.883
3.75712671e-07,1.696,1.906
3.8149286600000003e-07,1.68475,1.9225
3.87453692e-07,1.674,1.936
3.9360375000000003e-07,1.666,1.94775
3.99952198e-07,1.658,1.956
4.06508791e-07,1.64725,1.959375
4.13283938e-07,1.636,1.958
4.2028875000000003e-07,1.628,1.951375
4.27535108e-07,1.616,1.94
4.3503572400000006e-07,1.59625,1.9245
4.42804219e-07,1.562,1.904
4.50855205e-07,1.502125,1.875875
4.592043750000001e-07,1.426,1.846
4.67868609e-07,1.345875,1.814625
4.76866082e-07,1.242,1.796
4.86216397e-07,1.08675,1.797375
4.95940725e-07,0.916,1.84
5.06061964e-07,0.7545,1.9565
5.16604922e-07,0.608,2.12
5.27596516e-07,0.49175,2.32625
5.390660060000001e-07,0.402,2.54
5.5104525e-07,0.3455,2.730625
5.63569006e-07,0.306,2.88
5.76675262e-07,0.267625,2.940625
5.904056250000001e-07,0.236,2.97
6.04805762e-07,0.212375,3.015
6.19925906e-07,0.194,3.06
6.358214430000001e-07,0.17775,3.07
6.52553586e-07,0.166,3.15
6.70190169e-07,0.161,3.445812
6.888065630000001e-07,0.16,3.8
7.084867500000001e-07,0.160875,4.087687
7.293245960000001e-07,0.164,4.357
7.51425341e-07,0.1695,4.610188
7.74907383e-07,0.176,4.86
7.999043950000001e-07,0.181375,5.125813
8.26567875e-07,0.188,5.39
8.55070216e-07,0.198125,5.63125
8.85608438e-07,0.21,5.88
9.184087500000002e-07,0.222125,6.168125
9.53732164e-07,0.236,6.47
9.9188145e-07,0.253125,6.753125
1.03320984e-06,0.272,7.07
1.0781320100000002e-06,0.2905,7.485001
1.12713801e-06,0.312,7.93
1.1808112500000001e-06,0.339375,8.40375
1.2398518099999999e-06,0.372,8.77
1.3051071700000002e-06,0.410188,8.757501
1.3776131300000001e-06,0.454,8.77
1.4586491900000002e-06,0.503063,9.203125
1.54981477e-06,0.559,9.81
1.65313575e-06,0.621563,10.4575
1.7712168800000001e-06,0.696,11.2
1.90746433e-06,0.78525,12.03063
2.0664196900000003e-06,0.896,13.0
2.25427602e-06,1.034,14.14438
2.47970363e-06,1.205,15.5
