wavelength[m],n,k
2.0000000000000002e-07,1.56353,0.0
2.1e-07,1.552839,0.0
2.2e-07,1.543908,0.0
2.3000000000000002e-07,1.536356,0.0
2.4000000000000003e-07,1.529906,0.0
2.5000000000000004e-07,1.524346,0.0
2.6e-07,1.519516,0.0
2.7e-07,1.515289,0.0
2.8e-07,1.511567,0.0
2.9000000000000003e-07,1.50827,0.0
3.0000000000000004e-07,1.505334,0.0
3.1e-07,1.502709,0.0
3.2e-07,1.50035,0.0
3.3e-07,1.498221,0.0
3.4000000000000003e-07,1.496295,0.0
3.5000000000000004e-07,1.494544,0.0
3.6000000000000005e-07,1.492948,0.0
3.7e-07,1.49149,0.0
3.8e-07,1.490153,0.0
3.9e-07,1.488924,0.0
4.0000000000000003e-07,1.487792,0.0
4.1000000000000004e-07,1.486746,0.0
4.2e-07,1.485778,0.0
4.3e-07,1.484881,0.0
4.4e-07,1.484047,0.0
4.5000000000000003e-07,1.483271,0.0
4.6000000000000004e-07,1.482547,0.0
4.7000000000000005e-07,1.481871,0.0
4.800000000000001e-07,1.481239,0.0
4.900000000000001e-07,1.480646,0.0
5.000000000000001e-07,1.48009,0.0
5.1e-07,1.479568,0.0
5.2e-07,1.479076,0.0
5.3e-07,1.478613,0.0
5.4e-07,1.478177,0.0
5.5e-07,1.477764,0.0
5.6e-07,1.477374,0.0
5.7e-07,1.477006,0.0
5.800000000000001e-07,1.476656,0.0
5.900000000000001e-07,1.476325,0.0
6.000000000000001e-07,1.476011,0.0
6.100000000000001e-07,1.475712,0.0
6.2e-07,1.475428,0.0
6.3e-07,1.475158,0.0
6.4e-07,1.4749,0.0
6.5e-07,1.474655,0.0
6.6e-07,1.474421,0.0
6.7e-07,1.474198,0.0
6.800000000000001e-07,1.473984,0.0
6.900000000000001e-07,1.473781,0.0
7.000000000000001e-07,1.473585,0.0
7.100000000000001e-07,1.473399,0.0
7.200000000000001e-07,1.47322,0.0
7.3e-07,1.473048,0.0
7.4e-07,1.472884,0.0
7.5e-07,1.472726,0.0
7.6e-07,1.472574,0.0
7.7e-07,1.472429,0.0
7.8e-07,1.472289,0.0
7.900000000000001e-07,1.472154,0.0
8.000000000000001e-07,1.472025,0.0
8.100000000000001e-07,1.4719,0.0
8.200000000000001e-07,1.47178,0.0
8.300000000000001e-07,1.471664,0.0
8.4e-07,1.471553,0.0
8.5e-07,1.471445,0.0
8.6e-07,1.471342,0.0
8.7e-07,1.471241,0.0
8.8e-07,1.471145,0.0
8.900000000000001e-07,1.471051,0.0
9.000000000000001e-07,1.470961,0.0
9.100000000000001e-07,1.470874,0.0
9.200000000000001e-07,1.470789,0.0
9.300000000000001e-07,1.470708,0.0
9.400000000000001e-07,1.470628,0.0
9.5e-07,1.470552,0.0
9.600000000000001e-07,1.470478,0.0
9.7e-07,1.470406,0.0
9.800000000000001e-07,1.470336,0.0
9.9e-07,1.470269,0.0
1.0000000000000002e-06,1.470203,0.0
1.01e-06,1.47014,0.0
1.02e-06,1.470078,0.0
1.03e-06,1.470018,0.0
1.04e-06,1.46996,0.0
1.0500000000000001e-06,1.469903,0.0
1.06e-06,1.469849,0.0
1.0700000000000001e-06,1.469795,0.0
1.08e-06,1.469743,0.0
1.0900000000000002e-06,1.469693,0.0
1.1e-06,1.469644,0.0
1.1100000000000002e-06,1.469596,0.0
1.12e-06,1.46955,0.0
1.13e-06,1.469505,0.0
1.14e-06,1.469461,0.0
1.15e-06,1.469418,0.0
1.1600000000000001e-06,1.469376,0.0
1.17e-06,1.469335,0.0
