wavelength[m],n,k
1.9074643300000002e-07,1.68543,0.0
1.93726846e-07,1.674593,0.0
1.9680187500000001e-07,1.664501,0.0
1.99976099e-07,1.655092,0.0
2.0325439600000004e-07,1.646322,0.0
2.06641969e-07,1.638161,0.0
2.1014437500000002e-07,1.630562,0.0
2.13767554e-07,1.623486,0.0
2.1751786200000003e-07,1.616892,0.0
2.21402109e-07,1.610739,0.0
2.25427602e-07,1.604991,0.0
2.2960218800000001e-07,1.599611,0.0
2.33934304e-07,1.594568,0.0
2.38433041e-07,1.589834,0.0
2.4310819900000004e-07,1.585381,0.0
2.47970363e-07,1.581185,0.0
2.53030982e-07,1.577225,0.0
2.58302461e-07,1.573481,0.0
2.63798258e-07,1.569934,0.0
2.6953300300000005e-07,1.56657,0.0
2.75522625e-07,1.563372,0.0
2.81784503e-07,1.560328,0.0
2.88337631e-07,1.557426,0.0
2.9520281300000004e-07,1.554657,0.0
3.02402881e-07,1.55201,0.0
3.09962953e-07,1.549477,0.0
3.1791072100000004e-07,1.547052,0.0
3.26276793e-07,1.544727,0.0
3.35095085e-07,1.542497,0.0
3.4440328100000003e-07,1.540356,0.0
3.5424337500000004e-07,1.538301,0.0
3.6466229800000006e-07,1.536327,0.0
3.75712671e-07,1.534429,0.0
3.87453692e-07,1.532606,0.0
3.99952198e-07,1.530854,0.0
4.13283938e-07,1.52917,0.0
4.27535108e-07,1.527552,0.0
4.42804219e-07,1.525997,0.0
4.592043750000001e-07,1.524503,0.0
4.76866082e-07,1.523067,0.0
4.95940725e-07,1.521688,0.0
5.16604922e-07,1.520363,0.0
5.390660060000001e-07,1.519088,0.0
5.63569006e-07,1.517862,0.0
5.904056250000001e-07,1.516682,0.0
6.19925906e-07,1.515542,0.0
6.52553586e-07,1.51444,0.0
6.888065630000001e-07,1.513369,0.0
7.293245960000001e-07,1.512323,0.0
7.74907383e-07,1.511294,0.0
8.26567875e-07,1.51027,0.0
8.85608438e-07,1.509236,0.0
9.53732164e-07,1.508173,0.0
1.03320984e-06,1.507051,0.0
1.12713801e-06,1.505827,0.0
1.2398518099999999e-06,1.504437,0.0
