wavelength[m],n,k
1.9074643300000002e-07,1.503795,0.0
1.93726846e-07,1.500819,0.0
1.9680187500000001e-07,1.497954,0.0
1.99976099e-07,1.495178,0.0
2.0325439600000004e-07,1.492491,0.0
2.06641969e-07,1.489891,0.0
2.1014437500000002e-07,1.487375,0.0
2.13767554e-07,1.48494,0.0
2.1751786200000003e-07,1.482583,0.0
2.21402109e-07,1.480301,0.0
2.25427602e-07,1.478091,0.0
2.2960218800000001e-07,1.475951,0.0
2.33934304e-07,1.473878,0.0
2.38433041e-07,1.471871,0.0
2.4310819900000004e-07,1.469927,0.0
2.47970363e-07,1.468044,0.0
2.53030982e-07,1.46622,0.0
2.58302461e-07,1.464454,0.0
2.63798258e-07,1.462744,0.0
2.6953300300000005e-07,1.461088,0.0
2.75522625e-07,1.459484,0.0
2.81784503e-07,1.457932,0.0
2.88337631e-07,1.45643,0.0
2.9520281300000004e-07,1.454976,0.0
3.02402881e-07,1.453569,0.0
3.09962953e-07,1.452208,0.0
3.1791072100000004e-07,1.450892,0.0
3.26276793e-07,1.44962,0.0
3.35095085e-07,1.448391,0.0
3.4440328100000003e-07,1.447203,0.0
3.5424337500000004e-07,1.446056,0.0
3.6466229800000006e-07,1.444949,0.0
3.75712671e-07,1.443881,0.0
3.87453692e-07,1.44285,0.0
3.99952198e-07,1.441857,0.0
4.13283938e-07,1.4409,0.0
4.27535108e-07,1.439979,0.0
4.42804219e-07,1.439092,0.0
4.592043750000001e-07,1.438239,0.0
4.76866082e-07,1.437419,0.0
4.95940725e-07,1.436632,0.0
5.16604922e-07,1.435875,0.0
5.390660060000001e-07,1.435149,0.0
5.63569006e-07,1.434452,0.0
5.904056250000001e-07,1.433782,0.0
6.19925906e-07,1.43314,0.0
6.52553586e-07,1.432523,0.0
6.888065630000001e-07,1.431929,0.0
7.293245960000001e-07,1.431356,0.0
7.74907383e-07,1.430802,0.0
8.26567875e-07,1.430262,0.0
8.85608438e-07,1.429731,0.0
9.53732164e-07,1.429203,0.0
1.03320984e-06,1.428668,0.0
1.12713801e-06,1.428111,0.0
1.2398518099999999e-06,1.427512,0.0
