wavelength[m],n,k
3.0000000000000004e-07,2.041012,0.480021
3.1e-07,2.048051,0.453087
3.2e-07,2.054862,0.426234
3.3e-07,2.061265,0.399551
3.4000000000000003e-07,2.067081,0.373128
3.5000000000000004e-07,2.072106,0.347051
3.6000000000000005e-07,2.076228,0.321418
3.7e-07,2.079283,0.296324
3.8e-07,2.081222,0.271872
3.9e-07,2.081935,0.248164
4.0000000000000003e-07,2.081437,0.225296
4.1000000000000004e-07,2.079682,0.203372
4.2e-07,2.07674,0.182474
4.3e-07,2.072628,0.162699
4.4e-07,2.067454,0.144099
4.5000000000000003e-07,2.061289,0.126754
4.6000000000000004e-07,2.054262,0.110683
4.7000000000000005e-07,2.046482,0.095936
4.800000000000001e-07,2.038083,0.082494
4.900000000000001e-07,2.029193,0.070373
5.000000000000001e-07,2.019935,0.059519
5.1e-07,2.010439,0.049912
5.2e-07,2.000809,0.041473
5.3e-07,1.991165,0.034147
5.4e-07,1.981585,0.027843
5.5e-07,1.972169,0.022482
5.6e-07,1.96297,0.017968
5.7e-07,1.954063,0.01421
5.800000000000001e-07,1.945477,0.011119
5.900000000000001e-07,1.937264,0.008602
6.000000000000001e-07,1.929434,0.006582
6.100000000000001e-07,1.922017,0.004973
6.2e-07,1.915007,0.003717
6.3e-07,1.908415,0.00274
6.4e-07,1.902226,0.001998
6.5e-07,1.896436,0.001434
6.6e-07,1.891023,0.001018
6.7e-07,1.885972,0.00071
6.800000000000001e-07,1.881256,0.000491
6.900000000000001e-07,1.876855,0.000332
7.000000000000001e-07,1.872741,0.000223
7.100000000000001e-07,1.868886,0.000146
7.200000000000001e-07,1.865265,9.5e-05
7.3e-07,1.86185,6e-05
7.4e-07,1.858615,3.8e-05
7.5e-07,1.855534,2.3e-05
7.6e-07,1.852585,1.4e-05
7.7e-07,1.849745,8e-06
7.8e-07,1.846997,5e-06
7.900000000000001e-07,1.84432,3e-06
8.000000000000001e-07,1.841701,2e-06
8.100000000000001e-07,1.839123,1e-06
8.200000000000001e-07,1.836577,0.0
8.300000000000001e-07,1.83405,0.0
8.4e-07,1.831532,0.0
