wavelength[m],n,k
2.5000000000000004e-07,1.498088,0.0
2.6e-07,1.490532,0.0
2.7e-07,1.483996,0.0
2.8e-07,1.478298,0.0
2.9000000000000003e-07,1.473296,0.0
3.0000000000000004e-07,1.468878,0.0
3.1e-07,1.464952,0.0
3.2e-07,1.461447,0.0
3.3e-07,1.458303,0.0
3.4000000000000003e-07,1.455471,0.0
3.5000000000000004e-07,1.452909,0.0
3.6000000000000005e-07,1.450583,0.0
3.7e-07,1.448465,0.0
3.8e-07,1.446531,0.0
3.9e-07,1.444758,0.0
4.0000000000000003e-07,1.443129,0.0
4.1000000000000004e-07,1.44163,0.0
4.2e-07,1.440245,0.0
4.3e-07,1.438964,0.0
4.4e-07,1.437775,0.0
4.5000000000000003e-07,1.436672,0.0
4.6000000000000004e-07,1.435644,0.0
4.7000000000000005e-07,1.434686,0.0
4.800000000000001e-07,1.433792,0.0
4.900000000000001e-07,1.432954,0.0
5.000000000000001e-07,1.43217,0.0
5.1e-07,1.431434,0.0
5.2e-07,1.430742,0.0
5.3e-07,1.430091,0.0
5.4e-07,1.429478,0.0
5.5e-07,1.4289,0.0
5.6e-07,1.428354,0.0
5.7e-07,1.427837,0.0
5.800000000000001e-07,1.427349,0.0
5.900000000000001e-07,1.426886,0.0
6.000000000000001e-07,1.426447,0.0
6.100000000000001e-07,1.42603,0.0
6.2e-07,1.425634,0.0
6.3e-07,1.425257,0.0
6.4e-07,1.424899,0.0
6.5e-07,1.424557,0.0
6.6e-07,1.424232,0.0
6.7e-07,1.423921,0.0
6.800000000000001e-07,1.423625,0.0
6.900000000000001e-07,1.423341,0.0
7.000000000000001e-07,1.42307,0.0
7.100000000000001e-07,1.422811,0.0
7.200000000000001e-07,1.422563,0.0
7.3e-07,1.422325,0.0
7.4e-07,1.422097,0.0
7.5e-07,1.421878,0.0
7.6e-07,1.421669,0.0
7.7e-07,1.421467,0.0
7.8e-07,1.421273,0.0
7.900000000000001e-07,1.421087,0.0
8.000000000000001e-07,1.420908,0.0
8.100000000000001e-07,1.420736,0.0
8.200000000000001e-07,1.42057,0.0
8.300000000000001e-07,1.42041,0.0
8.4e-07,1.420256,0.0
8.5e-07,1.420107,0.0
8.6e-07,1.419964,0.0
8.7e-07,1.419826,0.0
8.8e-07,1.419692,0.0
8.900000000000001e-07,1.419563,0.0
9.000000000000001e-07,1.419439,0.0
