wavelength[m],n,k
1.9074643300000002e-07,1.41403,0.886233
1.9222508700000001e-07,1.418727,0.883381
1.93726846e-07,1.421029,0.880177
1.95252254e-07,1.421527,0.876859
1.9680187500000001e-07,1.420807,0.873667
1.9837629000000002e-07,1.419505,0.870837
1.99976099e-07,1.418783,0.868597
2.01601921e-07,1.418548,0.867192
2.0325439600000004e-07,1.418172,0.866927
2.04934184e-07,1.417801,0.868102
2.06641969e-07,1.417187,0.870888
2.08378456e-07,1.415766,0.875379
2.1014437500000002e-07,1.412935,0.881882
2.1194048100000003e-07,1.40806,0.890706
2.13767554e-07,1.402873,0.900887
2.1562640200000003e-07,1.398469,0.911703
2.1751786200000003e-07,1.395417,0.923479
2.1944279900000003e-07,1.39467,0.937075
2.21402109e-07,1.395452,0.958045
2.2339672300000003e-07,1.396522,0.974059
2.25427602e-07,1.397109,0.989689
2.2749574500000002e-07,1.398348,1.152672
2.2960218800000001e-07,1.645144,1.224262
2.3174800200000003e-07,1.947238,1.500378
2.33934304e-07,1.971966,1.511216
2.3616225000000003e-07,1.965173,1.488176
2.38433041e-07,1.967872,1.481156
2.40747925e-07,1.967646,1.479701
2.4310819900000004e-07,1.972228,1.476848
2.4551521000000003e-07,1.981546,1.500357
2.47970363e-07,2.002692,1.551679
2.50475114e-07,2.037255,1.603054
2.53030982e-07,2.09816,1.643231
2.55639549e-07,2.189276,1.659755
2.58302461e-07,2.273942,1.626325
2.61021434e-07,2.35248,1.573926
2.63798258e-07,2.410747,1.523937
2.66634798e-07,2.440368,1.476135
2.6953300300000005e-07,2.444116,1.433873
2.7249490400000003e-07,2.429407,1.398896
2.75522625e-07,2.424571,1.409267
2.78618385e-07,2.456759,1.445368
2.81784503e-07,2.532245,1.441875
2.8502340500000006e-07,2.604915,1.389755
2.88337631e-07,2.624928,1.331652
2.91729838e-07,2.602713,1.30557
2.9520281300000004e-07,2.612321,1.337202
2.9875947300000006e-07,2.728134,1.378422
3.02402881e-07,2.823725,1.276195
3.0613625e-07,2.859909,1.177485
3.09962953e-07,2.870981,1.100948
3.13886535e-07,2.87067,1.029279
3.1791072100000004e-07,2.862406,0.977102
3.22039432e-07,2.848827,0.936491
3.26276793e-07,2.834618,0.896711
3.3062715e-07,2.820806,0.864442
3.35095085e-07,2.806487,0.840506
3.3968542800000003e-07,2.793668,0.815688
3.4440328100000003e-07,2.783669,0.793027
3.49254032e-07,2.773836,0.775236
3.5424337500000004e-07,2.762046,0.756717
3.59377337e-07,2.75475,0.743447
3.6466229800000006e-07,2.746618,0.727326
3.7010501900000006e-07,2.737745,0.70959
3.75712671e-07,2.7298,0.693796
3.8149286600000003e-07,2.722928,0.67966
3.87453692e-07,2.71689,0.666238
3.9360375000000003e-07,2.711691,0.6536
3.99952198e-07,2.707312,0.641896
4.06508791e-07,2.704473,0.630866
4.13283938e-07,2.703357,0.62005
4.2028875000000003e-07,2.700838,0.609076
4.27535108e-07,2.696866,0.596914
4.3503572400000006e-07,2.695098,0.583122
4.42804219e-07,2.695628,0.571707
4.50855205e-07,2.695163,0.55988
4.592043750000001e-07,2.694428,0.547435
4.67868609e-07,2.696902,0.536166
4.76866082e-07,2.701406,0.525747
4.86216397e-07,2.704421,0.514698
4.95940725e-07,2.706103,0.50332
5.06061964e-07,2.709212,0.493109
5.16604922e-07,2.714868,0.48465
5.27596516e-07,2.72396,0.479792
5.390660060000001e-07,2.739452,0.484062
5.5104525e-07,2.756,0.484863
5.63569006e-07,2.764602,0.461713
5.76675262e-07,2.761068,0.437575
5.904056250000001e-07,2.755239,0.398551
6.04805762e-07,2.750138,0.346822
6.19925906e-07,2.744107,0.29737
6.358214430000001e-07,2.735217,0.26115
6.52553586e-07,2.732104,0.247869
6.70190169e-07,2.744775,0.246193
6.888065630000001e-07,2.778471,0.237699
7.084867500000001e-07,2.837757,0.207743
7.293245960000001e-07,2.82902,0.020391
7.51425341e-07,2.743256,0.004849
7.74907383e-07,2.691962,0.000567
7.999043950000001e-07,2.657455,6e-06
8.26567875e-07,2.634611,6e-06
8.55070216e-07,2.614889,5e-06
8.85608438e-07,2.596601,5e-06
9.184087500000002e-07,2.582177,5e-06
9.53732164e-07,2.5682,4e-06
9.9188145e-07,2.551986,4e-06
1.03320984e-06,2.538369,4e-06
1.0781320100000002e-06,2.531476,4e-06
1.12713801e-06,2.526668,4e-06
1.1808112500000001e-06,2.52086,4e-06
1.2398518099999999e-06,2.512847,4e-06
1.3051071700000002e-06,2.504388,4e-06
1.3776131300000001e-06,2.496144,4e-06
1.4586491900000002e-06,2.487983,4e-06
1.54981477e-06,2.478776,4e-06
1.65313575e-06,2.470211,4e-06
1.7712168800000001e-06,2.46582,4e-06
1.90746433e-06,2.466223,4e-06
2.0664196900000003e-06,2.466927,5e-06
2.25427602e-06,2.461519,5e-06
2.47970363e-06,2.455602,5e-06
