wavelength[m],n,k
2.47970363e-07,2.48,2.2
2.50475114e-07,2.4769,2.1219
2.53030982e-07,2.48,2.04
2.55639549e-07,2.4856,1.9606
2.58302461e-07,2.49,1.89
2.61021434e-07,2.4875,1.84
2.63798258e-07,2.48,1.8
2.66634798e-07,2.4656,1.7631
2.6953300300000005e-07,2.45,1.73
2.7249490400000003e-07,2.4394,1.6975
2.75522625e-07,2.43,1.67
2.78618385e-07,2.4206,1.6538
2.81784503e-07,2.41,1.64
2.8502340500000006e-07,2.395,1.62
2.88337631e-07,2.38,1.6
2.91729838e-07,2.37,1.5813
2.9520281300000004e-07,2.36,1.57
2.9875947300000006e-07,2.34,1.5706
3.02402881e-07,2.33,1.59
3.0613625e-07,2.3469,1.6394
3.09962953e-07,2.39,1.71
3.13886535e-07,2.4694,1.8206
3.1791072100000004e-07,2.57,1.9
3.22039432e-07,2.6887,1.8569
3.26276793e-07,2.8,1.77
3.3062715e-07,2.8738,1.6862
3.35095085e-07,2.92,1.61
3.3968542800000003e-07,2.935,1.5663
3.4440328100000003e-07,2.93,1.54
3.49254032e-07,2.9094,1.5163
3.5424337500000004e-07,2.89,1.52
3.59377337e-07,2.8731,1.5938
3.6466229800000006e-07,2.91,1.67
3.7010501900000006e-07,3.0975,1.7112
3.75712671e-07,3.3,1.67
3.8149286600000003e-07,3.395,1.4237
3.87453692e-07,3.44,1.16
3.9360375000000003e-07,3.4475,1.0681
3.99952198e-07,3.43,1.02
4.06508791e-07,3.4041,0.9404
4.13283938e-07,3.37,0.861
4.2028875000000003e-07,3.3401,0.7989
4.27535108e-07,3.3109,0.7467
4.3503572400000006e-07,3.2825,0.703
4.42804219e-07,3.2554,0.6666
4.50855205e-07,3.23,0.636
4.592043750000001e-07,3.2096,0.6084
4.67868609e-07,3.1908,0.5845
4.76866082e-07,3.1732,0.5632
4.86216397e-07,3.1564,0.5437
4.95940725e-07,3.14,0.525
5.06061964e-07,3.121,0.5006
5.16604922e-07,3.1023,0.4766
5.27596516e-07,3.0841,0.4533
5.390660060000001e-07,3.0666,0.4313
5.5104525e-07,3.05,0.411
5.63569006e-07,3.0359,0.3949
5.76675262e-07,3.023,0.3809
5.904056250000001e-07,3.011,0.369
6.04805762e-07,3.0001,0.359
6.19925906e-07,2.99,0.351
6.358214430000001e-07,2.9788,0.3463
6.52553586e-07,2.9688,0.3431
6.70190169e-07,2.9604,0.341
6.888065630000001e-07,2.954,0.3394
7.084867500000001e-07,2.95,0.338
7.293245960000001e-07,2.9642,0.335
7.51425341e-07,2.9777,0.331
7.74907383e-07,2.9872,0.327
7.999043950000001e-07,2.9891,0.323
8.26567875e-07,2.98,0.319
8.55070216e-07,2.9565,0.315
8.85608438e-07,2.9205,0.310999
9.184087500000002e-07,2.894,0.306999
9.53732164e-07,2.872,0.302998
9.9188145e-07,2.8527,0.298994
1.03320984e-06,2.8353,0.294992
1.0781320100000002e-06,2.8195,0.291
1.12713801e-06,2.805,0.286989
1.1808112500000001e-06,2.7917,0.28298
1.2398518099999999e-06,2.7793,0.278971
1.3051071700000002e-06,2.7679,0.27496
1.3776131300000001e-06,2.7573,0.270945
1.4586491900000002e-06,2.7475,0.266924
1.54981477e-06,2.7384,0.262895
1.65313575e-06,2.7301,0.258853
1.7712168800000001e-06,2.7223,0.254805
1.90746433e-06,2.7152,0.250745
2.0664196900000003e-06,2.7086,0.246657
2.25427602e-06,2.7027,0.242566
2.47970363e-06,2.6972,0.238428
