wavelength[m],n,k
2.5000000000000004e-07,1.22378,1.744583
2.6e-07,1.224639,1.800226
2.7e-07,1.219846,1.86486
2.8e-07,1.210043,1.938959
2.9000000000000003e-07,1.209232,2.01974
3.0000000000000004e-07,1.217602,2.105839
3.1e-07,1.225965,2.190557
3.2e-07,1.23966,2.274148
3.3e-07,1.258809,2.360937
3.4000000000000003e-07,1.27653,2.448886
3.5000000000000004e-07,1.295686,2.53269
3.6000000000000005e-07,1.31198,2.613178
3.7e-07,1.32534,2.704946
3.8e-07,1.354431,2.813531
3.9e-07,1.409269,2.910304
4.0000000000000003e-07,1.45517,3.002115
4.1000000000000004e-07,1.503883,3.083927
4.2e-07,1.557744,3.165322
4.3e-07,1.612398,3.246253
4.4e-07,1.667786,3.324806
4.5000000000000003e-07,1.729615,3.398583
4.6000000000000004e-07,1.788527,3.466085
4.7000000000000005e-07,1.840084,3.530928
4.800000000000001e-07,1.898818,3.594322
4.900000000000001e-07,1.961449,3.65454
5.000000000000001e-07,2.025423,3.720279
5.1e-07,2.085884,3.777204
5.2e-07,2.141967,3.839326
5.3e-07,2.196352,3.884991
5.4e-07,2.26193,3.93578
5.5e-07,2.315036,3.981822
5.6e-07,2.374417,4.029332
5.7e-07,2.433716,4.078325
5.800000000000001e-07,2.493372,4.122143
5.900000000000001e-07,2.554456,4.161325
6.000000000000001e-07,2.613865,4.20278
6.100000000000001e-07,2.681838,4.24395
6.2e-07,2.74599,4.272484
6.3e-07,2.800477,4.300112
6.4e-07,2.85942,4.335551
6.5e-07,2.911882,4.367461
6.6e-07,2.960917,4.394981
6.7e-07,3.015282,4.414548
6.800000000000001e-07,3.077558,4.442617
6.900000000000001e-07,3.131759,4.457727
7.000000000000001e-07,3.176234,4.478693
7.100000000000001e-07,3.223808,4.506315
7.200000000000001e-07,3.275493,4.537455
7.3e-07,3.321912,4.563622
7.4e-07,3.362552,4.569474
7.5e-07,3.40341,4.592628
7.6e-07,3.446747,4.611805
7.7e-07,3.491125,4.643348
7.8e-07,3.538642,4.663114
7.900000000000001e-07,3.578637,4.687344
8.000000000000001e-07,3.618067,4.712286
8.100000000000001e-07,3.656006,4.732666
8.200000000000001e-07,3.705459,4.759621
8.300000000000001e-07,3.739114,4.774411
8.4e-07,3.766743,4.795806
8.5e-07,3.792633,4.82357
8.6e-07,3.817022,4.841847
8.7e-07,3.862139,4.865958
8.8e-07,3.890276,4.87938
8.900000000000001e-07,3.898549,4.88946
9.000000000000001e-07,3.849934,4.765893
