wavelength[m],n,k
4.4e-07,1.543557,0.0
4.5000000000000003e-07,1.54254,0.0
4.6000000000000004e-07,1.541575,0.0
4.7000000000000005e-07,1.540661,0.0
4.800000000000001e-07,1.5398,0.0
4.900000000000001e-07,1.538992,0.0
5.000000000000001e-07,1.538243,0.0
5.1e-07,1.537548,0.0
5.2e-07,1.536901,0.0
5.3e-07,1.536297,0.0
5.4e-07,1.53573,0.0
5.5e-07,1.535191,0.0
5.6e-07,1.534674,0.0
5.7e-07,1.534183,0.0
5.800000000000001e-07,1.533716,0.0
5.900000000000001e-07,1.53327,0.0
6.000000000000001e-07,1.532847,0.0
6.100000000000001e-07,1.532437,0.0
6.2e-07,1.532038,0.0
6.3e-07,1.531644,0.0
6.4e-07,1.53125,0.0
6.5e-07,1.530854,0.0
