wavelength[m],n,k
2.58302461e-07,2.184,2.402
2.63798258e-07,2.183,2.406
2.6953300300000005e-07,2.186,2.404
2.75522625e-07,2.192,2.396
2.81784503e-07,2.201,2.383
2.88337631e-07,2.215,2.367
2.9520281300000004e-07,2.232,2.348
3.02402881e-07,2.253,2.327
3.09962953e-07,2.278,2.306
3.1791072100000004e-07,2.305,2.285
3.26276793e-07,2.334,2.267
3.35095085e-07,2.362,2.252
3.4440328100000003e-07,2.386,2.242
3.5424337500000004e-07,2.407,2.238
3.6466229800000006e-07,2.426,2.24
3.75712671e-07,2.444,2.248
3.87453692e-07,2.469,2.262
3.99952198e-07,2.507,2.28
4.13283938e-07,2.56,2.299
4.27535108e-07,2.631,2.313
4.42804219e-07,2.718,2.316
4.592043750000001e-07,2.813,2.3
4.76866082e-07,2.911,2.258
4.95940725e-07,3.0,2.188
5.16604922e-07,3.071,2.106
5.390660060000001e-07,3.115,2.028
5.63569006e-07,3.124,1.954
5.904056250000001e-07,3.094,1.884
6.19925906e-07,3.024,1.817
6.52553586e-07,2.917,1.755
6.888065630000001e-07,2.778,1.703
7.293245960000001e-07,2.614,1.676
7.74907383e-07,2.432,1.701
8.26567875e-07,2.238,1.811
8.85608438e-07,2.037,2.038
9.53732164e-07,1.834,2.404
1.03320984e-06,1.63,2.912
1.12713801e-06,1.428,3.56
1.2398518099999999e-06,1.227,4.346
