wavelength[m],n,k
1.87856335e-07,1.16,1.59
1.8929035300000003e-07,1.179863,1.604311
1.9074643300000002e-07,1.198819,1.619299
1.9222508700000001e-07,1.216908,1.63484
1.93726846e-07,1.234165,1.650814
1.95252254e-07,1.25063,1.667096
1.9680187500000001e-07,1.26634,1.683566
1.9837629000000002e-07,1.281333,1.7001
1.99976099e-07,1.295646,1.716576
2.01601921e-07,1.309318,1.732871
2.0325439600000004e-07,1.322387,1.748864
2.04934184e-07,1.33489,1.764431
2.06641969e-07,1.346865,1.779451
2.08378456e-07,1.358349,1.7938
2.1014437500000002e-07,1.369382,1.807358
2.1194048100000003e-07,1.38,1.82
2.13767554e-07,1.392215,1.827927
2.1562640200000003e-07,1.40406,1.834754
2.1751786200000003e-07,1.415411,1.840657
2.1944279900000003e-07,1.426147,1.845812
2.21402109e-07,1.436145,1.850396
2.2339672300000003e-07,1.445282,1.854584
2.25427602e-07,1.453437,1.858553
2.2749574500000002e-07,1.460487,1.862479
2.2960218800000001e-07,1.466308,1.866538
2.3174800200000003e-07,1.470023,1.87116
2.33934304e-07,1.469453,1.877205
2.3616225000000003e-07,1.467884,1.883713
2.38433041e-07,1.465498,1.890758
2.40747925e-07,1.462482,1.898414
2.4310819900000004e-07,1.45902,1.906754
2.4551521000000003e-07,1.455298,1.915851
2.47970363e-07,1.451499,1.925779
2.50475114e-07,1.448832,1.937172
2.53030982e-07,1.447023,1.949851
2.55639549e-07,1.445387,1.963415
2.58302461e-07,1.443927,1.977837
2.61021434e-07,1.442643,1.993091
2.63798258e-07,1.441537,2.00915
2.66634798e-07,1.440611,2.025988
2.6953300300000005e-07,1.439919,2.043564
2.7249490400000003e-07,1.439616,2.061815
2.75522625e-07,1.439462,2.080774
2.78618385e-07,1.43943,2.10042
2.81784503e-07,1.439492,2.120734
2.8502340500000006e-07,1.43962,2.141696
2.88337631e-07,1.439787,2.163288
2.91729838e-07,1.439966,2.185488
2.9520281300000004e-07,1.439367,2.208349
2.9875947300000006e-07,1.438782,2.231774
3.02402881e-07,1.438556,2.255711
3.0613625e-07,1.438826,2.280124
3.09962953e-07,1.439731,2.304979
3.13886535e-07,1.44208,2.329126
3.1791072100000004e-07,1.445347,2.353634
3.22039432e-07,1.449289,2.379098
3.26276793e-07,1.453838,2.405825
3.3062715e-07,1.458924,2.434124
3.35095085e-07,1.464329,2.465621
3.3968542800000003e-07,1.470137,2.499279
3.4440328100000003e-07,1.476365,2.534639
3.49254032e-07,1.482993,2.571585
3.5424337500000004e-07,1.49,2.61
3.59377337e-07,1.496312,2.649739
3.6466229800000006e-07,1.503215,2.690718
3.7010501900000006e-07,1.510963,2.732829
3.75712671e-07,1.519808,2.775959
3.8149286600000003e-07,1.53,2.82
3.87453692e-07,1.54248,2.86504
3.9360375000000003e-07,1.55664,2.91072
3.99952198e-07,1.57256,2.95688
4.06508791e-07,1.59032,3.00336
4.13283938e-07,1.61,3.05
4.2028875000000003e-07,1.63328,3.09472
4.27535108e-07,1.65824,3.13976
4.3503572400000006e-07,1.68456,3.18544
4.42804219e-07,1.71192,3.23208
4.50855205e-07,1.74,3.28
4.592043750000001e-07,1.766297,3.331725
4.67868609e-07,1.79322,3.384819
4.76866082e-07,1.820994,3.43905
4.86216397e-07,1.849846,3.494187
4.95940725e-07,1.88,3.55
5.06061964e-07,1.915087,3.606397
5.16604922e-07,1.950973,3.662967
5.27596516e-07,1.986988,3.719442
5.390660060000001e-07,2.022461,3.775553
5.5104525e-07,2.056584,3.830422
5.63569006e-07,2.088519,3.883047
5.76675262e-07,2.118576,3.937455
5.904056250000001e-07,2.145897,3.996505
6.04805762e-07,2.170933,4.059145
6.19925906e-07,2.19467,4.121914
6.358214430000001e-07,2.21771,4.181812
6.52553586e-07,2.240687,4.243976
6.70190169e-07,2.263548,4.312944
6.888065630000001e-07,2.287895,4.387879
7.084867500000001e-07,2.31637,4.465179
7.293245960000001e-07,2.351323,4.542517
7.51425341e-07,2.391383,4.623303
7.74907383e-07,2.437957,4.708664
7.999043950000001e-07,2.488443,4.800536
8.26567875e-07,2.54,4.901523
8.55070216e-07,2.59,5.014462
8.85608438e-07,2.64,5.135093
9.184087500000002e-07,2.687924,5.258877
9.53732164e-07,2.737276,5.389123
9.9188145e-07,2.79141,5.529436
1.03320984e-06,2.853172,5.682929
1.0781320100000002e-06,2.924417,5.846242
1.12713801e-06,3.012066,6.020134
1.1808112500000001e-06,3.109456,6.200423
1.2398518099999999e-06,3.210126,6.380318
1.3051071700000002e-06,3.309644,6.557652
1.3776131300000001e-06,3.405286,6.740093
1.4586491900000002e-06,3.486216,6.936571
1.54981477e-06,3.563532,7.140345
1.65313575e-06,3.645294,7.346843
1.7712168800000001e-06,3.737931,7.55266
1.90746433e-06,3.847876,7.754386
