wavelength[m],n,k
2.06641969e-07,1.46,1.71
2.08378456e-07,1.4575,1.716875
2.1014437500000002e-07,1.46,1.72
2.1194048100000003e-07,1.465,1.720625
2.13767554e-07,1.47,1.72
2.1562640200000003e-07,1.471875,1.719375
2.1751786200000003e-07,1.47,1.72
2.1944279900000003e-07,1.46125,1.724375
2.21402109e-07,1.45,1.73
2.2339672300000003e-07,1.44,1.734375
2.25427602e-07,1.43,1.74
2.2749574500000002e-07,1.42,1.749375
2.2960218800000001e-07,1.41,1.76
2.3174800200000003e-07,1.4,1.769375
2.33934304e-07,1.39,1.78
2.3616225000000003e-07,1.379375,1.79375
2.38433041e-07,1.37,1.81
2.40747925e-07,1.36375,1.82875
2.4310819900000004e-07,1.36,1.85
2.4551521000000003e-07,1.35875,1.874375
2.47970363e-07,1.36,1.9
2.50475114e-07,1.364375,1.925
2.53030982e-07,1.37,1.95
2.55639549e-07,1.375625,1.975
2.58302461e-07,1.38,2.0
2.61021434e-07,1.38,2.025625
2.63798258e-07,1.38,2.05
2.66634798e-07,1.3825,2.07
2.6953300300000005e-07,1.39,2.09
2.7249490400000003e-07,1.41,2.114375
2.75522625e-07,1.43,2.14
2.78618385e-07,1.43625,2.165
2.81784503e-07,1.44,2.19
2.8502340500000006e-07,1.448125,2.214375
2.88337631e-07,1.46,2.24
2.91729838e-07,1.47875,2.27
2.9520281300000004e-07,1.5,2.3
2.9875947300000006e-07,1.52,2.325625
3.02402881e-07,1.54,2.35
3.0613625e-07,1.559375,2.375
3.09962953e-07,1.58,2.4
3.13886535e-07,1.605,2.425
3.1791072100000004e-07,1.63,2.45
3.22039432e-07,1.650625,2.475
3.26276793e-07,1.67,2.5
3.3062715e-07,1.68875,2.525625
3.35095085e-07,1.71,2.55
3.3968542800000003e-07,1.738125,2.57
3.4440328100000003e-07,1.77,2.59
3.49254032e-07,1.8075,2.615
3.5424337500000004e-07,1.84,2.64
3.59377337e-07,1.851875,2.660625
3.6466229800000006e-07,1.86,2.68
3.7010501900000006e-07,1.878125,2.699375
3.75712671e-07,1.9,2.72
3.8149286600000003e-07,1.92375,2.7425
3.87453692e-07,1.95,2.77
3.9360375000000003e-07,1.97875,2.808125
3.99952198e-07,2.01,2.85
4.06508791e-07,2.043125,2.889375
4.13283938e-07,2.08,2.93
4.2028875000000003e-07,2.123125,2.975
4.27535108e-07,2.17,3.02
4.3503572400000006e-07,2.2175,3.060625
4.42804219e-07,2.27,3.1
4.50855205e-07,2.33125,3.14
4.592043750000001e-07,2.4,3.18
4.67868609e-07,2.47625,3.2225
4.76866082e-07,2.56,3.26
4.86216397e-07,2.655,3.283125
4.95940725e-07,2.75,3.3
5.06061964e-07,2.829375,3.3175
5.16604922e-07,2.91,3.33
5.27596516e-07,3.013125,3.3325
5.390660060000001e-07,3.11,3.33
5.5104525e-07,3.178125,3.32625
5.63569006e-07,3.22,3.32
5.76675262e-07,3.225,3.309375
5.904056250000001e-07,3.21,3.3
6.04805762e-07,3.188125,3.296875
6.19925906e-07,3.16,3.3
6.358214430000001e-07,3.129375,3.3125
6.52553586e-07,3.1,3.33
6.70190169e-07,3.07625,3.35
6.888065630000001e-07,3.06,3.37
7.084867500000001e-07,3.054375,3.385
7.293245960000001e-07,3.06,3.4
7.51425341e-07,3.07875,3.419375
7.74907383e-07,3.11,3.44
7.999043950000001e-07,3.158125,3.46
8.26567875e-07,3.21,3.48
8.55070216e-07,3.25125,3.5
8.85608438e-07,3.29,3.52
9.184087500000002e-07,3.326875,3.54125
9.53732164e-07,3.37,3.56
9.9188145e-07,3.4325,3.5725
1.03320984e-06,3.5,3.58
1.0781320100000002e-06,3.564375,3.57875
1.12713801e-06,3.62,3.58
1.1808112500000001e-06,3.660625,3.59125
1.2398518099999999e-06,3.68,3.62
