wavelength[m],n,k
2.1014437500000002e-07,1.396,0.841
2.13767554e-07,1.426,0.808
2.1751786200000003e-07,1.432,0.796
2.21402109e-07,1.437,0.785
2.25427602e-07,1.442,0.764
2.2960218800000001e-07,1.443,0.748
2.33934304e-07,1.441,0.735
2.38433041e-07,1.438,0.725
2.4310819900000004e-07,1.434,0.718
2.47970363e-07,1.43,0.712
2.53030982e-07,1.423,0.706
2.58302461e-07,1.417,0.705
2.63798258e-07,1.41,0.703
2.6953300300000005e-07,1.403,0.705
2.75522625e-07,1.397,0.708
2.81784503e-07,1.389,0.713
2.88337631e-07,1.381,0.718
2.9520281300000004e-07,1.375,0.724
3.02402881e-07,1.367,0.73
3.09962953e-07,1.357,0.738
3.1791072100000004e-07,1.347,0.75
3.26276793e-07,1.335,0.766
3.35095085e-07,1.326,0.778
3.4440328100000003e-07,1.315,0.794
3.5424337500000004e-07,1.305,0.818
3.6466229800000006e-07,1.294,0.848
3.75712671e-07,1.283,0.879
3.87453692e-07,1.276,0.907
3.99952198e-07,1.268,0.943
4.13283938e-07,1.262,0.988
4.27535108e-07,1.261,1.034
4.42804219e-07,1.262,1.08
4.592043750000001e-07,1.267,1.126
4.76866082e-07,1.272,1.175
4.95940725e-07,1.283,1.233
5.16604922e-07,1.29,1.288
5.390660060000001e-07,1.303,1.355
5.63569006e-07,1.324,1.428
5.904056250000001e-07,1.347,1.495
6.19925906e-07,1.375,1.574
6.52553586e-07,1.41,1.664
6.888065630000001e-07,1.448,1.754
7.293245960000001e-07,1.498,1.856
7.74907383e-07,1.566,1.973
8.26567875e-07,1.655,2.09
8.85608438e-07,1.761,2.111
9.53732164e-07,1.91,2.298
1.03320984e-06,2.04,2.368
1.12713801e-06,2.178,2.422
1.2398518099999999e-06,2.294,2.451
1.3776131300000001e-06,2.349,2.457
1.54981477e-06,2.273,2.501
1.7712168800000001e-06,2.078,2.768
2.0664196900000003e-06,1.976,3.311
2.47970363e-06,1.996,3.845
3.0996295300000005e-06,1.973,5.003
4.132839380000001e-06,2.146,6.85
6.199259060000001e-06,2.992,10.625
1.23985181e-05,5.015,16.561
