wavelength[m],n,k
2.1014437500000002e-07,1.311,0.928
2.13767554e-07,1.315,0.928
2.1751786200000003e-07,1.317,0.931
2.21402109e-07,1.318,0.933
2.25427602e-07,1.32,0.939
2.2960218800000001e-07,1.321,0.946
2.33934304e-07,1.323,0.956
2.38433041e-07,1.326,0.964
2.4310819900000004e-07,1.327,0.974
2.47970363e-07,1.33,0.984
2.53030982e-07,1.331,0.994
2.58302461e-07,1.332,1.005
2.63798258e-07,1.333,1.017
2.6953300300000005e-07,1.335,1.03
2.75522625e-07,1.336,1.043
2.81784503e-07,1.341,1.064
2.88337631e-07,1.346,1.082
2.9520281300000004e-07,1.349,1.095
3.02402881e-07,1.353,1.11
3.09962953e-07,1.353,1.126
3.1791072100000004e-07,1.351,1.146
3.26276793e-07,1.348,1.174
3.35095085e-07,1.347,1.199
3.4440328100000003e-07,1.344,1.222
3.5424337500000004e-07,1.343,1.262
3.6466229800000006e-07,1.348,1.311
3.75712671e-07,1.355,1.359
3.87453692e-07,1.361,1.399
3.99952198e-07,1.373,1.451
4.13283938e-07,1.392,1.513
4.27535108e-07,1.415,1.573
4.42804219e-07,1.443,1.632
4.592043750000001e-07,1.476,1.686
4.76866082e-07,1.507,1.743
4.95940725e-07,1.557,1.807
5.16604922e-07,1.593,1.86
5.390660060000001e-07,1.634,1.929
5.63569006e-07,1.689,2.004
5.904056250000001e-07,1.745,2.069
6.19925906e-07,1.807,2.142
6.52553586e-07,1.877,2.229
6.888065630000001e-07,1.954,2.316
7.293245960000001e-07,2.048,2.411
7.74907383e-07,2.171,2.512
8.26567875e-07,2.323,2.595
8.85608438e-07,2.472,2.667
9.53732164e-07,2.666,2.685
1.03320984e-06,2.805,2.676
1.12713801e-06,2.936,2.64
1.2398518099999999e-06,2.995,2.576
1.3776131300000001e-06,2.918,2.531
1.54981477e-06,2.679,2.669
1.7712168800000001e-06,2.467,3.14
2.0664196900000003e-06,2.47,3.825
2.47970363e-06,2.592,4.456
3.0996295300000005e-06,2.816,5.849
4.132839380000001e-06,3.466,7.904
6.199259060000001e-06,5.169,11.23
1.23985181e-05,8.613,16.09
