wavelength[m],n,k
5.36732387e-08,0.674,0.236
5.39085538e-08,0.668,0.235
5.4145941300000003e-08,0.662,0.233
5.4385428800000005e-08,0.656,0.231
5.46270442e-08,0.649,0.23
5.4870816e-08,0.642,0.229
5.5116773200000004e-08,0.635,0.227
5.5364945300000004e-08,0.627,0.227
5.561536240000001e-08,0.62,0.226
5.5868055100000004e-08,0.613,0.226
5.6123054500000005e-08,0.606,0.227
5.63803924e-08,0.599,0.227
5.664010110000001e-08,0.593,0.228
5.69022135e-08,0.586,0.229
5.71667631e-08,0.579,0.23
5.743378400000001e-08,0.572,0.232
5.7703311200000004e-08,0.565,0.233
5.79753799e-08,0.557,0.235
5.8250026400000004e-08,0.549,0.238
5.85272875e-08,0.542,0.241
5.8807200600000006e-08,0.534,0.245
5.9089804000000005e-08,0.527,0.25
5.93751367e-08,0.52,0.255
5.96632384e-08,0.513,0.26
5.99541496e-08,0.505,0.266
6.024791150000001e-08,0.498,0.272
6.05445664e-08,0.491,0.279
6.08441572e-08,0.484,0.286
6.11467276e-08,0.477,0.294
6.14523223e-08,0.47,0.302
6.17609869e-08,0.464,0.311
6.207276800000001e-08,0.46,0.32
6.23877128e-08,0.456,0.33
6.27058699e-08,0.452,0.341
6.302728860000001e-08,0.448,0.352
6.335201940000001e-08,0.445,0.363
6.36801137e-08,0.442,0.373
6.4011624e-08,0.44,0.384
6.434660390000001e-08,0.439,0.395
6.46851083e-08,0.438,0.406
6.5027193e-08,0.439,0.417
6.53729151e-08,0.44,0.428
6.572233300000001e-08,0.441,0.44
6.607550630000001e-08,0.443,0.451
6.64324958e-08,0.445,0.463
6.67933637e-08,0.446,0.474
6.71581735e-08,0.448,0.485
6.75269902e-08,0.451,0.496
6.78998802e-08,0.453,0.507
6.827691140000001e-08,0.456,0.517
6.8658153e-08,0.46,0.527
6.90436761e-08,0.464,0.537
6.94335531e-08,0.469,0.546
6.98278582e-08,0.474,0.555
7.02266674e-08,0.479,0.564
7.063005819999999e-08,0.485,0.573
7.103811e-08,0.49,0.581
7.145090410000001e-08,0.495,0.589
7.186852360000001e-08,0.499,0.597
7.229105370000001e-08,0.504,0.606
7.271858140000001e-08,0.507,0.615
7.3151196e-08,0.511,0.624
7.35889888e-08,0.513,0.633
7.40320533e-08,0.516,0.643
7.448048540000001e-08,0.517,0.654
7.493438310000001e-08,0.519,0.664
7.53938469e-08,0.519,0.675
7.585898000000001e-08,0.519,0.687
7.63298879e-08,0.519,0.698
7.68066788e-08,0.52,0.709
7.72894637e-08,0.522,0.719
7.777835620000001e-08,0.526,0.729
7.8273473e-08,0.53,0.737
7.877493380000001e-08,0.535,0.744
7.928286129999999e-08,0.54,0.752
7.979738140000001e-08,0.544,0.76
8.03186232e-08,0.547,0.768
8.084671930000001e-08,0.551,0.777
8.138180590000001e-08,0.554,0.785
8.19240227e-08,0.557,0.794
8.247351310000002e-08,0.559,0.802
8.30304244e-08,0.562,0.81
8.359490820000002e-08,0.564,0.817
8.41671197e-08,0.565,0.824
8.47472189e-08,0.567,0.83
8.533537000000001e-08,0.569,0.835
8.593174170000001e-08,0.569,0.84
8.65365076e-08,0.57,0.845
8.714984629999999e-08,0.569,0.848
8.77719412e-08,0.568,0.849
8.84029813e-08,0.566,0.848
8.90431609e-08,0.564,0.842
8.969268e-08,0.561,0.831
9.03517444e-08,0.558,0.818
9.102056620000001e-08,0.553,0.801
9.169936370000002e-08,0.545,0.782
9.23883616e-08,0.535,0.764
9.308779170000001e-08,0.521,0.744
9.379789280000001e-08,0.506,0.722
9.45189108e-08,0.488,0.698
9.525109960000001e-08,0.47,0.67
9.59947207e-08,0.451,0.638
9.67500439e-08,0.433,0.602
9.75173478e-08,0.417,0.564
9.82969196e-08,0.404,0.526
9.9089056e-08,0.393,0.487
9.98940631e-08,0.384,0.45
1.00712257e-07,0.377,0.414
1.01543965e-07,0.371,0.38
1.02389524e-07,0.366,0.349
1.0324928400000001e-07,0.364,0.322
1.04123604e-07,0.364,0.299
1.05012858e-07,0.365,0.279
1.05917433e-07,0.367,0.265
1.06837726e-07,0.367,0.254
1.0777415300000001e-07,0.365,0.248
1.08727139e-07,0.361,0.247
1.0969713000000001e-07,0.355,0.248
1.1068458400000001e-07,0.346,0.254
1.1168997600000001e-07,0.336,0.263
1.12713801e-07,0.326,0.294
