wavelength[m],n,k
1.9074643300000002e-07,0.958,1.37
1.9222508700000001e-07,0.957093,1.392241
1.93726846e-07,0.958857,1.414571
1.95252254e-07,0.96305,1.436938
1.9680187500000001e-07,0.969428,1.459286
1.9837629000000002e-07,0.97775,1.481562
1.99976099e-07,0.987771,1.503714
2.01601921e-07,0.99925,1.525687
2.0325439600000004e-07,1.011943,1.547429
2.04934184e-07,1.025607,1.568884
2.06641969e-07,1.04,1.59
2.08378456e-07,1.054879,1.610723
2.1014437500000002e-07,1.07,1.631
2.1194048100000003e-07,1.084375,1.650625
2.13767554e-07,1.1,1.67
2.1562640200000003e-07,1.119375,1.69
2.1751786200000003e-07,1.14,1.709
2.1944279900000003e-07,1.159375,1.7255
2.21402109e-07,1.18,1.74
2.2339672300000003e-07,1.204375,1.752375
2.25427602e-07,1.23,1.763
2.2749574500000002e-07,1.255,1.77175
2.2960218800000001e-07,1.28,1.78
2.3174800200000003e-07,1.305,1.7905
2.33934304e-07,1.33,1.799
2.3616225000000003e-07,1.355313,1.80075
2.38433041e-07,1.38,1.8
2.40747925e-07,1.402812,1.80075
2.4310819900000004e-07,1.425,1.799
2.4551521000000003e-07,1.448437,1.790875
2.47970363e-07,1.47,1.78
2.50475114e-07,1.485938,1.77025
2.53030982e-07,1.5,1.757
2.55639549e-07,1.517187,1.733812
2.58302461e-07,1.53,1.71
2.61021434e-07,1.529688,1.693813
2.63798258e-07,1.525,1.682
2.66634798e-07,1.523125,1.675625
2.6953300300000005e-07,1.52,1.67
2.7249490400000003e-07,1.513125,1.65875
2.75522625e-07,1.505,1.648
2.78618385e-07,1.49875,1.643312
2.81784503e-07,1.49,1.64
2.8502340500000006e-07,1.47375,1.633312
2.88337631e-07,1.455,1.629
2.91729838e-07,1.437813,1.630875
2.9520281300000004e-07,1.42,1.64
2.9875947300000006e-07,1.400313,1.662125
3.02402881e-07,1.38,1.687
3.0613625e-07,1.358438,1.703313
3.09962953e-07,1.34,1.72
3.13886535e-07,1.329063,1.744563
3.1791072100000004e-07,1.325,1.77
3.22039432e-07,1.3325,1.791625
3.26276793e-07,1.34,1.81
3.3062715e-07,1.334375,1.822125
3.35095085e-07,1.325,1.834
3.3968542800000003e-07,1.317812,1.85175
3.4440328100000003e-07,1.31,1.872
3.49254032e-07,1.300313,1.89425
3.5424337500000004e-07,1.29,1.916
3.59377337e-07,1.281563,1.931688
3.6466229800000006e-07,1.27,1.95
3.7010501900000006e-07,1.249062,1.972438
3.75712671e-07,1.225,2.015
3.8149286600000003e-07,1.2,2.121562
3.87453692e-07,1.18,2.21
3.9360375000000003e-07,1.174375,2.177188
3.99952198e-07,1.175,2.13
4.06508791e-07,1.1775,2.160063
4.13283938e-07,1.18,2.21
4.2028875000000003e-07,1.178125,2.249938
4.27535108e-07,1.175,2.289
4.3503572400000006e-07,1.172812,2.326
4.42804219e-07,1.17,2.362
4.50855205e-07,1.165312,2.397625
4.592043750000001e-07,1.16,2.433
4.67868609e-07,1.155312,2.469187
4.76866082e-07,1.15,2.504
4.86216397e-07,1.142812,2.535875
4.95940725e-07,1.135,2.564
5.06061964e-07,1.131562,2.589625
5.16604922e-07,1.12,2.605
5.27596516e-07,1.092437,2.595562
5.390660060000001e-07,1.04,2.583
5.5104525e-07,0.950375,2.5765
5.63569006e-07,0.826,2.599
5.76675262e-07,0.645875,2.678062
5.904056250000001e-07,0.468,2.809
6.04805762e-07,0.35125,3.01075
6.19925906e-07,0.272,3.24
6.358214430000001e-07,0.230813,3.458187
6.52553586e-07,0.214,3.67
6.70190169e-07,0.20925,3.863125
6.888065630000001e-07,0.213,4.05
7.084867500000001e-07,0.21625,4.239563
7.293245960000001e-07,0.223,4.43
7.51425341e-07,0.2365,4.619563
7.74907383e-07,0.25,4.817
7.999043950000001e-07,0.254188,5.034125
8.26567875e-07,0.26,5.26
8.55070216e-07,0.28,5.485625
8.85608438e-07,0.3,5.717
9.184087500000002e-07,0.30625,5.953374
9.53732164e-07,0.31,6.206
9.9188145e-07,0.31625,6.48325
1.03320984e-06,0.33,6.793
1.0781320100000002e-06,0.364188,7.146813
1.12713801e-06,0.4,7.542
1.1808112500000001e-06,0.414438,8.116563
1.2398518099999999e-06,0.433,8.46
1.3051071700000002e-06,0.482188,7.911125
1.3776131300000001e-06,0.536,7.36
1.4586491900000002e-06,0.570125,7.669375
1.54981477e-06,0.606,8.26
1.65313575e-06,0.658438,8.791875
1.7712168800000001e-06,0.723,9.41
1.90746433e-06,0.797563,10.13938
2.0664196900000003e-06,0.89,11.0
2.25427602e-06,1.005687,12.01313
2.47970363e-06,1.15,13.2
