wavelength[m],n,k
2.9520281300000004e-07,1.978852,1.87676
2.9875947300000006e-07,1.994013,1.857233
3.02402881e-07,2.012777,1.83512
3.0613625e-07,2.034918,1.810514
3.09962953e-07,2.060214,1.783504
3.13886535e-07,2.088441,1.754182
3.1791072100000004e-07,2.119375,1.722639
3.22039432e-07,2.152793,1.688964
3.26276793e-07,2.188471,1.653251
3.3062715e-07,2.226184,1.615588
3.35095085e-07,2.265711,1.576068
3.3968542800000003e-07,2.306826,1.534781
3.4440328100000003e-07,2.349307,1.491817
3.49254032e-07,2.39293,1.447269
3.5424337500000004e-07,2.43747,1.401226
3.59377337e-07,2.482704,1.35378
3.6466229800000006e-07,2.52841,1.305022
3.7010501900000006e-07,2.574362,1.255041
3.75712671e-07,2.620338,1.203931
3.8149286600000003e-07,2.666113,1.151781
3.87453692e-07,2.711464,1.098681
3.9360375000000003e-07,2.756167,1.044724
3.99952198e-07,2.8,0.99
4.06508791e-07,2.845202,0.931971
4.13283938e-07,2.888663,0.873808
4.2028875000000003e-07,2.929903,0.815873
4.27535108e-07,2.968444,0.758531
4.3503572400000006e-07,3.003805,0.702145
4.42804219e-07,3.035508,0.647078
4.50855205e-07,3.062539,0.593956
4.592043750000001e-07,3.081373,0.544624
4.67868609e-07,3.096225,0.49716
4.76866082e-07,3.107322,0.451581
4.86216397e-07,3.114892,0.407908
4.95940725e-07,3.119164,0.366157
5.06061964e-07,3.121439,0.324937
5.16604922e-07,3.121202,0.285244
5.27596516e-07,3.117477,0.248678
5.390660060000001e-07,3.110044,0.215848
5.5104525e-07,3.098667,0.187747
5.63569006e-07,3.083036,0.167556
5.76675262e-07,3.063094,0.1511
5.904056250000001e-07,3.038666,0.137625
6.04805762e-07,3.007648,0.126046
6.19925906e-07,2.969526,0.115553
6.358214430000001e-07,2.930872,0.106566
6.52553586e-07,2.895401,0.09885
6.70190169e-07,2.868546,0.092196
6.888065630000001e-07,2.843882,0.086246
7.084867500000001e-07,2.820007,0.080571
7.293245960000001e-07,2.795386,0.074987
7.51425341e-07,2.767959,0.069686
7.74907383e-07,2.733111,0.064633
7.999043950000001e-07,2.7,0.06
8.26567875e-07,2.676438,0.055959
8.55070216e-07,2.656347,0.052422
8.85608438e-07,2.637448,0.049348
9.184087500000002e-07,2.621387,0.046008
9.53732164e-07,2.609016,0.042744
9.9188145e-07,2.601201,0.040443
1.03320984e-06,2.595899,0.037691
1.0781320100000002e-06,2.59181,0.034515
1.12713801e-06,2.587311,0.031347
1.1808112500000001e-06,2.581948,0.02815
1.2398518099999999e-06,2.575218,0.024451
1.3051071700000002e-06,2.569868,0.020754
1.3776131300000001e-06,2.569769,0.017827
1.4586491900000002e-06,2.570047,0.014585
1.54981477e-06,2.569227,0.011237
1.65313575e-06,2.566955,0.008159
1.7712168800000001e-06,2.564123,0.005417
1.90746433e-06,2.561361,0.003119
2.0664196900000003e-06,2.5593,0.001376
2.25427602e-06,2.558569,0.000296
2.47970363e-06,2.559798,1.2e-05
