wavelength[m],n,k
2.9520281300000004e-07,2.178582,1.58335
2.9875947300000006e-07,2.179536,1.520446
3.02402881e-07,2.181104,1.461637
3.0613625e-07,2.183285,1.406746
3.09962953e-07,2.186078,1.355593
3.13886535e-07,2.189483,1.308
3.1791072100000004e-07,2.193499,1.263787
3.22039432e-07,2.198124,1.222775
3.26276793e-07,2.203358,1.184786
3.3062715e-07,2.209199,1.149639
3.35095085e-07,2.215647,1.117157
3.3968542800000003e-07,2.222701,1.08716
3.4440328100000003e-07,2.23036,1.059469
3.49254032e-07,2.238622,1.033905
3.5424337500000004e-07,2.247487,1.010289
3.59377337e-07,2.256955,0.988441
3.6466229800000006e-07,2.267023,0.968184
3.7010501900000006e-07,2.277691,0.949337
3.75712671e-07,2.288959,0.931723
3.8149286600000003e-07,2.300824,0.915161
3.87453692e-07,2.313287,0.899472
3.9360375000000003e-07,2.326346,0.884478
3.99952198e-07,2.34,0.87
4.06508791e-07,2.35498,0.855138
4.13283938e-07,2.370428,0.840557
4.2028875000000003e-07,2.386267,0.826153
4.27535108e-07,2.402421,0.811821
4.3503572400000006e-07,2.418812,0.797457
4.42804219e-07,2.435363,0.782956
4.50855205e-07,2.452146,0.768197
4.592043750000001e-07,2.469921,0.75297
4.67868609e-07,2.48732,0.737331
4.76866082e-07,2.504071,0.721201
4.86216397e-07,2.519901,0.704498
4.95940725e-07,2.534539,0.687143
5.06061964e-07,2.545072,0.668975
5.16604922e-07,2.553058,0.64997
5.27596516e-07,2.561184,0.630135
5.390660060000001e-07,2.570285,0.609426
5.5104525e-07,2.581532,0.58787
5.63569006e-07,2.598019,0.565932
5.76675262e-07,2.616375,0.542613
5.904056250000001e-07,2.636239,0.517596
6.04805762e-07,2.654699,0.490007
6.19925906e-07,2.670943,0.459431
6.358214430000001e-07,2.693542,0.427495
6.52553586e-07,2.728491,0.394976
6.70190169e-07,2.786194,0.3631
6.888065630000001e-07,2.846607,0.329994
7.084867500000001e-07,2.902113,0.295697
7.293245960000001e-07,2.945621,0.259105
7.51425341e-07,2.970684,0.216871
7.74907383e-07,2.968789,0.162816
7.999043950000001e-07,2.94,0.11
8.26567875e-07,2.870161,0.065856
8.55070216e-07,2.800656,0.037472
8.85608438e-07,2.756436,0.030896
9.184087500000002e-07,2.719769,0.026297
9.53732164e-07,2.686682,0.019222
9.9188145e-07,2.655606,0.011468
1.03320984e-06,2.633018,0.00532
1.0781320100000002e-06,2.616635,0.001204
1.12713801e-06,2.600242,0.000395
1.1808112500000001e-06,2.584383,0.000188
1.2398518099999999e-06,2.575135,0.0
1.3051071700000002e-06,2.569314,0.0
1.3776131300000001e-06,2.561531,0.0
1.4586491900000002e-06,2.559386,0.0
1.54981477e-06,2.559227,0.0
1.65313575e-06,2.556955,0.0
1.7712168800000001e-06,2.554123,0.0
1.90746433e-06,2.551361,0.0
2.0664196900000003e-06,2.5493,0.0
2.25427602e-06,2.548569,0.0
2.47970363e-06,2.549798,0.0
