wavelength[m],n,k
2.13767554e-07,2.78,0.005
2.1562640200000003e-07,2.777635,0.004006
2.1751786200000003e-07,2.768824,0.002879
2.1944279900000003e-07,2.755479,0.001769
2.21402109e-07,2.739474,0.000839
2.2339672300000003e-07,2.722707,0.000246
2.25427602e-07,2.707873,4.2e-05
2.2749574500000002e-07,2.696881,4.6e-05
2.2960218800000001e-07,2.689782,0.0
2.3174800200000003e-07,2.685803,0.0
2.33934304e-07,2.680716,0.0
2.3616225000000003e-07,2.673727,0.0
2.38433041e-07,2.666341,0.0
2.40747925e-07,2.658925,0.0
2.4310819900000004e-07,2.651765,0.0
2.4551521000000003e-07,2.645016,0.0
2.47970363e-07,2.638919,0.0
2.50475114e-07,2.633283,0.0
2.53030982e-07,2.627995,0.0
2.55639549e-07,2.622707,0.0
2.58302461e-07,2.61707,0.0
2.61021434e-07,2.610958,0.0
2.63798258e-07,2.604158,0.0
2.66634798e-07,2.597142,0.0
2.6953300300000005e-07,2.590202,0.0
2.7249490400000003e-07,2.583697,0.0
2.75522625e-07,2.577848,0.0
2.78618385e-07,2.572595,0.0
2.81784503e-07,2.567872,0.0
2.8502340500000006e-07,2.563535,0.0
2.88337631e-07,2.559342,0.0
2.91729838e-07,2.554858,0.0
2.9520281300000004e-07,2.550042,0.0
2.9875947300000006e-07,2.544889,0.0
3.02402881e-07,2.539556,0.0
3.0613625e-07,2.534146,0.0
3.09962953e-07,2.528992,0.0
3.13886535e-07,2.524647,0.0
3.1791072100000004e-07,2.520547,0.0
3.22039432e-07,2.516325,0.0
3.26276793e-07,2.512084,0.0
3.3062715e-07,2.507818,0.0
3.35095085e-07,2.503783,0.0
3.3968542800000003e-07,2.500085,0.0
3.4440328100000003e-07,2.496436,0.0
3.49254032e-07,2.492742,0.0
3.5424337500000004e-07,2.489047,0.0
3.59377337e-07,2.485352,0.0
3.6466229800000006e-07,2.481608,0.0
3.7010501900000006e-07,2.477927,0.0
3.75712671e-07,2.474595,0.0
3.8149286600000003e-07,2.471478,0.0
3.87453692e-07,2.468325,0.0
3.9360375000000003e-07,2.465158,0.0
3.99952198e-07,2.461929,0.0
4.06508791e-07,2.458845,0.0
4.13283938e-07,2.456156,0.0
4.2028875000000003e-07,2.453576,0.0
4.27535108e-07,2.450937,0.0
4.3503572400000006e-07,2.448298,0.0
4.42804219e-07,2.445659,0.0
4.50855205e-07,2.44302,0.0
4.592043750000001e-07,2.440381,0.0
4.67868609e-07,2.437702,0.0
4.76866082e-07,2.435051,0.0
4.86216397e-07,2.432711,0.0
4.95940725e-07,2.430633,0.0
5.06061964e-07,2.428549,0.0
5.16604922e-07,2.426437,0.0
5.27596516e-07,2.424326,0.0
5.390660060000001e-07,2.422215,0.0
5.5104525e-07,2.420104,0.0
5.63569006e-07,2.417992,0.0
5.76675262e-07,2.415818,0.0
5.904056250000001e-07,2.41381,0.0
6.04805762e-07,2.412187,0.0
6.19925906e-07,2.410661,0.0
6.358214430000001e-07,2.409077,0.0
6.52553586e-07,2.407494,0.0
6.70190169e-07,2.40591,0.0
6.888065630000001e-07,2.404327,0.0
7.084867500000001e-07,2.402744,0.0
7.293245960000001e-07,2.401117,0.0
7.51425341e-07,2.39953,0.0
7.74907383e-07,2.398267,0.0
7.999043950000001e-07,2.397251,0.0
8.26567875e-07,2.396273,0.0
8.55070216e-07,2.395186,0.0
8.85608438e-07,2.393664,0.0
9.184087500000002e-07,2.392072,0.0
9.53732164e-07,2.39087,0.0
9.9188145e-07,2.389965,0.0
1.03320984e-06,2.389447,0.0
1.0781320100000002e-06,2.388853,0.0
1.12713801e-06,2.387828,0.0
1.1808112500000001e-06,2.386694,0.0
1.2398518099999999e-06,2.3856,0.0
1.3051071700000002e-06,2.384787,0.0
1.3776131300000001e-06,2.38429,0.0
1.4586491900000002e-06,2.383471,0.0
1.54981477e-06,2.382372,0.0
1.65313575e-06,2.381926,0.0
1.7712168800000001e-06,2.381989,0.0
1.90746433e-06,2.381699,0.0
2.0664196900000003e-06,2.381126,0.0
2.25427602e-06,2.380523,0.0
2.47970363e-06,2.380037,0.0
