wavelength[m],n,k
1.37761313e-07,0.628,1.39
1.39309192e-07,0.6,1.41
1.40892251e-07,0.569,1.432
1.42511703e-07,0.558,1.46
1.4416881500000002e-07,0.56,1.492
1.45864919e-07,0.56,1.522
1.4760140600000002e-07,0.562,1.556
1.4937973600000003e-07,0.573,1.596
1.51201441e-07,0.584,1.64
1.53068125e-07,0.594,1.685
1.54981477e-07,0.604,1.731
1.56943267e-07,0.614,1.775
1.5895536100000002e-07,0.633,1.817
1.61019716e-07,0.667,1.858
1.6313839600000002e-07,0.704,1.9
1.65313575e-07,0.727,1.942
1.67547542e-07,0.735,1.984
1.6984271400000002e-07,0.744,2.028
1.7220164100000002e-07,0.761,2.072
1.74627016e-07,0.786,2.115
1.7712168800000002e-07,0.813,2.157
1.79688669e-07,0.843,2.199
1.8233114900000003e-07,0.876,2.242
1.85052509e-07,0.911,2.287
1.87856335e-07,0.949,2.334
1.9074643300000002e-07,0.987,2.381
1.93726846e-07,1.023,2.429
1.9680187500000001e-07,1.059,2.477
1.99976099e-07,1.102,2.524
2.0325439600000004e-07,1.153,2.573
2.06641969e-07,1.212,2.623
2.1014437500000002e-07,1.278,2.676
2.13767554e-07,1.347,2.73
2.1751786200000003e-07,1.42,2.783
2.21402109e-07,1.499,2.831
2.25427602e-07,1.589,2.874
2.2960218800000001e-07,1.69,2.91
2.33934304e-07,1.801,2.938
2.38433041e-07,1.917,2.959
2.4310819900000004e-07,2.036,2.975
2.47970363e-07,2.157,2.984
2.53030982e-07,2.276,2.977
2.58302461e-07,2.386,2.945
2.63798258e-07,2.478,2.892
2.6953300300000005e-07,2.542,2.827
2.75522625e-07,2.567,2.76
