wavelength[m],n,k
2.47970363e-07,2.019,2.888
2.53030982e-07,2.103,2.912
2.58302461e-07,2.217,2.924
2.63798258e-07,2.317,2.934
2.6953300300000005e-07,2.426,2.928
2.75522625e-07,2.513,2.911
2.81784503e-07,2.627,2.918
2.88337631e-07,2.729,2.874
2.9520281300000004e-07,2.811,2.841
3.02402881e-07,2.895,2.802
3.09962953e-07,2.973,2.767
3.1791072100000004e-07,3.052,2.718
3.26276793e-07,3.12,2.665
3.35095085e-07,3.176,2.6
3.4440328100000003e-07,3.207,2.549
3.5424337500000004e-07,3.235,2.506
3.6466229800000006e-07,3.258,2.475
3.75712671e-07,3.277,2.45
3.87453692e-07,3.295,2.439
3.99952198e-07,3.319,2.439
4.13283938e-07,3.352,2.436
4.27535108e-07,3.369,2.45
4.42804219e-07,3.401,2.481
4.592043750000001e-07,3.468,2.519
4.76866082e-07,3.536,2.539
4.95940725e-07,3.591,2.563
5.16604922e-07,3.646,2.606
5.390660060000001e-07,3.744,2.669
5.63569006e-07,3.863,2.726
5.904056250000001e-07,3.998,2.775
6.19925906e-07,4.191,2.854
6.52553586e-07,4.451,2.834
6.888065630000001e-07,4.691,2.74
7.293245960000001e-07,4.874,2.618
7.74907383e-07,5.033,2.486
8.26567875e-07,5.217,2.324
8.85608438e-07,5.378,2.178
9.53732164e-07,5.583,2.021
1.03320984e-06,5.792,1.821
1.12713801e-06,5.979,1.569
1.2398518099999999e-06,6.273,1.21
1.3776131300000001e-06,6.792,0.258
1.54981477e-06,6.42,0.015
1.7712168800000001e-06,6.164,0.0
2.0664196900000003e-06,5.983,0.0
2.47970363e-06,5.85,0.0
3.0996295300000005e-06,5.758,0.0
4.132839380000001e-06,5.726,0.0
6.199259060000001e-06,5.706,0.0
