wavelength[m],n,k
2.06641969e-07,1.99,0.664
2.08378456e-07,1.987562,0.65625
2.1014437500000002e-07,1.999,0.647
2.1194048100000003e-07,2.021688,0.63575
2.13767554e-07,2.053,0.622
2.1562640200000003e-07,2.090188,0.605
2.1751786200000003e-07,2.131,0.585
2.1944279900000003e-07,2.17325,0.562313
2.21402109e-07,2.214,0.536
2.2339672300000003e-07,2.252125,0.506125
2.25427602e-07,2.28,0.47
2.2749574500000002e-07,2.286125,0.422812
2.2960218800000001e-07,2.281,0.371
2.3174800200000003e-07,2.271,0.318562
2.33934304e-07,2.257,0.268
2.3616225000000003e-07,2.242,0.22325
2.38433041e-07,2.226,0.184
2.40747925e-07,2.210188,0.152063
2.4310819900000004e-07,2.194,0.125
2.4551521000000003e-07,2.176875,0.100875
2.47970363e-07,2.16,0.08
2.50475114e-07,2.14475,0.062062
2.53030982e-07,2.13,0.047
2.55639549e-07,2.11525,0.034687
2.58302461e-07,2.1,0.025
2.61021434e-07,2.08325,0.017937
2.63798258e-07,2.066,0.013
2.66634798e-07,2.048875,0.00975
2.6953300300000005e-07,2.032,0.008
2.7249490400000003e-07,2.015313,0.007813
2.75522625e-07,2.0,0.008
2.78618385e-07,1.987625,0.007125
2.81784503e-07,1.977,0.006
2.8502340500000006e-07,1.967562,0.004875
2.88337631e-07,1.959,0.004
2.91729838e-07,1.950625,0.003875
2.9520281300000004e-07,1.943,0.004
2.9875947300000006e-07,1.936687,0.003938
3.02402881e-07,1.931,0.004
3.0613625e-07,1.9255,0.004562
3.09962953e-07,1.92,0.005
3.13886535e-07,1.913938,0.004563
3.1791072100000004e-07,1.908,0.004
3.22039432e-07,1.902875,0.004
3.26276793e-07,1.898,0.004
3.3062715e-07,1.892937,0.0035
3.35095085e-07,1.888,0.003
3.3968542800000003e-07,1.883437,0.003
3.4440328100000003e-07,1.879,0.003
3.49254032e-07,1.874438,0.002563
3.5424337500000004e-07,1.87,0.002
3.59377337e-07,1.866,0.001438
3.6466229800000006e-07,1.862,0.001
3.7010501900000006e-07,1.8575,0.000937
3.75712671e-07,1.853,0.001
3.8149286600000003e-07,1.848875,0.001063
3.87453692e-07,1.845,0.001
3.9360375000000003e-07,1.8415,0.0005
3.99952198e-07,1.838,0.0
4.06508791e-07,1.834125,6.2e-05
4.13283938e-07,1.83,0.0
4.2028875000000003e-07,1.825563,0.0
4.27535108e-07,1.821,0.0
4.3503572400000006e-07,1.816437,0.0
4.42804219e-07,1.812,0.0
4.50855205e-07,1.807875,0.0
4.592043750000001e-07,1.804,0.0
4.67868609e-07,1.800437,0.0
4.76866082e-07,1.797,0.0
4.86216397e-07,1.79325,0.0
4.95940725e-07,1.79,0.0
5.06061964e-07,1.78825,0.0
5.16604922e-07,1.787,0.0
5.27596516e-07,1.785375,0.0
5.390660060000001e-07,1.784,0.0
5.5104525e-07,1.783437,0.0
5.63569006e-07,1.783,0.0
5.76675262e-07,1.782,0.0
5.904056250000001e-07,1.781,0.0
6.04805762e-07,1.780562,0.0
6.19925906e-07,1.78,0.0
6.358214430000001e-07,1.778625,0.0
6.52553586e-07,1.777,0.0
6.70190169e-07,1.7755,0.0
6.888065630000001e-07,1.774,0.0
7.084867500000001e-07,1.7725,0.0
7.293245960000001e-07,1.771,0.0
7.51425341e-07,1.7695,0.0
7.74907383e-07,1.768,0.0
7.999043950000001e-07,1.7665,0.0
8.26567875e-07,1.765,0.0
8.55070216e-07,1.763438,0.0
8.85608438e-07,1.762,0.0
9.184087500000002e-07,1.760937,0.0
9.53732164e-07,1.76,0.0
9.9188145e-07,1.759,0.0
1.03320984e-06,1.758,0.0
1.0781320100000002e-06,1.756938,0.0
1.12713801e-06,1.756,0.0
1.1808112500000001e-06,1.755313,0.0
1.2398518099999999e-06,1.755,0.0
