wavelength[m],n,k
2.06641969e-07,2.058,0.6343
2.1014437500000002e-07,2.127,0.6169
2.13767554e-07,2.196,0.5814
2.1751786200000003e-07,2.256,0.5275
2.21402109e-07,2.302,0.4587
2.25427602e-07,2.328,0.3818
2.2960218800000001e-07,2.335,0.3046
2.33934304e-07,2.324,0.2337
2.38433041e-07,2.301,0.173
2.4310819900000004e-07,2.271,0.1234
2.47970363e-07,2.237,0.08452
2.53030982e-07,2.203,0.05479
2.58302461e-07,2.169,0.03253
2.63798258e-07,2.138,0.01617
2.6953300300000005e-07,2.109,0.004345
2.75522625e-07,2.083,0.0
2.81784503e-07,2.058,0.0
2.88337631e-07,2.036,0.0
2.9520281300000004e-07,2.016,0.0
3.02402881e-07,1.998,0.0
3.09962953e-07,1.982,0.0
3.1791072100000004e-07,1.967,0.0
3.26276793e-07,1.953,0.0
3.35095085e-07,1.94,0.0
3.4440328100000003e-07,1.928,0.0
3.5424337500000004e-07,1.918,0.0
3.6466229800000006e-07,1.908,0.0
3.75712671e-07,1.898,0.0
3.87453692e-07,1.89,0.0
3.99952198e-07,1.881,0.0
4.13283938e-07,1.874,0.0
4.27535108e-07,1.867,0.0
4.42804219e-07,1.86,0.0
4.592043750000001e-07,1.854,0.0
4.76866082e-07,1.848,0.0
4.95940725e-07,1.842,0.0
5.16604922e-07,1.837,0.0
5.390660060000001e-07,1.832,0.0
5.63569006e-07,1.827,0.0
5.904056250000001e-07,1.822,0.0
6.19925906e-07,1.817,0.0
6.52553586e-07,1.813,0.0
6.888065630000001e-07,1.809,0.0
7.293245960000001e-07,1.805,0.0
7.74907383e-07,1.801,0.0
