wavelength[m],n,k
2.75829102e-07,3.9389,3.0071
2.76752637e-07,3.9736,2.9584
2.77682377e-07,3.9996,2.9242
2.78618385e-07,4.0102,2.8854
2.7956072400000003e-07,4.0286,2.8312
2.8050946e-07,4.0452,2.7728
2.81464657e-07,4.038,2.713
2.82426381e-07,4.0195,2.651
2.833947e-07,4.0159,2.597
2.84369682e-07,4.0033,2.5502
2.8535139500000003e-07,3.9886,2.4998
2.86339911e-07,3.9765,2.4578
2.87335298e-07,3.9653,2.419
2.88337631e-07,3.9466,2.3757
2.8934698100000004e-07,3.9341,2.3381
2.9036342200000004e-07,3.9251,2.2991
2.9138703e-07,3.908,2.268
2.9241788000000006e-07,3.8973,2.2458
2.9345605e-07,3.8833,2.2208
2.9450161800000004e-07,3.8658,2.204
2.95554663e-07,3.8447,2.1813
2.9661526600000005e-07,3.8209,2.1614
2.97683509e-07,3.8009,2.1313
2.9875947300000006e-07,3.7764,2.1096
2.9984324400000003e-07,3.7593,2.093
3.0093490600000004e-07,3.7426,2.0777
3.02034546e-07,3.7284,2.0657
3.03142253e-07,3.7143,2.0569
3.04258114e-07,3.7,2.0487
3.0538222000000006e-07,3.6886,2.0417
3.06514663e-07,3.6737,2.0294
3.07655537e-07,3.6637,2.0207
3.08804935e-07,3.6556,2.0061
3.09962953e-07,3.6446,1.9988
3.1112969e-07,3.6328,1.9921
3.12305243e-07,3.6211,1.9881
3.13489712e-07,3.6096,1.9815
3.1468320100000003e-07,3.598,1.9787
3.15885812e-07,3.5893,1.9761
3.1709765e-07,3.5808,1.9773
3.18318822e-07,3.5716,1.9757
3.1954943600000004e-07,3.5654,1.9733
3.2078960200000004e-07,3.5592,1.9738
3.22039432e-07,3.5526,1.9799
3.23299039e-07,3.544,1.9802
3.24568537e-07,3.5411,1.9843
3.25848045e-07,3.5355,1.982
3.27137682e-07,3.5318,1.9816
3.28437566e-07,3.5315,1.98
3.29747823e-07,3.5297,1.9829
3.3106857500000003e-07,3.5207,1.9834
3.3239995e-07,3.5192,1.985
3.3374207600000004e-07,3.513,1.9855
3.35095085e-07,3.5092,1.9872
3.3645910800000003e-07,3.5064,1.9821
3.37834281e-07,3.5097,1.9808
3.39220742e-07,3.5119,1.9795
3.4061863e-07,3.5177,1.9798
3.42028086e-07,3.5253,1.9819
3.43449256e-07,3.5292,1.989
3.4488228500000003e-07,3.5289,1.9987
3.46327322e-07,3.5363,2.0075
3.4778452e-07,3.5369,2.0131
3.49254032e-07,3.5421,2.0198
3.50736015e-07,3.5466,2.0261
3.5223062900000003e-07,3.5524,2.0317
3.5373803500000006e-07,3.5581,2.0382
3.5525839900000004e-07,3.5651,2.0445
3.5679188900000003e-07,3.5711,2.051
3.58338674e-07,3.5778,2.0597
3.5989893e-07,3.5856,2.0695
3.61472832e-07,3.5943,2.0803
3.6306056000000004e-07,3.605,2.0926
3.6466229800000006e-07,3.6171,2.1035
3.66278231e-07,3.6301,2.115
3.6790855e-07,3.6441,2.1256
3.6955344600000003e-07,3.6587,2.1376
3.7121311800000003e-07,3.6741,2.1493
3.7288776300000004e-07,3.6896,2.1609
3.74577587e-07,3.7079,2.1746
3.7628279600000006e-07,3.7284,2.1901
3.78003601e-07,3.7497,2.206
3.7974021800000003e-07,3.7755,2.2227
3.8149286600000003e-07,3.8035,2.2395
3.8326176600000006e-07,3.8358,2.2578
3.85047147e-07,3.8725,2.2774
3.8684924000000005e-07,3.9152,2.2981
3.8866828e-07,3.9665,2.3159
3.90504508e-07,4.0255,2.3297
3.92358169e-07,4.0916,2.3371
3.9422951100000003e-07,4.1617,2.3335
3.9611879000000003e-07,4.2322,2.316
3.98026264e-07,4.3,2.2873
3.99952198e-07,4.3593,2.2479
4.0189686e-07,4.4081,2.2034
4.03860525e-07,4.4473,2.1584
4.0584347400000004e-07,4.4778,2.1145
4.0784599100000006e-07,4.5045,2.0766
4.09868368e-07,4.5267,2.0464
4.11910901e-07,4.5464,2.0242
4.13973894e-07,4.569,2.0114
4.1605765500000005e-07,4.6028,2.0064
4.1816250000000005e-07,4.6498,2.0077
4.2028875000000003e-07,4.7176,2.0052
4.2243673400000003e-07,4.8034,1.9895
4.24606785e-07,4.9023,1.9501
4.26799247e-07,5.0051,1.8798
4.2901446800000006e-07,5.0965,1.7779
4.3125280400000006e-07,5.1622,1.6516
4.3351462e-07,5.1949,1.5157
4.3580028600000006e-07,5.1982,1.385
4.38110181e-07,5.1798,1.2665
4.404446940000001e-07,5.1495,1.1635
4.42804219e-07,5.1114,1.0804
4.4518916100000006e-07,5.0717,1.0068
4.4759993200000003e-07,5.0307,0.94224
4.50036956e-07,4.9906,0.8849
4.5250066200000003e-07,4.9486,0.83205
4.5499149100000004e-07,4.9073,0.78749
4.57509894e-07,4.8674,0.74561
4.6005633100000004e-07,4.8277,0.70911
4.6263127300000007e-07,4.7883,0.6773
4.6523520200000007e-07,4.7528,0.64643
4.67868609e-07,4.7166,0.62493
4.70531997e-07,4.682,0.60022
4.7322588300000006e-07,4.6496,0.57679
4.75950792e-07,4.6187,0.5555
4.787072640000001e-07,4.5879,0.53587
4.8149585e-07,4.559,0.51749
4.84317114e-07,4.5314,0.49773
4.87171636e-07,4.504,0.48127
4.900600050000001e-07,4.4767,0.46593
4.92982828e-07,4.4517,0.44847
4.95940725e-07,4.4255,0.43582
4.98934331e-07,4.3999,0.42242
5.01964297e-07,4.3761,0.40894
5.05031288e-07,4.353,0.39546
5.081359890000001e-07,4.3307,0.38313
5.11279098e-07,4.3096,0.37126
5.14461333e-07,4.2888,0.36115
5.176834290000001e-07,4.2682,0.35345
5.2094614e-07,4.2483,0.34461
5.24250238e-07,4.2293,0.33471
5.27596516e-07,4.2105,0.32874
5.30985787e-07,4.1922,0.32167
5.344188850000001e-07,4.1744,0.31317
5.37896665e-07,4.1571,0.30544
5.41420006e-07,4.1404,0.29886
5.449898080000001e-07,4.1239,0.293
5.48606997e-07,4.1079,0.28787
5.52272522e-07,4.0927,0.28442
5.5598736e-07,4.0784,0.27915
5.59752511e-07,4.0647,0.27368
5.63569006e-07,4.0516,0.26973
5.67437901e-07,4.0385,0.26471
5.71360282e-07,4.0255,0.26004
5.75337268e-07,4.0127,0.25626
5.793700060000001e-07,4.0005,0.25076
5.834596770000001e-07,3.9886,0.246
5.87607494e-07,3.9765,0.24131
5.91814708e-07,3.9648,0.23732
5.96082602e-07,3.9535,0.2327
6.004125e-07,3.9426,0.2276
6.04805762e-07,3.9314,0.22338
6.0926379e-07,3.9206,0.21925
6.13788026e-07,3.9105,0.21448
6.18379957e-07,3.9007,0.211
6.230411120000001e-07,3.8912,0.20738
6.2777307e-07,3.8816,0.20493
6.325774560000001e-07,3.8721,0.20233
