wavelength[m],n,k
2.06641969e-07,0.91,2.28
2.0750658000000002e-07,1.174051,2.584624
2.08378456e-07,1.30331,2.734176
2.0925769000000002e-07,1.340224,2.791423
2.1014437500000002e-07,1.329603,2.802104
2.11038606e-07,1.330961,2.833261
2.1194048100000003e-07,1.34014,2.863911
2.12850097e-07,1.341124,2.894315
2.13767554e-07,1.352022,2.926526
2.1469295500000002e-07,1.36016,2.967516
2.1562640200000003e-07,1.361323,3.01071
2.1656800200000002e-07,1.374623,3.060097
2.1751786200000003e-07,1.393167,3.100028
2.1847609e-07,1.402828,3.14356
2.1944279900000003e-07,1.412584,3.195223
2.2041810000000003e-07,1.426395,3.24582
2.21402109e-07,1.443592,3.300751
2.2239494400000004e-07,1.456228,3.358581
2.2339672300000003e-07,1.481659,3.411747
2.24407568e-07,1.507762,3.482341
2.25427602e-07,1.535523,3.560491
2.26456952e-07,1.581582,3.635878
2.2749574500000002e-07,1.637454,3.718267
2.2854411300000002e-07,1.703765,3.799393
2.2960218800000001e-07,1.779868,3.886985
2.3067010500000002e-07,1.872507,3.974721
2.3174800200000003e-07,1.980327,4.050807
2.32836021e-07,2.103921,4.11709
2.33934304e-07,2.25087,4.166738
2.3504299800000001e-07,2.398179,4.194941
2.3616225000000003e-07,2.547949,4.201643
2.37292213e-07,2.69544,4.194974
2.38433041e-07,2.83092,4.170044
2.3958489100000004e-07,2.963871,4.138472
2.40747925e-07,3.088558,4.109499
2.4192230500000004e-07,3.219612,4.05654
2.4310819900000004e-07,3.337315,3.978056
2.44305776e-07,3.441726,3.896099
2.4551521000000003e-07,3.527103,3.805912
2.46736679e-07,3.600002,3.713286
2.47970363e-07,3.662745,3.629862
2.49216445e-07,3.715049,3.557736
2.50475114e-07,3.756424,3.476572
2.5174656100000003e-07,3.807035,3.413487
2.53030982e-07,3.838574,3.362094
2.54328577e-07,3.888845,3.311152
2.55639549e-07,3.940027,3.249973
2.56964106e-07,4.011246,3.178342
2.58302461e-07,4.062332,3.096201
2.5965483e-07,4.112355,3.004225
2.61021434e-07,4.1429,2.911549
2.624025e-07,4.171877,2.808945
2.63798258e-07,4.180568,2.707875
2.65208944e-07,4.179121,2.616034
2.66634798e-07,4.167238,2.525354
2.6807606800000003e-07,4.144912,2.44582
2.6953300300000005e-07,4.111447,2.37406
2.71005861e-07,4.072281,2.306581
2.7249490400000003e-07,4.042167,2.258996
2.74000401e-07,4.011517,2.218255
2.75522625e-07,3.980863,2.179804
2.77061858e-07,3.950204,2.153342
2.78618385e-07,3.919044,2.129159
2.8019250000000004e-07,3.89197,2.105567
2.81784503e-07,3.87217,2.091703
2.833947e-07,3.851737,2.079289
2.8502340500000006e-07,3.8313,2.076291
2.86670939e-07,3.810862,2.064828
2.88337631e-07,3.789199,2.059367
2.90023816e-07,3.779376,2.06
2.91729838e-07,3.775393,2.06
2.9345605e-07,3.76456,2.06
2.9520281300000004e-07,3.753703,2.059359
2.96970494e-07,3.749429,2.065302
2.9875947300000006e-07,3.75,2.076089
3.00570136e-07,3.75,2.085672
3.02402881e-07,3.749376,2.103165
3.04258114e-07,3.756258,2.116616
3.0613625e-07,3.76696,2.133459
3.0803771700000003e-07,3.777176,2.154352
3.09962953e-07,3.786838,2.174792
3.11912406e-07,3.804318,2.194694
3.13886535e-07,3.83365,2.222641
3.15885812e-07,3.855461,2.261873
3.1791072100000004e-07,3.892491,2.302615
3.19961758e-07,3.933141,2.351773
3.22039432e-07,3.991073,2.411638
3.2414426500000006e-07,4.069457,2.481936
3.26276793e-07,4.197011,2.56343
3.28437566e-07,4.367345,2.626905
3.3062715e-07,4.599164,2.659998
3.32846124e-07,4.874121,2.6121
3.35095085e-07,5.150102,2.449913
3.37374643e-07,5.363357,2.193662
3.3968542800000003e-07,5.461654,1.887116
3.42028086e-07,5.458707,1.603437
3.4440328100000003e-07,5.413401,1.371787
3.4681169600000003e-07,5.320179,1.181868
3.49254032e-07,5.228231,1.032817
3.5173101100000005e-07,5.136029,0.91346
3.5424337500000004e-07,5.045318,0.815161
3.5679188900000003e-07,4.965795,0.73305
3.59377337e-07,4.894753,0.659609
3.62000529e-07,4.823237,0.618561
3.6466229800000006e-07,4.751308,0.566128
3.673635e-07,4.681991,0.52034
3.7010501900000006e-07,4.624158,0.490854
3.7288776300000004e-07,4.573674,0.460204
3.75712671e-07,4.522592,0.429045
3.7858070600000007e-07,4.470969,0.402499
3.8149286600000003e-07,4.423684,0.377776
3.8445017500000003e-07,4.383457,0.355153
3.87453692e-07,4.342591,0.341937
3.90504508e-07,4.301123,0.32026
3.9360375000000003e-07,4.265621,0.305195
3.9675258000000004e-07,4.229974,0.289987
3.99952198e-07,4.193717,0.274796
4.03203842e-07,4.163682,0.259085
4.06508791e-07,4.133033,0.243757
4.09868368e-07,4.101735,0.234125
4.13283938e-07,4.077261,0.223907
4.16756912e-07,4.058013,0.21369
4.2028875000000003e-07,4.029681,0.203474
4.2388096200000006e-07,4.0129,0.193257
4.27535108e-07,3.996535,0.18244
4.3125280400000006e-07,3.975639,0.181306
4.3503572400000006e-07,3.954648,0.157906
4.3888559700000005e-07,3.943078,0.142703
4.42804219e-07,3.916189,0.116189
4.4679344600000005e-07,3.902269,0.104629
4.50855205e-07,3.875322,0.031462
4.5499149100000004e-07,3.853578,0.034103
4.592043750000001e-07,3.815624,0.06906
4.6349600500000005e-07,3.774332,0.016275
4.67868609e-07,3.732445,0.009144
4.7232450000000005e-07,3.73035,0.01
4.76866082e-07,3.691868,0.010134
4.8149585e-07,3.660534,0.000179
4.86216397e-07,3.639995,0.0
4.910304210000001e-07,3.629698,0.0
4.95940725e-07,3.608436,0.0
5.00950227e-07,3.567391,0.0
5.06061964e-07,3.540292,0.0
5.11279098e-07,3.548552,0.0
5.16604922e-07,3.527259,0.0
5.22042869e-07,3.527604,0.0
5.27596516e-07,3.545582,0.0
5.33269597e-07,3.457378,0.0
5.390660060000001e-07,3.468832,0.0
5.449898080000001e-07,3.457601,0.0
5.5104525e-07,3.447791,0.0
5.5723677e-07,3.434483,0.0
5.63569006e-07,3.415891,0.0
5.700468110000001e-07,3.411332,0.0
5.76675262e-07,3.397025,0.0
5.834596770000001e-07,3.363865,0.0
5.904056250000001e-07,3.359915,0.0
5.975189460000001e-07,3.356503,0.0
6.04805762e-07,3.345643,0.0
6.122725e-07,3.335427,0.0
6.19925906e-07,3.324595,0.0
6.2777307e-07,3.320627,0.0
6.358214430000001e-07,3.310146,0.0
6.44078864e-07,3.293316,0.0
6.52553586e-07,3.290695,0.0
6.612543e-07,3.278105,0.0
6.70190169e-07,3.268897,0.0
6.793708560000001e-07,3.2719,0.0
6.888065630000001e-07,3.249443,0.0
6.98508064e-07,3.245419,0.0
7.084867500000001e-07,3.251057,0.0
7.18754674e-07,3.243253,0.0
7.293245960000001e-07,3.232604,0.0
7.402100380000001e-07,3.221851,0.0
7.51425341e-07,3.219656,0.0
7.629857310000001e-07,3.220472,0.0
7.74907383e-07,3.212886,0.0
7.872075000000001e-07,3.183844,0.0
7.999043950000001e-07,3.179011,0.0
8.13017582e-07,3.18935,0.0
8.26567875e-07,3.181148,0.0
8.405775000000001e-07,3.170646,0.0
8.55070216e-07,3.160293,0.0
8.700714480000001e-07,3.160033,0.0
8.85608438e-07,3.149992,0.0
9.01710409e-07,3.139738,0.0
9.184087500000002e-07,3.129863,0.0
9.35737217e-07,3.13011,0.0
9.53732164e-07,3.129231,0.0
9.72432794e-07,3.120053,0.0
9.9188145e-07,3.118516,0.0
1.01212393e-06,3.094183,0.0
1.03320984e-06,3.054775,0.0
1.05519303e-06,3.040542,0.0
1.0781320100000002e-06,3.052356,0.0
1.1020905e-06,3.061391,0.0
1.12713801e-06,3.06672,0.0
1.1533505200000001e-06,3.074055,0.0
1.1808112500000001e-06,3.080932,0.0
1.20961152e-06,3.085405,0.0
1.2398518099999999e-06,3.0848,0.0
1.2716428900000002e-06,3.08229,0.0
1.3051071700000002e-06,3.078328,0.0
1.34038034e-06,3.073364,0.0
1.3776131300000001e-06,3.06785,0.0
