wavelength[m],n,k
2.34e-07,2.629,4.1895
2.3600000000000002e-07,2.8067,4.1735
2.3800000000000001e-07,3.0026,4.1534
2.4000000000000003e-07,3.2099,4.1058
2.42e-07,3.4352,4.024
2.44e-07,3.5928,3.879
2.46e-07,3.7292,3.7282
2.48e-07,3.8155,3.5831
2.5000000000000004e-07,3.9087,3.4777
2.5200000000000003e-07,3.9777,3.3468
2.54e-07,4.0382,3.2648
2.56e-07,4.117,3.1611
2.58e-07,4.1941,3.0625
2.6e-07,4.2615,2.9145
2.62e-07,4.3019,2.7764
2.6400000000000003e-07,4.3061,2.6335
2.66e-07,4.2892,2.5047
2.68e-07,4.2572,2.3832
2.7e-07,4.2092,2.2902
2.72e-07,4.1566,2.2212
2.74e-07,4.1117,2.1539
2.7600000000000004e-07,4.0601,2.1135
2.7800000000000003e-07,4.0249,2.0823
2.8e-07,3.9886,2.0588
2.82e-07,3.9535,2.0402
2.84e-07,3.9257,2.0294
2.86e-07,3.898,2.0245
2.8800000000000004e-07,3.8783,2.0202
2.9000000000000003e-07,3.8618,2.0221
2.92e-07,3.8552,2.0192
2.94e-07,3.8416,2.0266
2.96e-07,3.8357,2.0319
2.98e-07,3.8331,2.0419
3.0000000000000004e-07,3.8343,2.0537
3.0200000000000003e-07,3.838,2.066
3.04e-07,3.8444,2.0839
3.06e-07,3.8522,2.1021
3.08e-07,3.8648,2.1227
3.1e-07,3.8862,2.1464
3.1200000000000004e-07,3.9071,2.17
3.1400000000000003e-07,3.9371,2.1991
3.16e-07,3.9628,2.2388
3.18e-07,4.001,2.2756
3.2e-07,4.0545,2.3275
3.22e-07,4.1223,2.383
3.2400000000000004e-07,4.2194,2.4381
3.2600000000000003e-07,4.3568,2.4959
3.28e-07,4.5162,2.5281
3.3e-07,4.7105,2.5224
3.32e-07,4.924,2.4612
3.34e-07,5.1374,2.3365
3.3600000000000004e-07,5.3093,2.1596
3.3800000000000004e-07,5.4341,1.9229
3.4000000000000003e-07,5.4825,1.6782
3.42e-07,5.4721,1.446
3.44e-07,5.4165,1.2565
3.46e-07,5.3443,1.1032
3.4800000000000005e-07,5.2642,0.9772
3.5000000000000004e-07,5.1857,0.8743
3.5200000000000003e-07,5.1071,0.7936
3.54e-07,5.036,0.7257
3.56e-07,4.9698,0.6683
3.58e-07,4.9058,0.6151
3.6000000000000005e-07,4.8534,0.5763
3.6200000000000004e-07,4.7987,0.5387
3.6400000000000003e-07,4.7487,0.5033
3.66e-07,4.702,0.4741
3.68e-07,4.6572,0.4477
3.7e-07,4.6153,0.4262
3.7200000000000005e-07,4.577,0.4044
3.7400000000000004e-07,4.5399,0.3847
3.7600000000000003e-07,4.5036,0.3658
3.78e-07,4.4736,0.3513
3.8e-07,4.4391,0.3364
3.82e-07,4.4046,0.3203
3.8400000000000005e-07,4.3764,0.3091
3.8600000000000004e-07,4.3511,0.2973
3.8800000000000003e-07,4.3243,0.2867
3.9e-07,4.3014,0.2752
3.92e-07,4.2764,0.2656
3.94e-07,4.257,0.2565
3.96e-07,4.2337,0.2477
3.9800000000000004e-07,4.2144,0.2394
4.0000000000000003e-07,4.1938,0.2314
4.02e-07,4.1745,0.2236
4.04e-07,4.1553,0.2159
4.06e-07,4.1379,0.2088
4.08e-07,4.1222,0.2019
4.1000000000000004e-07,4.1059,0.1971
4.1200000000000004e-07,4.0905,0.191
4.1400000000000003e-07,4.0772,0.1844
4.16e-07,4.0629,0.1785
4.18e-07,4.0486,0.1727
4.2e-07,4.0364,0.1669
4.2200000000000005e-07,4.025,0.1631
4.2400000000000004e-07,4.0128,0.1567
4.2600000000000003e-07,3.9947,0.1497
4.28e-07,3.9871,0.1438
4.3e-07,3.9803,0.136
4.32e-07,3.9693,0.1294
4.3400000000000005e-07,3.9613,0.1226
4.3600000000000004e-07,3.9526,0.1155
4.3800000000000003e-07,3.9451,0.1073
4.4e-07,3.9378,0.0965
4.42e-07,3.9287,0.0853
4.44e-07,3.9174,0.0734
4.4600000000000005e-07,3.9039,0.062
4.4800000000000004e-07,3.8897,0.0529
4.5000000000000003e-07,3.8748,0.0446
4.52e-07,3.861711,0.034169
4.54e-07,3.846882,0.025734
4.56e-07,3.830907,0.019086
4.5800000000000005e-07,3.814381,0.014011
4.6000000000000004e-07,3.7979,0.0103
4.6200000000000003e-07,3.782501,0.007842
4.64e-07,3.767833,0.006209
4.66e-07,3.754041,0.004944
4.68e-07,3.741158,0.003852
4.7000000000000005e-07,3.7291,0.003
4.7200000000000004e-07,3.718005,0.00229
4.7400000000000004e-07,3.707498,0.001731
4.7600000000000003e-07,3.697417,0.001306
4.78e-07,3.687503,0.000981
4.800000000000001e-07,3.6774,0.0007
4.82e-07,3.665983,0.000341
4.84e-07,3.654698,2.6e-05
4.86e-07,3.644612,-0.000144
4.88e-07,3.635912,-0.00018
4.900000000000001e-07,3.6279,-0.0002
4.92e-07,3.620264,-0.00033
4.940000000000001e-07,3.612868,-0.000501
4.96e-07,3.60536,-0.000726
4.98e-07,3.597708,-0.000981
5.000000000000001e-07,3.5902,-0.0012
5.02e-07,3.583093,-0.001244
5.040000000000001e-07,3.576238,-0.001272
5.06e-07,3.569646,-0.001425
5.08e-07,3.563269,-0.00169
5.1e-07,3.557,-0.0019
5.12e-07,3.550612,-0.001826
5.140000000000001e-07,3.544352,-0.001679
5.16e-07,3.538396,-0.001554
5.180000000000001e-07,3.53276,-0.001497
5.2e-07,3.5273,-0.0015
5.22e-07,3.521862,-0.001611
5.24e-07,3.516575,-0.00179
5.26e-07,3.511678,-0.002064
5.280000000000001e-07,3.507009,-0.00238
5.3e-07,3.502,-0.0026
5.32e-07,3.495369,-0.002443
5.34e-07,3.488719,-0.00221
5.36e-07,3.483354,-0.002104
5.380000000000001e-07,3.479341,-0.002152
5.4e-07,3.4755,-0.0022
5.420000000000001e-07,3.47057,-0.002083
5.44e-07,3.465505,-0.001954
5.46e-07,3.460728,-0.001901
5.48e-07,3.456316,-0.001938
5.5e-07,3.452,-0.002
5.520000000000001e-07,3.447522,-0.002012
5.54e-07,3.443133,-0.002056
5.560000000000001e-07,3.438993,-0.002241
5.58e-07,3.435123,-0.002522
5.6e-07,3.4314,-0.0027
5.620000000000001e-07,3.427935,-0.002414
5.64e-07,3.42433,-0.002057
5.660000000000001e-07,3.419969,-0.001908
5.68e-07,3.414994,-0.001996
5.7e-07,3.4103,-0.0021
5.72e-07,3.40733,-0.002006
5.74e-07,3.404623,-0.001871
5.760000000000001e-07,3.401218,-0.001736
5.78e-07,3.397001,-0.001636
5.800000000000001e-07,3.3927,-0.0016
5.82e-07,3.388948,-0.001766
5.84e-07,3.385356,-0.001939
5.860000000000001e-07,3.38178,-0.001933
5.88e-07,3.378236,-0.001754
5.900000000000001e-07,3.3749,-0.0016
5.92e-07,3.372053,-0.001748
5.94e-07,3.369394,-0.001928
5.96e-07,3.366758,-0.00198
5.98e-07,3.364081,-0.001872
6.000000000000001e-07,3.3614,-0.0017
6.02e-07,3.358709,-0.001446
6.040000000000001e-07,3.355982,-0.001249
6.06e-07,3.35315,-0.001321
6.08e-07,3.350245,-0.00163
6.100000000000001e-07,3.3474,-0.0019
6.12e-07,3.344834,-0.001726
6.140000000000001e-07,3.342341,-0.001495
6.16e-07,3.339787,-0.001443
6.180000000000001e-07,3.337167,-0.001602
6.2e-07,3.3346,-0.0018
6.22e-07,3.332454,-0.001932
6.240000000000001e-07,3.330125,-0.002
6.26e-07,3.326855,-0.00193
6.280000000000001e-07,3.322814,-0.001733
6.3e-07,3.3191,-0.0015
6.32e-07,3.317309,-0.0013
6.340000000000001e-07,3.31601,-0.001148
6.36e-07,3.314494,-0.001098
6.380000000000001e-07,3.312537,-0.001161
6.4e-07,3.3104,-0.0013
6.420000000000001e-07,3.307986,-0.001593
6.44e-07,3.305565,-0.001834
6.46e-07,3.303416,-0.001772
6.480000000000001e-07,3.301568,-0.001428
6.5e-07,3.2998,-0.0011
6.520000000000001e-07,3.297943,-0.001189
6.54e-07,3.296057,-0.001338
6.56e-07,3.294146,-0.001331
6.58e-07,3.292181,-0.001154
6.6e-07,3.2901,-0.001
6.620000000000001e-07,3.287658,-0.001042
6.64e-07,3.285241,-0.001189
6.660000000000001e-07,3.283179,-0.001509
6.68e-07,3.281514,-0.001922
6.7e-07,3.28,-0.0022
6.720000000000001e-07,3.27845,-0.001944
6.74e-07,3.276941,-0.001528
6.760000000000001e-07,3.275448,-0.001106
6.78e-07,3.273984,-0.000779
6.800000000000001e-07,3.2726,-0.0006
6.82e-07,3.271608,-0.00083
6.84e-07,3.27044,-0.001149
6.860000000000001e-07,3.268437,-0.00133
6.88e-07,3.265682,-0.001333
6.900000000000001e-07,3.263,-0.0013
6.92e-07,3.261384,-0.00139
6.94e-07,3.260136,-0.001425
6.960000000000001e-07,3.25907,-0.001207
6.98e-07,3.258053,-0.000794
7.000000000000001e-07,3.257,-0.0005
7.02e-07,3.255742,-0.00089
7.040000000000001e-07,3.254301,-0.001335
7.06e-07,3.252473,-0.001351
7.08e-07,3.250386,-0.000922
7.100000000000001e-07,3.2485,-0.0005
7.12e-07,3.247799,-0.000654
7.140000000000001e-07,3.247102,-0.000847
7.16e-07,3.245373,-0.000694
7.18e-07,3.242663,-0.000209
7.200000000000001e-07,3.2401,0.0002
7.22e-07,3.239208,-4.9e-05
7.240000000000001e-07,3.238572,-0.000374
7.26e-07,3.237318,-0.000364
7.280000000000001e-07,3.235361,-8e-06
7.3e-07,3.2334,0.0003
7.32e-07,3.232124,8.2e-05
7.340000000000001e-07,3.231024,-0.000241
7.36e-07,3.229908,-0.000478
7.380000000000001e-07,3.228712,-0.000551
7.4e-07,3.2275,-0.0005
7.420000000000001e-07,3.22621,-0.000131
7.440000000000001e-07,3.224975,0.000202
7.46e-07,3.223938,0.000101
7.480000000000001e-07,3.223097,-0.000394
7.5e-07,3.2223,-0.0008
7.520000000000001e-07,3.221432,-0.00045
7.54e-07,3.2205,5.3e-05
