wavelength[m],n,k
2.06641969e-07,1.825,0.005332
2.1014437500000002e-07,1.812,0.003947
2.13767554e-07,1.799,0.002789
2.1751786200000003e-07,1.787,0.001833
2.21402109e-07,1.775,0.001055
2.25427602e-07,1.764,0.000436
2.2960218800000001e-07,1.754,0.0
2.33934304e-07,1.744,0.0
2.38433041e-07,1.734,0.0
2.4310819900000004e-07,1.725,0.0
2.47970363e-07,1.716,0.0
2.53030982e-07,1.707,0.0
2.58302461e-07,1.699,0.0
2.63798258e-07,1.692,0.0
2.6953300300000005e-07,1.684,0.0
2.75522625e-07,1.677,0.0
2.81784503e-07,1.671,0.0
2.88337631e-07,1.664,0.0
2.9520281300000004e-07,1.658,0.0
3.02402881e-07,1.653,0.0
3.09962953e-07,1.647,0.0
3.1791072100000004e-07,1.642,0.0
3.26276793e-07,1.637,0.0
3.35095085e-07,1.633,0.0
3.4440328100000003e-07,1.628,0.0
3.5424337500000004e-07,1.624,0.0
3.6466229800000006e-07,1.62,0.0
3.75712671e-07,1.617,0.0
3.87453692e-07,1.613,0.0
3.99952198e-07,1.61,0.0
4.13283938e-07,1.607,0.0
4.27535108e-07,1.604,0.0
4.42804219e-07,1.601,0.0
4.592043750000001e-07,1.599,0.0
4.76866082e-07,1.596,0.0
4.95940725e-07,1.594,0.0
5.16604922e-07,1.592,0.0
5.390660060000001e-07,1.59,0.0
5.63569006e-07,1.589,0.0
5.904056250000001e-07,1.587,0.0
6.19925906e-07,1.586,0.0
6.52553586e-07,1.584,0.0
6.888065630000001e-07,1.583,0.0
7.293245960000001e-07,1.582,0.0
7.74907383e-07,1.581,0.0
