wavelength[m],n,k
2.06641969e-07,0.935,2.416
2.08378456e-07,0.962625,2.43
2.1014437500000002e-07,0.985,2.444
2.1194048100000003e-07,1.004125,2.45975
2.13767554e-07,1.022,2.479
2.1562640200000003e-07,1.04025,2.505
2.1751786200000003e-07,1.062,2.535
2.1944279900000003e-07,1.091687,2.569312
2.21402109e-07,1.127,2.602
2.2339672300000003e-07,1.168125,2.627187
2.25427602e-07,1.212,2.645
2.2749574500000002e-07,1.257938,2.652625
2.2960218800000001e-07,1.299,2.653
2.3174800200000003e-07,1.32675,2.645562
2.33934304e-07,1.345,2.638
2.3616225000000003e-07,1.35325,2.638063
2.38433041e-07,1.356,2.645
2.40747925e-07,1.357,2.661312
2.4310819900000004e-07,1.358,2.685
2.4551521000000003e-07,1.3625,2.715625
2.47970363e-07,1.369,2.751
2.50475114e-07,1.377375,2.787938
2.53030982e-07,1.387,2.829
2.55639549e-07,1.396375,2.875438
2.58302461e-07,1.408,2.928
2.61021434e-07,1.423625,2.988125
2.63798258e-07,1.444,3.055
2.66634798e-07,1.470562,3.127937
2.6953300300000005e-07,1.503,3.208
2.7249490400000003e-07,1.539625,3.294812
2.75522625e-07,1.586,3.392
2.78618385e-07,1.643063,3.503063
2.81784503e-07,1.723,3.628
2.8502340500000006e-07,1.831251,3.777313
2.88337631e-07,1.989,3.923
2.91729838e-07,2.236,4.054563
2.9520281300000004e-07,2.522,4.13
2.9875947300000006e-07,2.822436,4.08675
3.02402881e-07,3.1,3.976
3.0613625e-07,3.300499,3.819876
3.09962953e-07,3.45,3.643
3.13886535e-07,3.551813,3.478063
3.1791072100000004e-07,3.62,3.323
3.22039432e-07,3.668187,3.188937
3.26276793e-07,3.701,3.069
3.3062715e-07,3.727937,2.960375
3.35095085e-07,3.748,2.862
3.3968542800000003e-07,3.76325,2.772125
3.4440328100000003e-07,3.774,2.69
3.49254032e-07,3.780563,2.613938
3.5424337500000004e-07,3.785,2.545
3.59377337e-07,3.789313,2.485375
3.6466229800000006e-07,3.794,2.43
3.7010501900000006e-07,3.802063,2.374125
3.75712671e-07,3.808,2.319
3.8149286600000003e-07,3.807,2.262312
3.87453692e-07,3.8,2.21
3.9360375000000003e-07,3.784625,2.16675
3.99952198e-07,3.766,2.134
4.06508791e-07,3.747125,2.116
4.13283938e-07,3.732,2.109
4.2028875000000003e-07,3.725875,2.111188
4.27535108e-07,3.728,2.121
4.3503572400000006e-07,3.739,2.136375
4.42804219e-07,3.76,2.157
4.50855205e-07,3.79075,2.181937
4.592043750000001e-07,3.836,2.211
4.67868609e-07,3.89425,2.248562
4.76866082e-07,3.984,2.28
4.86216397e-07,4.144688,2.307
4.95940725e-07,4.312,2.285
5.06061964e-07,4.434312,2.134625
5.16604922e-07,4.513,1.962
5.27596516e-07,4.51325,1.857937
5.390660060000001e-07,4.492,1.789
5.5104525e-07,4.493688,1.753688
5.63569006e-07,4.521,1.747
5.76675262e-07,4.580774,1.798937
5.904056250000001e-07,4.705,1.803
6.04805762e-07,5.026639,1.775021
6.19925906e-07,5.2496,1.378
6.358214430000001e-07,5.212387,1.062446
6.52553586e-07,5.0435,0.829
6.70190169e-07,4.931787,0.693563
6.888065630000001e-07,4.8247,0.611
7.084867500000001e-07,4.7348,0.538688
7.293245960000001e-07,4.6556,0.485
7.51425341e-07,4.587956,0.447125
7.74907383e-07,4.5224,0.416
7.999043950000001e-07,4.446598,0.379006
8.26567875e-07,4.37,0.344
8.55070216e-07,4.296607,0.313723
8.85608438e-07,4.230422,0.290912
9.184087500000002e-07,4.17545,0.278307
9.53732164e-07,4.135691,0.278648
9.9188145e-07,4.11515,0.294672
