wavelength[m],n,k
2.06641969e-07,1.894,0.9753
2.1014437500000002e-07,1.931,0.9762
2.13767554e-07,1.973,0.9751
2.1751786200000003e-07,2.019,0.9711
2.21402109e-07,2.07,0.9627
2.25427602e-07,2.126,0.9483
2.2960218800000001e-07,2.186,0.9259
2.33934304e-07,2.249,0.8933
2.38433041e-07,2.313,0.8484
2.4310819900000004e-07,2.374,0.7896
2.47970363e-07,2.427,0.717
2.53030982e-07,2.468,0.6322
2.58302461e-07,2.492,0.5395
2.63798258e-07,2.498,0.4447
2.6953300300000005e-07,2.486,0.3538
2.75522625e-07,2.458,0.2717
2.81784503e-07,2.42,0.2015
2.88337631e-07,2.376,0.1441
2.9520281300000004e-07,2.329,0.09888
3.02402881e-07,2.283,0.0645
3.09962953e-07,2.239,0.03912
3.1791072100000004e-07,2.199,0.02092
3.26276793e-07,2.162,0.008312
3.35095085e-07,2.129,0.0
3.4440328100000003e-07,2.1,0.0
3.5424337500000004e-07,2.074,0.0
3.6466229800000006e-07,2.052,0.0
3.75712671e-07,2.033,0.0
3.87453692e-07,2.016,0.0
3.99952198e-07,2.002,0.0
4.13283938e-07,1.99,0.0
4.27535108e-07,1.979,0.0
4.42804219e-07,1.971,0.0
4.592043750000001e-07,1.963,0.0
4.76866082e-07,1.957,0.0
4.95940725e-07,1.953,0.0
5.16604922e-07,1.949,0.0
5.390660060000001e-07,1.946,0.0
5.63569006e-07,1.944,0.0
5.904056250000001e-07,1.942,0.0
6.19925906e-07,1.941,0.0
6.52553586e-07,1.941,0.0
6.888065630000001e-07,1.941,0.0
7.293245960000001e-07,1.942,0.0
7.74907383e-07,1.943,0.0
