wavelength[m],n,k
2.06641969e-07,1.023,2.774
2.08378456e-07,1.0625,2.80225
2.1014437500000002e-07,1.108,2.831
2.1194048100000003e-07,1.1575,2.856
2.13767554e-07,1.209,2.873
2.1562640200000003e-07,1.262688,2.873375
2.1751786200000003e-07,1.31,2.866
2.1944279900000003e-07,1.340062,2.855812
2.21402109e-07,1.36,2.846
2.2339672300000003e-07,1.372937,2.842
2.25427602e-07,1.38,2.842
2.2749574500000002e-07,1.3835,2.845062
2.2960218800000001e-07,1.383,2.854
2.3174800200000003e-07,1.377625,2.8715
2.33934304e-07,1.371,2.897
2.3616225000000003e-07,1.366375,2.931438
2.38433041e-07,1.364,2.973
2.40747925e-07,1.365062,3.02
2.4310819900000004e-07,1.37,3.073
2.4551521000000003e-07,1.379812,3.132187
2.47970363e-07,1.394,3.197
2.50475114e-07,1.412063,3.266813
2.53030982e-07,1.435,3.342
2.55639549e-07,1.463563,3.422063
2.58302461e-07,1.498,3.509
2.61021434e-07,1.537563,3.60375
2.63798258e-07,1.586,3.709
2.66634798e-07,1.643937,3.825937
2.6953300300000005e-07,1.72,3.96
2.7249490400000003e-07,1.809687,4.120937
2.75522625e-07,1.953,4.297
2.78618385e-07,2.197689,4.514188
2.81784503e-07,2.516,4.669
2.8502340500000006e-07,2.936752,4.642375
2.88337631e-07,3.338,4.507
2.91729838e-07,3.585125,4.272563
2.9520281300000004e-07,3.745,4.009
2.9875947300000006e-07,3.830187,3.797751
3.02402881e-07,3.869,3.614
3.0613625e-07,3.893812,3.462751
3.09962953e-07,3.905,3.336
3.13886535e-07,3.91375,3.228563
3.1791072100000004e-07,3.92,3.137
3.22039432e-07,3.927562,3.05675
3.26276793e-07,3.936,2.986
3.3062715e-07,3.946312,2.921562
3.35095085e-07,3.958,2.863
3.3968542800000003e-07,3.970687,2.809062
3.4440328100000003e-07,3.985,2.759
3.49254032e-07,4.001062,2.712
3.5424337500000004e-07,4.02,2.667
3.59377337e-07,4.043563,2.624125
3.6466229800000006e-07,4.07,2.579
3.7010501900000006e-07,4.100312,2.526562
3.75712671e-07,4.128,2.469
3.8149286600000003e-07,4.147125,2.405437
3.87453692e-07,4.157,2.34
3.9360375000000003e-07,4.1545,2.273813
3.99952198e-07,4.141,2.215
4.06508791e-07,4.113312,2.1725
4.13283938e-07,4.082,2.145
4.2028875000000003e-07,4.055938,2.135563
4.27535108e-07,4.037,2.14
4.3503572400000006e-07,4.03025,2.1565
4.42804219e-07,4.035,2.181
4.50855205e-07,4.05225,2.20875
4.592043750000001e-07,4.082,2.24
4.67868609e-07,4.123937,2.2735
4.76866082e-07,4.18,2.309
4.86216397e-07,4.24925,2.346375
4.95940725e-07,4.34,2.384
5.06061964e-07,4.45675,2.43275
5.16604922e-07,4.61,2.455
5.27596516e-07,4.839063,2.40775
5.390660060000001e-07,5.062,2.318
5.5104525e-07,5.171687,2.200875
5.63569006e-07,5.283,2.049
5.76675262e-07,5.539312,1.8685
5.904056250000001e-07,5.748,1.634
6.04805762e-07,5.715437,1.276
6.19925906e-07,5.588,0.933
6.358214430000001e-07,5.445188,0.750313
6.52553586e-07,5.294,0.638
6.70190169e-07,5.17275,0.55675
6.888065630000001e-07,5.067,0.5
7.084867500000001e-07,4.976187,0.445375
7.293245960000001e-07,4.897,0.401
7.51425341e-07,4.82625,0.36975
7.74907383e-07,4.763,0.345
7.999043950000001e-07,4.705437,0.32475
8.26567875e-07,4.653,0.298
8.55070216e-07,4.603687,0.2425
8.85608438e-07,4.56,0.19
9.184087500000002e-07,4.526375,0.1745
9.53732164e-07,4.495,0.167
9.9188145e-07,4.455625,0.144813
1.03320984e-06,4.42,0.123
1.0781320100000002e-06,4.401563,0.111631
1.12713801e-06,4.385,0.103
1.1808112500000001e-06,4.355312,0.0911
1.2398518099999999e-06,4.325,0.0809
1.3051071700000002e-06,4.301875,0.080621
1.3776131300000001e-06,4.285,0.0745
1.4586491900000002e-06,4.283437,0.040022
1.54981477e-06,4.275,0.00567
1.65313575e-06,4.231625,0.001309
1.7712168800000001e-06,4.18,0.00028
1.90746433e-06,4.133125,0.003147
2.0664196900000003e-06,4.104,0.0
2.25427602e-06,4.086,0.0
2.47970363e-06,4.074,0.0
