wavelength[m],n,k
2.34e-07,1.4439,3.0094
2.3600000000000002e-07,1.4745,3.0365
2.3800000000000001e-07,1.4214,3.0466
2.4000000000000003e-07,1.4135,3.0846
2.42e-07,1.4311,3.1436
2.44e-07,1.4413,3.1806
2.46e-07,1.4565,3.2316
2.48e-07,1.4725,3.2861
2.5000000000000004e-07,1.488,3.3434
2.5200000000000003e-07,1.5069,3.3944
2.54e-07,1.5292,3.4555
2.56e-07,1.5517,3.5208
2.58e-07,1.5758,3.5836
2.6e-07,1.6083,3.6603
2.62e-07,1.6471,3.7289
2.6400000000000003e-07,1.6836,3.8062
2.66e-07,1.7239,3.8845
2.68e-07,1.7826,3.9765
2.7e-07,1.8416,4.0685
2.72e-07,1.9017,4.1721
2.74e-07,1.9987,4.2924
2.7600000000000004e-07,2.1073,4.4122
2.7800000000000003e-07,2.2629,4.5452
2.8e-07,2.4683,4.6646
2.82e-07,2.7195,4.731
2.84e-07,2.996,4.7306
2.86e-07,3.2476,4.6562
2.8800000000000004e-07,3.4605,4.5297
2.9000000000000003e-07,3.6244,4.3853
2.92e-07,3.7564,4.2339
2.94e-07,3.8306,4.0871
2.96e-07,3.891,3.9535
2.98e-07,3.9256,3.8356
3.0000000000000004e-07,3.9565,3.7249
3.0200000000000003e-07,3.9728,3.627
3.04e-07,3.9864,3.5408
3.06e-07,3.9894,3.4657
3.08e-07,3.9929,3.3984
3.1e-07,4.0015,3.3329
3.1200000000000004e-07,4.0096,3.273
3.1400000000000003e-07,4.0159,3.2218
3.16e-07,4.0085,3.1796
3.18e-07,4.0163,3.1352
3.2e-07,4.0193,3.0978
3.22e-07,4.0243,3.0619
3.2400000000000004e-07,4.031,3.0247
3.2600000000000003e-07,4.0312,2.9926
3.28e-07,4.0351,2.9603
3.3e-07,4.0379,2.9323
3.32e-07,4.0464,2.9043
3.34e-07,4.0566,2.8758
3.3600000000000004e-07,4.0557,2.8527
3.3800000000000004e-07,4.0636,2.8276
3.4000000000000003e-07,4.0665,2.8022
3.42e-07,4.0765,2.779
3.44e-07,4.0819,2.7578
3.46e-07,4.0819,2.7396
3.4800000000000005e-07,4.0907,2.7195
3.5000000000000004e-07,4.1006,2.697
3.5200000000000003e-07,4.1065,2.6787
3.54e-07,4.1117,2.6629
3.56e-07,4.1178,2.6453
3.58e-07,4.1275,2.6269
3.6000000000000005e-07,4.1371,2.6095
3.6200000000000004e-07,4.1467,2.5915
3.6400000000000003e-07,4.1608,2.5696
3.66e-07,4.1717,2.5526
3.68e-07,4.1843,2.5325
3.7e-07,4.1896,2.5142
3.7200000000000005e-07,4.2013,2.4944
3.7400000000000004e-07,4.2108,2.4715
3.7600000000000003e-07,4.2227,2.4462
3.78e-07,4.23,2.423
3.8e-07,4.2318,2.4005
3.82e-07,4.2383,2.3754
3.8400000000000005e-07,4.2381,2.3551
3.8600000000000004e-07,4.2418,2.332
3.8800000000000003e-07,4.2446,2.3086
3.9e-07,4.2467,2.2851
3.92e-07,4.2454,2.2632
3.94e-07,4.2385,2.2386
3.96e-07,4.2335,2.2184
3.9800000000000004e-07,4.2308,2.1954
4.0000000000000003e-07,4.2228,2.1806
4.02e-07,4.2153,2.1653
4.04e-07,4.2033,2.1515
4.06e-07,4.1931,2.1396
4.08e-07,4.1808,2.1295
4.1000000000000004e-07,4.1695,2.1223
4.1200000000000004e-07,4.1596,2.1162
4.1400000000000003e-07,4.1554,2.1081
4.16e-07,4.1457,2.1058
4.18e-07,4.1384,2.1015
4.2e-07,4.1304,2.1018
4.2200000000000005e-07,4.1253,2.102
4.2400000000000004e-07,4.1197,2.1035
4.2600000000000003e-07,4.1012,2.1108
4.28e-07,4.0974,2.1128
4.3e-07,4.0989,2.1156
4.32e-07,4.0966,2.1219
4.3400000000000005e-07,4.0951,2.1272
4.3600000000000004e-07,4.0971,2.1317
4.3800000000000003e-07,4.0996,2.1365
4.4e-07,4.1019,2.1434
4.42e-07,4.1036,2.1498
4.44e-07,4.1063,2.1574
4.4600000000000005e-07,4.1114,2.1628
4.4800000000000004e-07,4.1144,2.1706
4.5000000000000003e-07,4.1211,2.1767
4.52e-07,4.127636,2.184176
4.54e-07,4.13457,2.191652
4.56e-07,4.141945,2.19916
4.5800000000000005e-07,4.149807,2.206732
4.6000000000000004e-07,4.1582,2.2144
4.6200000000000003e-07,4.167253,2.222151
4.64e-07,4.17683,2.230114
4.66e-07,4.18674,2.238636
4.68e-07,4.197073,2.247536
4.7000000000000005e-07,4.2082,2.2561
4.7200000000000004e-07,4.220933,2.263174
4.7400000000000004e-07,4.234254,2.269823
4.7600000000000003e-07,4.247118,2.27659
4.78e-07,4.259701,2.283649
4.800000000000001e-07,4.2734,2.2908
4.82e-07,4.290498,2.297813
4.84e-07,4.308579,2.305142
4.86e-07,4.325988,2.31347
4.88e-07,4.342535,2.322589
4.900000000000001e-07,4.3595,2.3314
4.92e-07,4.377945,2.338238
4.940000000000001e-07,4.397298,2.344621
4.96e-07,4.417413,2.351455
4.98e-07,4.438335,2.358846
5.000000000000001e-07,4.4603,2.3661
5.02e-07,4.483365,2.372653
5.040000000000001e-07,4.507851,2.378786
5.06e-07,4.534374,2.384424
5.08e-07,4.562793,2.389668
5.1e-07,4.5922,2.3948
5.12e-07,4.620941,2.400651
5.140000000000001e-07,4.650912,2.406043
