wavelength[m],n,k
2.06641969e-07,1.389,0.0
2.08378456e-07,1.387275,0.0
2.1014437500000002e-07,1.385561,0.0
2.1194048100000003e-07,1.383869,0.0
2.13767554e-07,1.382205,0.0
2.1562640200000003e-07,1.38058,0.0
2.1751786200000003e-07,1.378997,0.0
2.1944279900000003e-07,1.377463,0.0
2.21402109e-07,1.375982,0.0
2.2339672300000003e-07,1.374555,0.0
2.25427602e-07,1.373188,0.0
2.2749574500000002e-07,1.371883,0.0
2.2960218800000001e-07,1.370639,0.0
2.3174800200000003e-07,1.369458,0.0
2.33934304e-07,1.368337,0.0
2.3616225000000003e-07,1.367272,0.0
2.38433041e-07,1.366254,0.0
2.40747925e-07,1.365278,0.0
2.4310819900000004e-07,1.364333,0.0
2.4551521000000003e-07,1.363411,0.0
2.47970363e-07,1.362507,0.0
2.50475114e-07,1.361616,0.0
2.53030982e-07,1.360734,0.0
2.55639549e-07,1.359861,0.0
2.58302461e-07,1.359001,0.0
2.61021434e-07,1.358153,0.0
2.63798258e-07,1.357322,0.0
2.66634798e-07,1.356508,0.0
2.6953300300000005e-07,1.355714,0.0
2.7249490400000003e-07,1.354939,0.0
2.75522625e-07,1.354185,0.0
2.78618385e-07,1.353453,0.0
2.81784503e-07,1.352743,0.0
2.8502340500000006e-07,1.352055,0.0
2.88337631e-07,1.351392,0.0
2.91729838e-07,1.350752,0.0
2.9520281300000004e-07,1.350137,0.0
2.9875947300000006e-07,1.349545,0.0
3.02402881e-07,1.348974,0.0
3.0613625e-07,1.34842,0.0
3.09962953e-07,1.347881,0.0
3.13886535e-07,1.347352,0.0
3.1791072100000004e-07,1.34683,0.0
3.22039432e-07,1.346312,0.0
3.26276793e-07,1.345798,0.0
3.3062715e-07,1.345285,0.0
3.35095085e-07,1.344773,0.0
3.3968542800000003e-07,1.344266,0.0
3.4440328100000003e-07,1.343763,0.0
3.49254032e-07,1.343267,0.0
3.5424337500000004e-07,1.342778,0.0
3.59377337e-07,1.342297,0.0
3.6466229800000006e-07,1.341825,0.0
3.7010501900000006e-07,1.341364,0.0
3.75712671e-07,1.340914,0.0
3.8149286600000003e-07,1.340476,0.0
3.87453692e-07,1.340052,0.0
3.9360375000000003e-07,1.339642,0.0
3.99952198e-07,1.339248,0.0
4.06508791e-07,1.338867,0.0
4.13283938e-07,1.3385,0.0
4.2028875000000003e-07,1.338143,0.0
4.27535108e-07,1.337795,0.0
4.3503572400000006e-07,1.337453,0.0
4.42804219e-07,1.337114,0.0
4.50855205e-07,1.336774,0.0
4.592043750000001e-07,1.336431,0.0
4.67868609e-07,1.336086,0.0
4.76866082e-07,1.335736,0.0
4.86216397e-07,1.335384,0.0
4.95940725e-07,1.335031,0.0
5.06061964e-07,1.334677,0.0
5.16604922e-07,1.334327,0.0
5.27596516e-07,1.333981,0.0
5.390660060000001e-07,1.333641,0.0
5.5104525e-07,1.333311,0.0
5.63569006e-07,1.332991,0.0
5.76675262e-07,1.332681,0.0
5.904056250000001e-07,1.332381,0.0
6.04805762e-07,1.33209,0.0
6.19925906e-07,1.331806,0.0
6.358214430000001e-07,1.331529,0.0
6.52553586e-07,1.331253,0.0
6.70190169e-07,1.330979,0.0
6.888065630000001e-07,1.330705,0.0
7.084867500000001e-07,1.330429,0.0
7.293245960000001e-07,1.330149,0.0
7.51425341e-07,1.329866,0.0
7.74907383e-07,1.329579,0.0
7.999043950000001e-07,1.329291,0.0
8.26567875e-07,1.329,0.0
