wavelength[m],n,k
2.5000000000000004e-07,2.1222,0.0
2.6250000000000003e-07,2.104825,0.0
2.75e-07,2.0887,0.0
2.875e-07,2.073775,0.0
3.0000000000000004e-07,2.06,0.0
3.125e-07,2.047344,0.0
3.25e-07,2.0357,0.0
3.375e-07,2.024963,0.0
3.5000000000000004e-07,2.0151,0.0
3.625e-07,2.006088,0.0
3.75e-07,1.9978,0.0
3.8750000000000005e-07,1.9901,0.0
4.0000000000000003e-07,1.983,0.0
4.125e-07,1.9765,0.0
4.25e-07,1.9705,0.0
4.3750000000000005e-07,1.9649,0.0
4.5000000000000003e-07,1.9597,0.0
4.625e-07,1.954881,0.0
4.75e-07,1.9504,0.0
4.875e-07,1.946206,0.0
5.000000000000001e-07,1.9423,0.0
5.125000000000001e-07,1.938681,0.0
5.250000000000001e-07,1.9353,0.0
5.375e-07,1.9321,0.0
5.5e-07,1.9291,0.0
5.625e-07,1.926312,0.0
5.75e-07,1.9237,0.0
5.875e-07,1.921231,0.0
6.000000000000001e-07,1.9189,0.0
6.125000000000001e-07,1.916688,0.0
6.25e-07,1.9146,0.0
6.375e-07,1.91265,0.0
6.5e-07,1.9108,0.0
6.625e-07,1.909,0.0
6.75e-07,1.9073,0.0
6.875000000000001e-07,1.905756,0.0
7.000000000000001e-07,1.9043,0.0
7.125000000000001e-07,1.902869,0.0
7.25e-07,1.9015,0.0
7.375e-07,1.900219,0.0
7.5e-07,1.899,0.0
7.625e-07,1.897825,0.0
7.750000000000001e-07,1.8967,0.0
7.875000000000001e-07,1.895625,0.0
8.000000000000001e-07,1.8946,0.0
8.125000000000001e-07,1.893631,0.0
8.25e-07,1.8927,0.0
8.375e-07,1.891775,0.0
8.5e-07,1.8909,0.0
8.625000000000001e-07,1.890131,0.0
8.750000000000001e-07,1.8894,0.0
8.875000000000001e-07,1.888669,0.0
9.000000000000001e-07,1.8879,0.0
