wavelength[m],n,k
1.30510717e-07,0.448,1.248
1.3120125e-07,0.461562,1.255937
1.31899129e-07,0.478,1.262
1.32604472e-07,0.493687,1.267812
1.33317399e-07,0.505,1.275
1.3403803400000002e-07,0.504375,1.28725
1.3476650100000002e-07,0.5,1.3
1.3550293e-07,0.497,1.307125
1.3624745200000001e-07,0.497,1.317
1.370002e-07,0.50575,1.34025
1.37761313e-07,0.516,1.364
1.38530929e-07,0.521188,1.37625
1.39309192e-07,0.525,1.385
1.4009625000000002e-07,0.529437,1.392062
1.40892251e-07,0.533,1.404
1.4169735e-07,0.533,1.434438
1.42511703e-07,0.535,1.464
1.4333547e-07,0.545438,1.472875
1.4416881500000002e-07,0.559,1.476
1.45011908e-07,0.573375,1.4815
1.45864919e-07,0.586,1.49
1.46728025e-07,0.591063,1.50675
1.4760140600000002e-07,0.596,1.526
1.48485247e-07,0.609062,1.544375
1.4937973600000003e-07,0.622,1.56
1.50285068e-07,0.627313,1.567875
1.51201441e-07,0.631,1.574
1.52129057e-07,0.637,1.583
1.53068125e-07,0.644,1.594
1.54018859e-07,0.652563,1.609187
1.54981477e-07,0.661,1.624
1.55956203e-07,0.667438,1.6335
1.56943267e-07,0.673,1.641
1.57942906e-07,0.677688,1.647313
1.5895536100000002e-07,0.683,1.655
1.59980879e-07,0.691188,1.667563
1.61019716e-07,0.7,1.683
1.6207213200000003e-07,0.7065,1.700687
1.6313839600000002e-07,0.715,1.72
1.64218783e-07,0.730687,1.741125
1.65313575e-07,0.748,1.761
1.66423062e-07,0.763063,1.775313
1.67547542e-07,0.776,1.788
1.68687321e-07,0.784,1.801813
1.6984271400000002e-07,0.792,1.816
1.71014043e-07,0.805063,1.831188
1.7220164100000002e-07,0.82,1.846
1.7340584800000002e-07,0.835687,1.858625
1.74627016e-07,0.851,1.871
1.7586550500000003e-07,0.864,1.88525
1.7712168800000002e-07,0.876,1.899
1.78395944e-07,0.88775,1.910125
1.79688669e-07,0.899,1.92
1.8100026500000003e-07,0.910063,1.928
1.8233114900000003e-07,0.92,1.938
1.8368175e-07,0.92625,1.956375
1.85052509e-07,0.934,1.975
1.8644388200000002e-07,0.949687,1.985562
1.87856335e-07,0.967,1.995
1.8929035300000003e-07,0.980938,2.009312
1.9074643300000002e-07,0.994,2.023
1.9222508700000001e-07,1.006875,2.030563
1.93726846e-07,1.02,2.038
1.95252254e-07,1.034375,2.050875
1.9680187500000001e-07,1.049,2.065
1.9837629000000002e-07,1.063563,2.077813
1.99976099e-07,1.077,2.09
2.01601921e-07,1.086625,2.10025
2.0325439600000004e-07,1.097,2.112
2.04934184e-07,1.112937,2.12975
2.06641969e-07,1.131,2.149
2.08378456e-07,1.149563,2.167188
2.1014437500000002e-07,1.168,2.183
2.1194048100000003e-07,1.185313,2.1915
2.13767554e-07,1.201,2.201
2.1562640200000003e-07,1.213125,2.22125
2.1751786200000003e-07,1.225,2.243
2.1944279900000003e-07,1.2395,2.258187
2.21402109e-07,1.256,2.273
2.2339672300000003e-07,1.2755,2.293375
2.25427602e-07,1.296,2.312
2.2749574500000002e-07,1.314938,2.320625
2.2960218800000001e-07,1.335,2.328
2.3174800200000003e-07,1.35975,2.341188
2.33934304e-07,1.384,2.357
2.3616225000000003e-07,1.403313,2.375938
2.38433041e-07,1.419,2.394
2.40747925e-07,1.4295,2.406125
2.4310819900000004e-07,1.439,2.416
2.4551521000000003e-07,1.451812,2.423562
2.47970363e-07,1.466,2.435
2.50475114e-07,1.48075,2.458375
2.53030982e-07,1.497,2.488
2.55639549e-07,1.51475,2.521125
2.58302461e-07,1.536,2.557
2.61021434e-07,1.564125,2.594375
2.63798258e-07,1.595,2.632
2.66634798e-07,1.624375,2.669125
2.6953300300000005e-07,1.656,2.703
2.7249490400000003e-07,1.691562,2.7275
2.75522625e-07,1.733,2.752
2.78618385e-07,1.782125,2.787
2.81784503e-07,1.841,2.823
2.8502340500000006e-07,1.915688,2.855813
2.88337631e-07,1.996,2.88
2.91729838e-07,2.074375,2.886125
2.9520281300000004e-07,2.149,2.882
2.9875947300000006e-07,2.216249,2.871313
3.02402881e-07,2.274,2.857
3.0613625e-07,2.314812,2.842875
3.09962953e-07,2.351,2.83
3.13886535e-07,2.394813,2.821438
3.1791072100000004e-07,2.439,2.815
3.22039432e-07,2.479625,2.808938
3.26276793e-07,2.519,2.805
3.3062715e-07,2.557625,2.804812
3.35095085e-07,2.597,2.807
3.3968542800000003e-07,2.637,2.811687
3.4440328100000003e-07,2.683,2.816
3.49254032e-07,2.741938,2.814813
3.5424337500000004e-07,2.809,2.815
3.59377337e-07,2.881,2.829625
3.6466229800000006e-07,2.96,2.835
3.7010501900000006e-07,3.051875,2.807875
3.75712671e-07,3.142,2.76
3.8149286600000003e-07,3.217937,2.690625
3.87453692e-07,3.279,2.614
3.9360375000000003e-07,3.316937,2.546563
3.99952198e-07,3.342,2.481
4.06508791e-07,3.362625,2.413438
4.13283938e-07,3.376,2.35
4.2028875000000003e-07,3.380375,2.297875
4.27535108e-07,3.381,2.25
4.3503572400000006e-07,3.384437,2.201312
4.42804219e-07,3.385,2.153
4.50855205e-07,3.380062,2.102813
4.592043750000001e-07,3.367,2.056
4.67868609e-07,3.33925,2.013937
4.76866082e-07,3.306,1.986
4.86216397e-07,3.271688,1.986
4.95940725e-07,3.244,2.002
5.06061964e-07,3.235125,2.032562
5.16604922e-07,3.236,2.06
5.27596516e-07,3.243562,2.057812
5.390660060000001e-07,3.252,2.051
5.5104525e-07,3.252625,2.058187
5.63569006e-07,3.251,2.072
5.76675262e-07,3.249062,2.091937
5.904056250000001e-07,3.249,2.116
6.04805762e-07,3.2535,2.140563
6.19925906e-07,3.263,2.17
6.358214430000001e-07,3.2775,2.210562
6.52553586e-07,3.301,2.253
6.70190169e-07,3.339625,2.288063
6.888065630000001e-07,3.387,2.322
7.084867500000001e-07,3.4385,2.360188
7.293245960000001e-07,3.495,2.396
7.51425341e-07,3.55525,2.423313
7.74907383e-07,3.621,2.446
7.999043950000001e-07,3.69425,2.4685
8.26567875e-07,3.773,2.483
8.55070216e-07,3.858625,2.481125
8.85608438e-07,3.943,2.469
9.184087500000002e-07,4.016875,2.449063
9.53732164e-07,4.085,2.424
9.9188145e-07,4.15075,2.3985
1.03320984e-06,4.209,2.369
1.0781320100000002e-06,4.251313,2.336688
1.12713801e-06,4.291,2.292
1.1808112500000001e-06,4.356937,2.220062
1.2398518099999999e-06,4.394,2.138
1.3051071700000002e-06,4.338438,2.045875
1.3776131300000001e-06,4.245,1.98
1.4586491900000002e-06,4.149687,1.98325
1.54981477e-06,4.045,2.036
1.65313575e-06,3.932063,2.128625
1.7712168800000001e-06,3.821,2.274
1.90746433e-06,3.723125,2.491625
2.0664196900000003e-06,3.636,2.752
2.25427602e-06,3.556687,3.004937
2.47970363e-06,3.498,3.332
2.7552262500000005e-06,3.457375,3.796625
3.0996295300000005e-06,3.478,4.403
3.5424337500000004e-06,3.579937,5.153313
4.132839380000001e-06,3.83,6.117
4.95940725e-06,4.327875,7.359001
6.199259060000001e-06,4.995,8.895
8.26567875e-06,5.797375,10.753
1.23985181e-05,6.701001,12.961
2.47970363e-05,12.36,25.382
