wavelength[m],n,k
2.0000000000000002e-07,1.42,1.715
2.05426357e-07,1.3904,1.71253
2.10852713e-07,1.38449,1.74254
2.1627907000000002e-07,1.37837,1.81765
2.21705426e-07,1.41347,1.91943
2.2713178300000003e-07,1.48102,2.01879
2.3255814000000002e-07,1.58918,2.09709
2.3798449600000002e-07,1.70315,2.14953
2.43410853e-07,1.82532,2.18488
2.4883720900000004e-07,1.94871,2.20017
2.54263566e-07,2.08103,2.19847
2.5968992200000005e-07,2.21539,2.1714
2.6511627900000004e-07,2.34176,2.11254
2.70542636e-07,2.44053,2.01983
2.7596899200000005e-07,2.49683,1.91966
2.8139534900000003e-07,2.51859,1.83246
2.86821705e-07,2.521,1.76408
2.92248062e-07,2.51925,1.71771
2.9767441900000003e-07,2.51648,1.6816
3.03100775e-07,2.51345,1.65464
3.08527132e-07,2.51123,1.63549
3.1395348800000003e-07,2.51,1.62078
3.19379845e-07,2.51039,1.61202
3.24806202e-07,2.51158,1.60664
3.3023255800000003e-07,2.5135,1.60575
3.35658915e-07,2.51747,1.6086
3.41085271e-07,2.5247,1.61474
3.46511628e-07,2.53302,1.62202
3.51937984e-07,2.54433,1.63229
3.5736434100000004e-07,2.55804,1.64453
3.62790698e-07,2.57339,1.65844
3.6821705400000006e-07,2.59289,1.67429
3.7364341100000004e-07,2.6157,1.69188
3.79069767e-07,2.64136,1.71023
3.8449612400000006e-07,2.67095,1.72884
3.8992248100000004e-07,2.70695,1.74946
3.95348837e-07,2.75034,1.76942
4.00775194e-07,2.80238,1.78589
4.0620155000000004e-07,2.8652,1.79412
4.11627907e-07,2.93182,1.7839
4.17054264e-07,2.99654,1.76297
4.2248062000000003e-07,3.04698,1.72866
4.27906977e-07,3.0851,1.6904
4.33333333e-07,3.11366,1.65377
4.3875969e-07,3.13428,1.62194
4.44186047e-07,3.15031,1.59522
4.49612403e-07,3.16321,1.57269
4.5503876000000003e-07,3.17572,1.55353
4.6046511600000006e-07,3.18712,1.53936
4.6589147300000005e-07,3.19823,1.52963
4.7131782900000003e-07,3.21092,1.52247
4.7674418600000006e-07,3.22608,1.51694
4.82170543e-07,3.24308,1.51613
4.875968990000001e-07,3.26424,1.5173
4.930232560000001e-07,3.28933,1.52098
4.98449612e-07,3.31924,1.52666
5.03875969e-07,3.35641,1.53335
5.09302326e-07,3.4046,1.53671
5.147286820000001e-07,3.46631,1.5282
5.20155039e-07,3.53257,1.51092
5.255813950000001e-07,3.59716,1.46959
5.31007752e-07,3.65085,1.4145
5.36434109e-07,3.68944,1.35293
5.41860465e-07,3.71049,1.29046
5.472868220000001e-07,3.72983,1.22989
5.52713178e-07,3.73744,1.17208
5.581395350000001e-07,3.73878,1.09812
5.63565891e-07,3.73692,1.06116
5.68992248e-07,3.73188,1.03174
5.74418605e-07,3.72503,0.992082
5.798449610000001e-07,3.71654,0.957393
5.85271318e-07,3.70768,0.925087
5.90697674e-07,3.69737,0.896062
5.96124031e-07,3.68859,0.862388
6.01550388e-07,3.67847,0.8438
6.069767440000001e-07,3.66921,0.820632
6.124031010000001e-07,3.65918,0.798298
6.178294570000001e-07,3.64931,0.778617
6.23255814e-07,3.64162,0.758913
6.28682171e-07,3.63226,0.742266
6.34108527e-07,3.62288,0.725243
6.395348840000001e-07,3.61438,0.709677
6.4496124e-07,3.6063,0.695678
6.503875970000001e-07,3.59837,0.682079
6.55813953e-07,3.5901,0.669477
6.6124031e-07,3.58195,0.658268
6.66666667e-07,3.57499,0.647408
6.720930230000001e-07,3.56676,0.637706
6.7751938e-07,3.56003,0.628228
6.829457360000001e-07,3.55359,0.618855
6.88372093e-07,3.54695,0.609737
6.9379845e-07,3.5402,0.600968
6.99224806e-07,3.53477,0.592596
7.046511630000001e-07,3.52947,0.584165
7.100775190000001e-07,3.52427,0.57635
7.15503876e-07,3.51927,0.56889
7.209302330000001e-07,3.51493,0.560424
7.26356589e-07,3.51068,0.554509
7.317829460000001e-07,3.50599,0.548765
7.37209302e-07,3.50049,0.542102
7.426356590000001e-07,3.49876,0.537119
7.48062016e-07,3.49598,0.531087
7.53488372e-07,3.49135,0.523477
7.58914729e-07,3.48677,0.517945
7.643410850000001e-07,3.4825,0.512857
7.69767442e-07,3.47872,0.508188
7.751937980000001e-07,3.4755,0.504604
7.80620155e-07,3.47208,0.501292
7.86046512e-07,3.4672,0.498061
7.91472868e-07,3.46403,0.49269
7.968992250000001e-07,3.46226,0.485553
8.023255810000001e-07,3.45658,0.487452
8.077519380000001e-07,3.45066,0.489739
8.131782950000001e-07,3.44783,0.483408
8.18604651e-07,3.44522,0.477803
8.240310080000001e-07,3.443,0.473539
8.29457364e-07,3.44111,0.468719
8.348837210000001e-07,3.43949,0.463433
8.403100780000001e-07,3.43786,0.458146
8.45736434e-07,3.43624,0.45286
8.51162791e-07,3.43461,0.447574
8.565891470000001e-07,3.43299,0.442288
8.62015504e-07,3.43137,0.437002
8.674418600000001e-07,3.42974,0.431716
8.72868217e-07,3.42812,0.42643
8.78294574e-07,3.42649,0.421144
8.8372093e-07,3.42487,0.415858
8.891472870000001e-07,3.42324,0.410572
8.94573643e-07,3.42162,0.405286
9.000000000000001e-07,3.42,0.4
