wavelength[m],n,k
2.0700000000000001e-07,1.434,2.112
2.08e-07,1.418652,2.096223
2.08e-07,1.405532,2.087022
2.09e-07,1.394244,2.083339
2.1e-07,1.382833,2.083067
2.1100000000000002e-07,1.369601,2.084376
2.1200000000000002e-07,1.355396,2.087196
2.1300000000000001e-07,1.343587,2.092916
2.14e-07,1.332654,2.102253
2.15e-07,1.321089,2.113969
2.16e-07,1.309903,2.128233
2.1700000000000002e-07,1.300605,2.144856
2.1800000000000002e-07,1.29338,2.162753
2.1800000000000002e-07,1.28751,2.182063
2.1900000000000002e-07,1.282295,2.203649
2.2e-07,1.27836,2.225534
2.21e-07,1.275815,2.247752
2.22e-07,1.275021,2.270737
2.2300000000000002e-07,1.276274,2.294425
2.2400000000000002e-07,1.278854,2.318821
2.2500000000000002e-07,1.282024,2.343922
2.26e-07,1.287198,2.36973
2.27e-07,1.29407,2.396359
2.2900000000000003e-07,1.302301,2.422929
2.3000000000000002e-07,1.311945,2.449077
2.3100000000000002e-07,1.323,2.476
2.32e-07,1.335425,2.502923
2.33e-07,1.349977,2.529193
2.34e-07,1.366213,2.554788
2.3500000000000003e-07,1.383494,2.579254
2.3600000000000002e-07,1.401231,2.60251
2.3700000000000002e-07,1.418826,2.625038
2.3800000000000001e-07,1.435687,2.646107
2.4000000000000003e-07,1.451279,2.665532
2.41e-07,1.464207,2.685694
2.42e-07,1.475041,2.70773
2.43e-07,1.484506,2.732461
2.44e-07,1.49276,2.760829
2.46e-07,1.50113,2.79273
2.4700000000000003e-07,1.511661,2.82962
2.48e-07,1.523503,2.870876
2.49e-07,1.538557,2.916214
2.5000000000000004e-07,1.557731,2.966517
2.5200000000000003e-07,1.580423,3.022152
2.53e-07,1.607542,3.081117
2.54e-07,1.642475,3.142789
2.56e-07,1.685638,3.20871
2.5700000000000004e-07,1.73842,3.27759
2.58e-07,1.803612,3.34819
2.6e-07,1.88325,3.417797
2.61e-07,1.977,3.481
2.62e-07,2.08507,3.536023
