wavelength[m],n,k
2.06641969e-07,1.875,0.567
2.1014437500000002e-07,1.921,0.5726
2.13767554e-07,1.971,0.5697
2.1751786200000003e-07,2.025,0.5555
2.21402109e-07,2.079,0.5284
2.25427602e-07,2.127,0.4877
2.2960218800000001e-07,2.166,0.4355
2.33934304e-07,2.192,0.3756
2.38433041e-07,2.203,0.3131
2.4310819900000004e-07,2.2,0.2531
2.47970363e-07,2.186,0.1991
2.53030982e-07,2.164,0.1529
2.58302461e-07,2.138,0.1149
2.63798258e-07,2.11,0.08452
2.6953300300000005e-07,2.082,0.06076
2.75522625e-07,2.054,0.04247
2.81784503e-07,2.028,0.02858
2.88337631e-07,2.004,0.01817
2.9520281300000004e-07,1.981,0.01046
3.02402881e-07,1.96,0.004853
3.09962953e-07,1.941,0.000855
3.1791072100000004e-07,1.923,0.0
3.26276793e-07,1.907,0.0
3.35095085e-07,1.892,0.0
3.4440328100000003e-07,1.878,0.0
3.5424337500000004e-07,1.865,0.0
3.6466229800000006e-07,1.853,0.0
3.75712671e-07,1.842,0.0
3.87453692e-07,1.832,0.0
3.99952198e-07,1.822,0.0
4.13283938e-07,1.813,0.0
4.27535108e-07,1.805,0.0
4.42804219e-07,1.797,0.0
4.592043750000001e-07,1.789,0.0
4.76866082e-07,1.782,0.0
4.95940725e-07,1.776,0.0
5.16604922e-07,1.769,0.0
5.390660060000001e-07,1.763,0.0
5.63569006e-07,1.757,0.0
5.904056250000001e-07,1.752,0.0
6.19925906e-07,1.746,0.0
6.52553586e-07,1.741,0.0
6.888065630000001e-07,1.736,0.0
7.293245960000001e-07,1.731,0.0
7.74907383e-07,1.726,0.0
