wavelength[m],n,k
2.06641969e-07,1.34397,2.26768
2.0733307900000002e-07,1.325074,2.214232
2.0802882800000003e-07,1.306591,2.287556
2.08729261e-07,1.321711,2.273331
2.09434428e-07,1.304423,2.26295
2.1014437500000002e-07,1.32016,2.269408
2.1085915200000002e-07,1.312537,2.290522
2.11578808e-07,1.307405,2.27934
2.1230339300000001e-07,1.305534,2.287576
2.1303295800000003e-07,1.299284,2.29994
2.13767554e-07,1.303303,2.309068
2.1450723400000003e-07,1.300766,2.325693
2.15252051e-07,1.299994,2.341211
2.1600205800000003e-07,1.302024,2.353607
2.1675731e-07,1.302834,2.363872
2.1751786200000003e-07,1.304424,2.377073
2.1828377e-07,1.302179,2.393675
2.19055091e-07,1.308134,2.411402
2.1983188200000003e-07,1.310178,2.424643
2.20614202e-07,1.312373,2.444598
2.21402109e-07,1.316382,2.461717
2.2219566500000002e-07,1.321616,2.476729
2.2299493000000003e-07,1.327936,2.493206
2.2379996600000001e-07,1.332543,2.511296
2.24610836e-07,1.337993,2.529669
2.25427602e-07,1.344934,2.546832
2.2625033100000001e-07,1.35233,2.56456
2.27079087e-07,1.359657,2.586217
2.2791393600000002e-07,1.368511,2.605148
2.28754947e-07,1.37694,2.624696
2.2960218800000001e-07,1.387652,2.645684
2.30455727e-07,1.397733,2.664761
2.31315637e-07,1.407819,2.685401
2.32181987e-07,1.419623,2.705803
2.3305485200000004e-07,1.431234,2.726876
2.33934304e-07,1.443392,2.748876
2.34820419e-07,1.457207,2.770506
2.35713272e-07,1.469053,2.79506
2.3661294100000003e-07,1.48339,2.816856
2.3751950400000003e-07,1.497513,2.840042
2.38433041e-07,1.513881,2.864693
2.3935363200000003e-07,1.529879,2.889527
2.4028135900000004e-07,1.547013,2.914276
2.4121630600000003e-07,1.564289,2.93965
2.42158557e-07,1.582931,2.966477
2.4310819900000004e-07,1.601524,2.994569
2.44065318e-07,1.623115,3.023293
2.4503000300000003e-07,1.64555,3.052163
2.46002344e-07,1.669075,3.083117
2.46982433e-07,1.69531,3.114563
2.47970363e-07,1.724777,3.148116
2.48966227e-07,1.756539,3.182637
2.4997012400000003e-07,1.79092,3.216831
2.50982148e-07,1.829332,3.252056
2.52002401e-07,1.87043,3.287891
2.53030982e-07,1.916128,3.322188
2.5406799400000003e-07,1.964163,3.355449
2.55113542e-07,2.018334,3.387546
2.5616773e-07,2.075161,3.417073
2.57230667e-07,2.137177,3.444207
2.58302461e-07,2.202668,3.467635
2.59383224e-07,2.272506,3.48721
2.6047307e-07,2.345234,3.502368
2.61572112e-07,2.420465,3.512558
2.6268046900000003e-07,2.496965,3.516805
2.63798258e-07,2.576613,3.515609
2.64925601e-07,2.656602,3.507941
2.66062621e-07,2.736219,3.494683
2.6720944200000006e-07,2.815067,3.475086
2.68366193e-07,2.892607,3.448876
2.6953300300000005e-07,2.966359,3.417437
2.70710003e-07,3.037062,3.380782
2.7189732700000004e-07,3.103892,3.340451
2.7309511300000004e-07,3.166476,3.297288
2.74303498e-07,3.225788,3.251441
2.75522625e-07,3.280611,3.202246
2.76752637e-07,3.334889,3.151256
2.7799368e-07,3.383405,3.096889
2.7924590400000003e-07,3.429965,3.039564
2.8050946e-07,3.469995,2.979416
2.81784503e-07,3.505975,2.91657
2.8307119000000003e-07,3.53593,2.852386
