wavelength[m],n,k
2.2500000000000002e-07,1.114873,2.453886
2.3000000000000002e-07,1.200166,2.473276
2.3500000000000003e-07,1.258545,2.472472
2.4000000000000003e-07,1.282696,2.4746
2.4500000000000004e-07,1.283786,2.499016
2.5000000000000004e-07,1.278717,2.551042
2.55e-07,1.279459,2.626911
2.6e-07,1.29203,2.720987
2.65e-07,1.319234,2.82889
2.7e-07,1.363004,2.947788
2.75e-07,1.425672,3.075729
2.8e-07,1.510589,3.210764
2.85e-07,1.622238,3.35023
2.9000000000000003e-07,1.766494,3.488312
2.9500000000000003e-07,1.948954,3.616206
3.0000000000000004e-07,2.17287,3.719484
3.0500000000000004e-07,2.434393,3.778604
3.1e-07,2.717132,3.77369
3.15e-07,2.991365,3.695178
3.2e-07,3.224311,3.553878
3.25e-07,3.397075,3.378134
3.3e-07,3.511867,3.197639
3.35e-07,3.583752,3.028835
3.4000000000000003e-07,3.626345,2.875842
3.4500000000000003e-07,3.646838,2.737983
3.5000000000000004e-07,3.64877,2.616145
3.5500000000000004e-07,3.636542,2.512868
3.6000000000000005e-07,3.616625,2.429414
3.65e-07,3.595804,2.363874
3.7e-07,3.578831,2.311474
3.75e-07,3.567042,2.266386
3.8e-07,3.558525,2.224007
3.85e-07,3.549773,2.182512
3.9e-07,3.537827,2.142813
3.9500000000000003e-07,3.521561,2.107191
4.0000000000000003e-07,3.501633,2.077784
4.0500000000000004e-07,3.479661,2.055792
4.1000000000000004e-07,3.45742,2.041443
4.1500000000000005e-07,3.436394,2.034308
4.2e-07,3.417651,2.03365
4.25e-07,3.401883,2.038666
4.3e-07,3.389517,2.048624
4.35e-07,3.38082,2.06292
4.4e-07,3.375994,2.081093
4.4500000000000003e-07,3.37525,2.102808
4.5000000000000003e-07,3.378875,2.127834
4.5500000000000004e-07,3.387293,2.155995
4.6000000000000004e-07,3.401121,2.187109
4.6500000000000005e-07,3.421216,2.220889
4.7000000000000005e-07,3.448712,2.2568
4.75e-07,3.484988,2.29386
4.800000000000001e-07,3.531439,2.331095
4.85e-07,3.589627,2.364455
4.900000000000001e-07,3.65992,2.390829
4.95e-07,3.741259,2.405546
5.000000000000001e-07,3.830234,2.403884
5.05e-07,3.920903,2.382539
5.1e-07,4.00572,2.341204
5.15e-07,4.077514,2.283276
5.2e-07,4.131573,2.215041
5.250000000000001e-07,4.166646,2.143744
5.3e-07,4.184511,2.075684
5.350000000000001e-07,4.188711,2.015193
5.4e-07,4.182854,1.965089
5.450000000000001e-07,4.171507,1.925101
5.5e-07,4.156699,1.895216
5.550000000000001e-07,4.142012,1.875211
5.6e-07,4.128586,1.863825
5.65e-07,4.117752,1.860067
5.7e-07,4.110553,1.862992
5.75e-07,4.107862,1.871714
5.800000000000001e-07,4.110463,1.885379
5.85e-07,4.119107,1.903121
5.900000000000001e-07,4.134537,1.924003
5.95e-07,4.157473,1.94695
6.000000000000001e-07,4.188582,1.97069
6.05e-07,4.228396,1.993708
6.100000000000001e-07,4.277206,2.014219
6.15e-07,4.334935,2.030199
6.2e-07,4.400994,2.039474
6.25e-07,4.474172,2.039884
6.3e-07,4.55259,2.029508
6.350000000000001e-07,4.633759,2.006929
6.4e-07,4.714757,1.971474
6.450000000000001e-07,4.792524,1.923366
6.5e-07,4.864201,1.863729
6.550000000000001e-07,4.927443,1.794453
6.6e-07,4.980639,1.717928
6.650000000000001e-07,5.022992,1.636733
6.7e-07,5.054453,1.553352
6.75e-07,5.075579,1.469965
6.800000000000001e-07,5.087342,1.388324
6.85e-07,5.090939,1.309729
6.900000000000001e-07,5.087642,1.235054
6.95e-07,5.078689,1.164815
7.000000000000001e-07,5.065215,1.099246
7.05e-07,5.048222,1.03837
7.100000000000001e-07,5.028561,0.98207
7.15e-07,5.006943,0.93013
7.200000000000001e-07,4.983952,0.882285
7.25e-07,4.960056,0.838241
7.3e-07,4.935627,0.797697
7.350000000000001e-07,4.91096,0.760358
7.4e-07,4.886281,0.725943
7.450000000000001e-07,4.861768,0.694188
7.5e-07,4.83755,0.66485
7.550000000000001e-07,4.813729,0.637706
7.6e-07,4.790375,0.612553
7.650000000000001e-07,4.76754,0.589208
7.7e-07,4.745257,0.567505
7.750000000000001e-07,4.723549,0.547296
7.8e-07,4.702426,0.528447
7.85e-07,4.681893,0.510838
7.900000000000001e-07,4.661946,0.494361
7.95e-07,4.64258,0.478918
8.000000000000001e-07,4.623784,0.464422
8.05e-07,4.605545,0.450795
8.100000000000001e-07,4.58785,0.437966
8.15e-07,4.570684,0.425871
8.200000000000001e-07,4.554029,0.414452
8.25e-07,4.537251,0.403447
