wavelength[m],n,k
2.06641969e-07,1.336,2.113
2.08378456e-07,1.307875,2.148688
2.1014437500000002e-07,1.301,2.183
2.1194048100000003e-07,1.296188,2.229438
2.13767554e-07,1.299,2.28
2.1562640200000003e-07,1.30875,2.33125
2.1751786200000003e-07,1.325,2.383
2.1944279900000003e-07,1.348437,2.435062
2.21402109e-07,1.375,2.484
2.2339672300000003e-07,1.401812,2.523687
2.25427602e-07,1.426,2.562
2.2749574500000002e-07,1.442,2.6025
2.2960218800000001e-07,1.455,2.652
2.3174800200000003e-07,1.465563,2.71925
2.33934304e-07,1.482,2.802
2.3616225000000003e-07,1.51,2.901188
2.38433041e-07,1.558,3.016
2.40747925e-07,1.632124,3.154124
2.4310819900000004e-07,1.745,3.291
2.4551521000000003e-07,1.923749,3.408999
2.47970363e-07,2.131,3.495
2.50475114e-07,2.335251,3.517062
2.53030982e-07,2.546,3.514
2.55639549e-07,2.754939,3.535062
2.58302461e-07,2.984,3.517
2.61021434e-07,3.284375,3.406813
2.63798258e-07,3.56,3.223
2.66634798e-07,3.722436,2.939814
2.6953300300000005e-07,3.8,2.637
2.7249490400000003e-07,3.774125,2.389751
2.75522625e-07,3.697,2.186
2.78618385e-07,3.6145,2.046437
2.81784503e-07,3.527,1.948
2.8502340500000006e-07,3.451687,1.876125
2.88337631e-07,3.384,1.826
2.91729838e-07,3.3255,1.788063
2.9520281300000004e-07,3.275,1.762
2.9875947300000006e-07,3.232125,1.744812
3.02402881e-07,3.196,1.735
3.0613625e-07,3.165625,1.729938
3.09962953e-07,3.141,1.73
3.13886535e-07,3.121875,1.734875
3.1791072100000004e-07,3.108,1.744
3.22039432e-07,3.098938,1.756687
3.26276793e-07,3.095,1.773
3.3062715e-07,3.096312,1.792812
3.35095085e-07,3.103,1.816
3.3968542800000003e-07,3.11475,1.841937
3.4440328100000003e-07,3.133,1.872
3.49254032e-07,3.15825,1.9065
3.5424337500000004e-07,3.193,1.948
3.59377337e-07,3.232438,1.999438
3.6466229800000006e-07,3.299,2.06
3.7010501900000006e-07,3.419125,2.145625
3.75712671e-07,3.576,2.209
3.8149286600000003e-07,3.765875,2.210812
3.87453692e-07,3.976,2.143
3.9360375000000003e-07,4.221749,1.965375
3.99952198e-07,4.415,1.735
4.06508791e-07,4.441125,1.483188
4.13283938e-07,4.395,1.247
4.2028875000000003e-07,4.332688,1.086125
4.27535108e-07,4.256,0.964
4.3503572400000006e-07,4.187125,0.86475
4.42804219e-07,4.121,0.786
4.50855205e-07,4.060375,0.720875
4.592043750000001e-07,4.004,0.667
4.67868609e-07,3.9515,0.619813
4.76866082e-07,3.903,0.579
4.86216397e-07,3.85875,0.542875
4.95940725e-07,3.818,0.511
5.06061964e-07,3.780125,0.482313
5.16604922e-07,3.745,0.457
5.27596516e-07,3.71225,0.435375
5.390660060000001e-07,3.682,0.416
5.5104525e-07,3.654312,0.3975
5.63569006e-07,3.629,0.38
5.76675262e-07,3.605937,0.363125
5.904056250000001e-07,3.585,0.347
6.04805762e-07,3.56625,0.331438
6.19925906e-07,3.549,0.317
6.358214430000001e-07,3.532312,0.304563
6.52553586e-07,3.517,0.293
6.70190169e-07,3.5035,0.28175
6.888065630000001e-07,3.492,0.27
7.084867500000001e-07,3.483,0.256063
7.293245960000001e-07,3.476,0.242
7.51425341e-07,3.471188,0.229188
7.74907383e-07,3.467,0.218
7.999043950000001e-07,3.463275,0.214875
8.26567875e-07,3.456,0.203
8.55070216e-07,3.44015,0.161858
8.85608438e-07,3.4186,0.109
9.184087500000002e-07,3.392025,0.048783
9.53732164e-07,3.362,0.000281
9.9188145e-07,3.32865,0.006654
1.03320984e-06,3.297,0.0
1.0781320100000002e-06,3.273562,1.8e-05
1.12713801e-06,3.254,0.0
1.1808112500000001e-06,3.236125,0.0
1.2398518099999999e-06,3.22,0.0
1.3051071700000002e-06,3.204875,0.0
1.3776131300000001e-06,3.191,0.0
1.4586491900000002e-06,3.1785,0.0
1.54981477e-06,3.167,0.0
1.65313575e-06,3.156062,0.0
1.7712168800000001e-06,3.146,0.0
1.90746433e-06,3.1372,0.0
2.0664196900000003e-06,3.129,0.0
2.25427602e-06,3.121,0.0
2.47970363e-06,3.114,0.0
