wavelength[m],n,k
2.06641969e-07,1.537,0.1367
2.1014437500000002e-07,1.542,0.124
2.13767554e-07,1.545,0.1118
2.1751786200000003e-07,1.547,0.1002
2.21402109e-07,1.548,0.08929
2.25427602e-07,1.549,0.07915
2.2960218800000001e-07,1.549,0.06976
2.33934304e-07,1.548,0.06113
2.38433041e-07,1.546,0.05323
2.4310819900000004e-07,1.545,0.04603
2.47970363e-07,1.543,0.03951
2.53030982e-07,1.541,0.03362
2.58302461e-07,1.538,0.02833
2.63798258e-07,1.536,0.02359
2.6953300300000005e-07,1.534,0.01935
2.75522625e-07,1.531,0.01559
2.81784503e-07,1.529,0.01226
2.88337631e-07,1.527,0.009336
2.9520281300000004e-07,1.524,0.006773
3.02402881e-07,1.522,0.004545
3.09962953e-07,1.52,0.002624
3.1791072100000004e-07,1.518,0.000983
3.26276793e-07,1.516,0.0
3.35095085e-07,1.514,0.0
3.4440328100000003e-07,1.512,0.0
3.5424337500000004e-07,1.51,0.0
3.6466229800000006e-07,1.509,0.0
3.75712671e-07,1.507,0.0
3.87453692e-07,1.506,0.0
3.99952198e-07,1.504,0.0
4.13283938e-07,1.503,0.0
4.27535108e-07,1.502,0.0
4.42804219e-07,1.501,0.0
4.592043750000001e-07,1.5,0.0
4.76866082e-07,1.499,0.0
4.95940725e-07,1.498,0.0
5.16604922e-07,1.497,0.0
5.390660060000001e-07,1.496,0.0
5.63569006e-07,1.496,0.0
5.904056250000001e-07,1.495,0.0
6.19925906e-07,1.495,0.0
6.52553586e-07,1.494,0.0
6.888065630000001e-07,1.494,0.0
7.293245960000001e-07,1.493,0.0
7.74907383e-07,1.493,0.0
