wavelength[m],n,k
2.06641969e-07,1.23,1.91
2.0750658000000002e-07,1.013392,2.08071
2.08378456e-07,0.915925,2.163737
2.0925769000000002e-07,0.897122,2.189787
2.1014437500000002e-07,0.911309,2.193919
2.11038606e-07,0.93475,2.192718
2.1194048100000003e-07,0.946825,2.200068
2.12850097e-07,0.957597,2.20625
2.13767554e-07,0.968598,2.210412
2.1469295500000002e-07,0.979602,2.216706
2.1562640200000003e-07,0.988776,2.223516
2.1656800200000002e-07,0.99491,2.229635
2.1751786200000003e-07,1.000801,2.235846
2.1847609e-07,1.006951,2.242937
2.1944279900000003e-07,1.013101,2.252294
2.2041810000000003e-07,1.019215,2.263015
2.21402109e-07,1.02536,2.27476
2.2239494400000004e-07,1.031762,2.28764
2.2339672300000003e-07,1.038872,2.30169
2.24407568e-07,1.047207,2.316986
2.25427602e-07,1.056891,2.332503
2.26456952e-07,1.068268,2.347878
2.2749574500000002e-07,1.082036,2.36325
2.2854411300000002e-07,1.097987,2.37874
2.2960218800000001e-07,1.115795,2.394265
2.3067010500000002e-07,1.133969,2.408191
2.3174800200000003e-07,1.152682,2.41983
2.32836021e-07,1.173409,2.428509
2.33934304e-07,1.194378,2.435357
2.3504299800000001e-07,1.214664,2.440832
2.3616225000000003e-07,1.234315,2.444598
2.37292213e-07,1.252897,2.445919
2.38433041e-07,1.269916,2.443785
2.3958489100000004e-07,1.285087,2.440304
2.40747925e-07,1.297511,2.436544
2.4192230500000004e-07,1.304841,2.433124
2.4310819900000004e-07,1.308735,2.430448
2.44305776e-07,1.310712,2.428996
2.4551521000000003e-07,1.311096,2.429981
2.46736679e-07,1.310045,2.433868
2.47970363e-07,1.30716,2.44084
2.49216445e-07,1.303953,2.450977
2.50475114e-07,1.30148,2.464038
2.5174656100000003e-07,1.300565,2.478513
2.53030982e-07,1.301115,2.494721
2.54328577e-07,1.302819,2.513452
2.55639549e-07,1.304924,2.533641
2.56964106e-07,1.307495,2.554697
2.58302461e-07,1.311661,2.576014
2.5965483e-07,1.317453,2.597858
2.61021434e-07,1.32479,2.62051
2.624025e-07,1.332472,2.644308
2.63798258e-07,1.340712,2.66918
2.65208944e-07,1.350827,2.694752
2.66634798e-07,1.361632,2.721077
2.6807606800000003e-07,1.372692,2.74816
2.6953300300000005e-07,1.384873,2.776058
2.71005861e-07,1.398263,2.804545
2.7249490400000003e-07,1.41287,2.833253
2.74000401e-07,1.427976,2.862849
2.75522625e-07,1.443423,2.893801
2.77061858e-07,1.459593,2.926828
2.78618385e-07,1.476691,2.961313
2.8019250000000004e-07,1.494953,2.996757
2.81784503e-07,1.51502,3.034342
2.833947e-07,1.537061,3.074321
2.8502340500000006e-07,1.560736,3.116441
2.86670939e-07,1.587243,3.161333
2.88337631e-07,1.617422,3.209363
2.90023816e-07,1.651332,3.260362
2.91729838e-07,1.69041,3.314547
2.9345605e-07,1.736428,3.372291
2.9520281300000004e-07,1.791015,3.433323
2.96970494e-07,1.855797,3.496283
2.9875947300000006e-07,1.93247,3.558546
3.00570136e-07,2.022707,3.616161
3.02402881e-07,2.127807,3.665059
3.04258114e-07,2.245713,3.700386
3.0613625e-07,2.37267,3.718596
3.0803771700000003e-07,2.503593,3.715625
3.09962953e-07,2.631744,3.693768
3.11912406e-07,2.751755,3.655208
3.13886535e-07,2.861111,3.604239
3.15885812e-07,2.958698,3.544438
3.1791072100000004e-07,3.043847,3.479502
3.19961758e-07,3.117303,3.411223
3.22039432e-07,3.180534,3.341503
3.2414426500000006e-07,3.237126,3.272373
3.26276793e-07,3.287262,3.203515
3.28437566e-07,3.330997,3.134562
3.3062715e-07,3.369062,3.066112
3.32846124e-07,3.401354,2.998776
3.35095085e-07,3.426792,2.933227
3.37374643e-07,3.44692,2.870534
3.3968542800000003e-07,3.462846,2.811493
3.42028086e-07,3.474978,2.756452
3.4440328100000003e-07,3.484626,2.704683
3.4681169600000003e-07,3.493573,2.654975
3.49254032e-07,3.501137,2.607212
3.5173101100000005e-07,3.507085,2.561347
3.5424337500000004e-07,3.510999,2.517626
3.5679188900000003e-07,3.51327,2.476627
3.59377337e-07,3.514415,2.438854
3.62000529e-07,3.516436,2.403578
3.6466229800000006e-07,3.519754,2.369263
3.673635e-07,3.524357,2.33293
3.7010501900000006e-07,3.5276,2.295083
3.7288776300000004e-07,3.527644,2.256242
3.75712671e-07,3.524317,2.218151
3.7858070600000007e-07,3.517488,2.182049
3.8149286600000003e-07,3.506949,2.149293
3.8445017500000003e-07,3.494769,2.119686
3.87453692e-07,3.481713,2.092959
3.90504508e-07,3.466939,2.067636
3.9360375000000003e-07,3.451172,2.04548
3.9675258000000004e-07,3.435193,2.028344
3.99952198e-07,3.41896,2.015199
4.03203842e-07,3.403114,2.005579
4.06508791e-07,3.388906,1.998954
4.09868368e-07,3.376478,1.995192
4.13283938e-07,3.366,1.993984
4.16756912e-07,3.35747,1.994344
4.2028875000000003e-07,3.350697,1.996122
4.2388096200000006e-07,3.345319,1.999412
4.27535108e-07,3.341779,2.004256
4.3125280400000006e-07,3.340136,2.010566
4.3503572400000006e-07,3.339928,2.017996
4.3888559700000005e-07,3.341413,2.026574
4.42804219e-07,3.344874,2.036334
4.4679344600000005e-07,3.349806,2.046436
4.50855205e-07,3.356375,2.057081
4.5499149100000004e-07,3.365304,2.069503
4.592043750000001e-07,3.376489,2.082965
4.6349600500000005e-07,3.389954,2.097075
4.67868609e-07,3.405989,2.112413
4.7232450000000005e-07,3.424831,2.128661
4.76866082e-07,3.446763,2.145105
4.8149585e-07,3.471557,2.162087
4.86216397e-07,3.499551,2.180007
4.910304210000001e-07,3.531714,2.200236
4.95940725e-07,3.569603,2.221365
5.00950227e-07,3.614876,2.241754
5.06061964e-07,3.669379,2.263162
5.11279098e-07,3.736253,2.280935
5.16604922e-07,3.824084,2.286146
5.22042869e-07,3.919385,2.265094
5.27596516e-07,4.009381,2.210258
5.33269597e-07,4.073326,2.137563
5.390660060000001e-07,4.110854,2.059689
5.449898080000001e-07,4.128556,1.992572
5.5104525e-07,4.135039,1.935091
5.5723677e-07,4.136219,1.888066
5.63569006e-07,4.135356,1.850457
5.700468110000001e-07,4.1337,1.82084
5.76675262e-07,4.132169,1.797706
5.834596770000001e-07,4.13276,1.780843
5.904056250000001e-07,4.136466,1.769786
5.975189460000001e-07,4.143402,1.764133
6.04805762e-07,4.154508,1.762991
6.122725e-07,4.170796,1.765846
6.19925906e-07,4.193392,1.773696
6.2777307e-07,4.224796,1.787422
6.358214430000001e-07,4.265928,1.808213
6.44078864e-07,4.332577,1.842413
6.52553586e-07,4.436913,1.876637
6.612543e-07,4.610289,1.85381
6.70190169e-07,4.785148,1.757817
6.793708560000001e-07,4.881357,1.57749
6.888065630000001e-07,4.911435,1.397574
6.98508064e-07,4.889059,1.247445
7.084867500000001e-07,4.850066,1.1258
7.18754674e-07,4.802163,1.027958
7.293245960000001e-07,4.752841,0.94952
7.402100380000001e-07,4.703722,0.883037
7.51425341e-07,4.656249,0.827206
7.629857310000001e-07,4.611481,0.784127
7.74907383e-07,4.567971,0.748764
7.872075000000001e-07,4.52562,0.717844
7.999043950000001e-07,4.48596,0.68863
8.13017582e-07,4.450201,0.66221
8.26567875e-07,4.419554,0.640349
8.405775000000001e-07,4.400388,0.602316
8.55070216e-07,4.39326,0.544407
8.700714480000001e-07,4.39599,0.47142
8.85608438e-07,4.396381,0.406989
9.01710409e-07,4.38549,0.368346
9.184087500000002e-07,4.369344,0.343323
9.35737217e-07,4.349837,0.327899
9.53732164e-07,4.328637,0.318256
9.72432794e-07,4.306595,0.313909
9.9188145e-07,4.284427,0.313621
1.01212393e-06,4.26214,0.315821
1.03320984e-06,4.240155,0.319566
1.05519303e-06,4.21892,0.324012
1.0781320100000002e-06,4.199633,0.327638
1.1020905e-06,4.182871,0.329047
1.12713801e-06,4.1686,0.326717
1.1533505200000001e-06,4.15759,0.319813
1.1808112500000001e-06,4.15054,0.307383
1.20961152e-06,4.147855,0.287911
1.2398518099999999e-06,4.15,0.26
