wavelength[m],n,k
2.06641969e-07,1.805,0.851
2.1014437500000002e-07,1.831,0.862
2.13767554e-07,1.861,0.8725
2.1751786200000003e-07,1.894,0.8819
2.21402109e-07,1.931,0.8896
2.25427602e-07,1.972,0.8948
2.2960218800000001e-07,2.018,0.8963
2.33934304e-07,2.068,0.8929
2.38433041e-07,2.121,0.883
2.4310819900000004e-07,2.177,0.8653
2.47970363e-07,2.235,0.8381
2.53030982e-07,2.291,0.8004
2.58302461e-07,2.343,0.7521
2.63798258e-07,2.387,0.6939
2.6953300300000005e-07,2.421,0.6279
2.75522625e-07,2.443,0.5571
2.81784503e-07,2.453,0.4853
2.88337631e-07,2.45,0.416
2.9520281300000004e-07,2.436,0.3517
3.02402881e-07,2.415,0.2945
3.09962953e-07,2.388,0.2451
3.1791072100000004e-07,2.358,0.2035
3.26276793e-07,2.327,0.1692
3.35095085e-07,2.295,0.1414
3.4440328100000003e-07,2.264,0.1191
3.5424337500000004e-07,2.235,0.1016
3.6466229800000006e-07,2.208,0.08794
3.75712671e-07,2.182,0.07742
3.87453692e-07,2.159,0.06943
3.99952198e-07,2.137,0.06347
4.13283938e-07,2.118,0.05911
4.27535108e-07,2.1,0.05602
4.42804219e-07,2.084,0.05392
4.592043750000001e-07,2.069,0.05258
4.76866082e-07,2.056,0.05184
4.95940725e-07,2.044,0.05155
5.16604922e-07,2.033,0.05159
5.390660060000001e-07,2.022975,0.05184
5.63569006e-07,2.013901,0.052178
5.904056250000001e-07,2.00575,0.052486
6.19925906e-07,1.9985,0.052642
6.52553586e-07,1.992126,0.052525
6.888065630000001e-07,1.986602,0.052017
7.293245960000001e-07,1.9819,0.050995
7.74907383e-07,1.978,0.04934
