wavelength[m],n,k
1.9074643300000002e-07,0.95,1.54
1.9222508700000001e-07,0.943125,1.5675
1.93726846e-07,0.94,1.59
1.95252254e-07,0.939375,1.61
1.9680187500000001e-07,0.94,1.63
1.9837629000000002e-07,0.94,1.654375
1.99976099e-07,0.94,1.68
2.01601921e-07,0.939375,1.705
2.0325439600000004e-07,0.94,1.73
2.04934184e-07,0.94375,1.755625
2.06641969e-07,0.95,1.78
2.08378456e-07,0.96125,1.800625
2.1014437500000002e-07,0.97,1.82
2.1194048100000003e-07,0.965625,1.83875
2.13767554e-07,0.96,1.86
2.1562640200000003e-07,0.96375,1.88875
2.1751786200000003e-07,0.97,1.92
2.1944279900000003e-07,0.975,1.950625
2.21402109e-07,0.98,1.98
2.2339672300000003e-07,0.985,2.005
2.25427602e-07,0.99,2.03
2.2749574500000002e-07,0.994375,2.059375
2.2960218800000001e-07,1.0,2.09
2.3174800200000003e-07,1.009375,2.119375
2.33934304e-07,1.02,2.15
2.3616225000000003e-07,1.029375,2.184375
2.38433041e-07,1.04,2.22
2.40747925e-07,1.054375,2.255625
2.4310819900000004e-07,1.07,2.29
2.4551521000000003e-07,1.085,2.32
2.47970363e-07,1.1,2.35
2.50475114e-07,1.11375,2.384375
2.53030982e-07,1.13,2.42
2.55639549e-07,1.153125,2.455
2.58302461e-07,1.18,2.49
2.61021434e-07,1.20875,2.526875
2.63798258e-07,1.24,2.56
2.66634798e-07,1.275,2.58125
2.6953300300000005e-07,1.31,2.6
2.7249490400000003e-07,1.339375,2.625625
2.75522625e-07,1.37,2.65
2.78618385e-07,1.41,2.666875
2.81784503e-07,1.45,2.68
2.8502340500000006e-07,1.480625,2.69125
2.88337631e-07,1.51,2.7
2.91729838e-07,1.54625,2.706875
2.9520281300000004e-07,1.58,2.71
2.9875947300000006e-07,1.603125,2.706875
3.02402881e-07,1.62,2.7
3.0613625e-07,1.6325,2.69
3.09962953e-07,1.64,2.68
3.13886535e-07,1.643125,2.6725
3.1791072100000004e-07,1.64,2.67
3.22039432e-07,1.6275,2.6775
3.26276793e-07,1.61,2.69
3.3062715e-07,1.59125,2.700625
3.35095085e-07,1.57,2.72
3.3968542800000003e-07,1.54375,2.759375
3.4440328100000003e-07,1.52,2.81
3.49254032e-07,1.505,2.868125
3.5424337500000004e-07,1.5,2.93
3.59377337e-07,1.51125,2.99125
3.6466229800000006e-07,1.53,3.05
3.7010501900000006e-07,1.54875,3.100625
3.75712671e-07,1.57,3.15
3.8149286600000003e-07,1.59375,3.205625
3.87453692e-07,1.62,3.26
3.9360375000000003e-07,1.65,3.306875
3.99952198e-07,1.68,3.35
4.06508791e-07,1.70625,3.390625
4.13283938e-07,1.73,3.43
4.2028875000000003e-07,1.750625,3.46875
4.27535108e-07,1.77,3.51
4.3503572400000006e-07,1.79,3.5575
4.42804219e-07,1.81,3.61
4.50855205e-07,1.82875,3.668125
4.592043750000001e-07,1.85,3.73
4.67868609e-07,1.878125,3.79375
4.76866082e-07,1.91,3.86
4.86216397e-07,1.943125,3.929375
4.95940725e-07,1.98,4.0
5.06061964e-07,2.0225,4.07125
5.16604922e-07,2.07,4.14
5.27596516e-07,2.12375,4.20125
5.390660060000001e-07,2.18,4.26
5.5104525e-07,2.235,4.32125
5.63569006e-07,2.29,4.38
5.76675262e-07,2.345625,4.431875
5.904056250000001e-07,2.4,4.48
6.04805762e-07,2.4525,4.524375
6.19925906e-07,2.5,4.57
6.358214430000001e-07,2.536875,4.6225
6.52553586e-07,2.57,4.68
6.70190169e-07,2.60625,4.745
6.888065630000001e-07,2.64,4.81
7.084867500000001e-07,2.67,4.863125
7.293245960000001e-07,2.69,4.92
7.51425341e-07,2.69,4.9875
7.74907383e-07,2.68,5.08
7.999043950000001e-07,2.66,5.223125
8.26567875e-07,2.65,5.39
8.55070216e-07,2.675,5.56375
8.85608438e-07,2.72,5.74
9.184087500000002e-07,2.7825,5.905625
9.53732164e-07,2.85,6.07
9.9188145e-07,2.908125,6.23375
1.03320984e-06,2.96,6.41
1.0781320100000002e-06,3.0,6.616875
1.12713801e-06,3.04,6.84
1.1808112500000001e-06,3.0975,7.06625
1.2398518099999999e-06,3.15,7.31
1.3051071700000002e-06,3.18,7.57875
1.3776131300000001e-06,3.19,7.88
1.4586491900000002e-06,3.180625,8.2075
1.54981477e-06,3.14,8.61
1.65313575e-06,3.040625,9.126875
1.7712168800000001e-06,2.93,9.78
1.90746433e-06,2.835,10.60688
2.0664196900000003e-06,2.79,11.6
2.25427602e-06,2.8275,12.76313
2.47970363e-06,2.98,14.1
