wavelength[m],n,k
1.51201441e-07,1.191,1.744
1.53068125e-07,1.197,1.768
1.54981477e-07,1.207,1.796
1.56943267e-07,1.221,1.825
1.5895536100000002e-07,1.239,1.853
1.61019716e-07,1.26,1.881
1.6313839600000002e-07,1.282,1.908
1.65313575e-07,1.307,1.933
1.67547542e-07,1.333,1.955
1.6984271400000002e-07,1.361,1.975
1.7220164100000002e-07,1.392,1.995
1.74627016e-07,1.424,2.013
1.7712168800000002e-07,1.459,2.027
1.79688669e-07,1.495,2.037
1.8233114900000003e-07,1.531,2.046
1.85052509e-07,1.568,2.053
1.87856335e-07,1.604,2.057
1.9074643300000002e-07,1.641,2.058
1.93726846e-07,1.676,2.059
1.9680187500000001e-07,1.71,2.062
1.99976099e-07,1.745,2.066
2.0325439600000004e-07,1.78,2.068
2.06641969e-07,1.817,2.067
2.1014437500000002e-07,1.855,2.063
2.13767554e-07,1.896,2.06
2.1751786200000003e-07,1.94,2.057
2.21402109e-07,1.987,2.05
2.25427602e-07,2.035,2.038
2.2960218800000001e-07,2.084,2.022
2.33934304e-07,2.136,2.006
2.38433041e-07,2.189,1.99
2.4310819900000004e-07,2.24,1.975
2.47970363e-07,2.285,1.964
2.53030982e-07,2.317,1.955
2.58302461e-07,2.342,1.947
2.63798258e-07,2.365,1.939
2.6953300300000005e-07,2.386,1.932
2.75522625e-07,2.401,1.925
2.81784503e-07,2.41,1.921
2.88337631e-07,2.413,1.918
2.9520281300000004e-07,2.41,1.917
3.02402881e-07,2.402,1.919
