wavelength[m],n,k
2.25427602e-07,1.922,1.974
2.2960218800000001e-07,1.948,2.047
2.33934304e-07,1.965,2.05
2.38433041e-07,1.996,2.048
2.4310819900000004e-07,2.024,2.044
2.47970363e-07,2.056,2.043
2.53030982e-07,2.085,2.041
2.58302461e-07,2.108,2.042
2.63798258e-07,2.139,2.056
2.6953300300000005e-07,2.169,2.059
2.75522625e-07,2.196,2.071
2.81784503e-07,2.227,2.081
2.88337631e-07,2.259,2.099
2.9520281300000004e-07,2.303,2.117
3.02402881e-07,2.336,2.134
3.09962953e-07,2.382,2.15
3.1791072100000004e-07,2.42,2.166
3.26276793e-07,2.469,2.184
3.35095085e-07,2.523,2.205
3.4440328100000003e-07,2.581,2.226
3.5424337500000004e-07,2.664,2.269
3.6466229800000006e-07,2.752,2.272
3.75712671e-07,2.792,2.278
3.87453692e-07,2.855,2.286
3.99952198e-07,2.964,2.303
4.13283938e-07,3.064,2.304
4.27535108e-07,3.151,2.282
4.42804219e-07,3.236,2.234
4.592043750000001e-07,3.377,2.193
4.76866082e-07,3.424,2.125
4.95940725e-07,3.476,2.063
5.16604922e-07,3.529,2.002
5.390660060000001e-07,3.554,1.938
5.63569006e-07,3.573,1.88
5.904056250000001e-07,3.58,1.846
6.19925906e-07,3.581,1.813
6.52553586e-07,3.574,1.78
6.888065630000001e-07,3.558,1.775
7.293245960000001e-07,3.564,1.782
7.74907383e-07,3.551,1.824
8.26567875e-07,3.564,1.892
8.85608438e-07,3.641,2.006
9.53732164e-07,3.717,2.076
1.03320984e-06,3.764,2.092
1.12713801e-06,3.81,2.109
1.2398518099999999e-06,3.843,2.142
1.3776131300000001e-06,3.902,2.172
1.54981477e-06,3.912,2.263
1.7712168800000001e-06,3.938,2.267
2.0664196900000003e-06,3.939,2.675
