wavelength[m],n,k
2.5000000000000004e-07,2.350461,0.2113379
2.6e-07,2.355171,0.1801257
2.7e-07,2.351314,0.1544102
2.8e-07,2.341429,0.1331719
2.9000000000000003e-07,2.327366,0.1156021
3.0000000000000004e-07,2.310482,0.1010547
3.1e-07,2.291769,0.08900975
3.2e-07,2.271956,0.07904635
3.3e-07,2.251578,0.07082141
3.4000000000000003e-07,2.231025,0.06405398
3.5000000000000004e-07,2.210578,0.05851254
3.6000000000000005e-07,2.190439,0.05400554
3.7e-07,2.170753,0.05037373
3.8e-07,2.151616,0.04748415
3.9e-07,2.133092,0.04522533
4.0000000000000003e-07,2.11522,0.04350352
4.1000000000000004e-07,2.098022,0.04223955
4.2e-07,2.081505,0.04136638
4.3e-07,2.065663,0.04082706
4.4e-07,2.050488,0.04057307
4.5000000000000003e-07,2.035964,0.04056298
4.6000000000000004e-07,2.02207,0.0407613
4.7000000000000005e-07,2.008785,0.04113761
4.800000000000001e-07,1.996085,0.04166571
4.900000000000001e-07,1.983947,0.04232306
5.000000000000001e-07,1.972345,0.04309022
5.1e-07,1.961256,0.04395034
5.2e-07,1.950656,0.04488888
5.3e-07,1.940521,0.04589323
5.4e-07,1.930828,0.04695242
5.5e-07,1.921556,0.04805696
5.6e-07,1.912684,0.04919859
5.7e-07,1.904192,0.05037013
5.800000000000001e-07,1.896061,0.05156533
5.900000000000001e-07,1.888273,0.05277875
6.000000000000001e-07,1.88081,0.05400567
6.100000000000001e-07,1.873656,0.05524196
6.2e-07,1.866796,0.05648406
6.3e-07,1.860214,0.05772886
6.4e-07,1.853898,0.05897364
6.5e-07,1.847834,0.06021609
6.6e-07,1.842009,0.06145417
6.7e-07,1.836412,0.06268614
6.800000000000001e-07,1.831031,0.06391049
6.900000000000001e-07,1.825857,0.06512594
7.000000000000001e-07,1.820879,0.06633137
7.100000000000001e-07,1.816089,0.06752584
7.200000000000001e-07,1.811476,0.06870857
7.3e-07,1.807033,0.06987888
7.4e-07,1.802752,0.07103622
7.5e-07,1.798626,0.07218014
7.6e-07,1.794647,0.07331026
7.7e-07,1.790808,0.07442628
7.8e-07,1.787104,0.07552799
7.900000000000001e-07,1.783528,0.07661521
8.000000000000001e-07,1.780075,0.07768784
8.100000000000001e-07,1.776739,0.0787458
8.200000000000001e-07,1.773515,0.07978907
8.300000000000001e-07,1.770399,0.08081765
8.4e-07,1.767385,0.08183157
8.5e-07,1.76447,0.0828309
