wavelength[m],n,k
2.06641969e-07,1.69512,0.0
2.08378456e-07,1.683996,0.0
2.1014437500000002e-07,1.674701,0.0
2.1194048100000003e-07,1.666969,0.0
2.13767554e-07,1.660532,0.0
2.1562640200000003e-07,1.65512,0.0
2.1751786200000003e-07,1.650541,0.0
2.1944279900000003e-07,1.646161,0.0
2.21402109e-07,1.641464,0.0
2.2339672300000003e-07,1.636706,0.0
2.25427602e-07,1.63198,0.0
2.2749574500000002e-07,1.627427,0.0
2.2960218800000001e-07,1.623032,0.0
2.3174800200000003e-07,1.618779,0.0
2.33934304e-07,1.614664,0.0
2.3616225000000003e-07,1.610682,0.0
2.38433041e-07,1.606821,0.0
2.40747925e-07,1.603072,0.0
2.4310819900000004e-07,1.599429,0.0
2.4551521000000003e-07,1.595894,0.0
2.47970363e-07,1.592462,0.0
2.50475114e-07,1.589122,0.0
2.53030982e-07,1.585869,0.0
2.55639549e-07,1.582696,0.0
2.58302461e-07,1.579615,0.0
2.61021434e-07,1.57663,0.0
2.63798258e-07,1.573726,0.0
2.66634798e-07,1.5709,0.0
2.6953300300000005e-07,1.568153,0.0
2.7249490400000003e-07,1.565475,0.0
2.75522625e-07,1.562855,0.0
2.78618385e-07,1.560309,0.0
2.81784503e-07,1.557835,0.0
2.8502340500000006e-07,1.555421,0.0
2.88337631e-07,1.553063,0.0
2.91729838e-07,1.55076,0.0
2.9520281300000004e-07,1.54851,0.0
2.9875947300000006e-07,1.546312,0.0
3.02402881e-07,1.544183,0.0
3.0613625e-07,1.542115,0.0
3.09962953e-07,1.540088,0.0
3.13886535e-07,1.538107,0.0
3.1791072100000004e-07,1.536171,0.0
3.22039432e-07,1.534276,0.0
3.26276793e-07,1.532424,0.0
3.3062715e-07,1.530616,0.0
3.35095085e-07,1.52886,0.0
3.3968542800000003e-07,1.527157,0.0
3.4440328100000003e-07,1.525492,0.0
3.49254032e-07,1.523843,0.0
3.5424337500000004e-07,1.522123,0.0
3.59377337e-07,1.520503,0.0
3.6466229800000006e-07,1.519152,0.0
3.7010501900000006e-07,1.517744,0.0
3.75712671e-07,1.516219,0.0
3.8149286600000003e-07,1.514775,0.0
3.87453692e-07,1.513397,0.0
3.9360375000000003e-07,1.512043,0.0
3.99952198e-07,1.510722,0.0
4.06508791e-07,1.509437,0.0
4.13283938e-07,1.508184,0.0
4.2028875000000003e-07,1.506961,0.0
4.27535108e-07,1.505768,0.0
4.3503572400000006e-07,1.504585,0.0
4.42804219e-07,1.503406,0.0
4.50855205e-07,1.502279,0.0
4.592043750000001e-07,1.501247,0.0
4.67868609e-07,1.500468,0.0
4.76866082e-07,1.499537,0.0
4.86216397e-07,1.498151,0.0
4.95940725e-07,1.497011,0.0
5.06061964e-07,1.496196,0.0
5.16604922e-07,1.495309,0.0
5.27596516e-07,1.494394,0.0
5.390660060000001e-07,1.493509,0.0
5.5104525e-07,1.492648,0.0
5.63569006e-07,1.491812,0.0
5.76675262e-07,1.491002,0.0
5.904056250000001e-07,1.490213,0.0
6.04805762e-07,1.489439,0.0
6.19925906e-07,1.488691,0.0
6.358214430000001e-07,1.487971,0.0
6.52553586e-07,1.487269,0.0
6.70190169e-07,1.486584,0.0
6.888065630000001e-07,1.48592,0.0
7.084867500000001e-07,1.48528,0.0
7.293245960000001e-07,1.484665,0.0
7.51425341e-07,1.484065,0.0
7.74907383e-07,1.483478,0.0
7.999043950000001e-07,1.482913,0.0
8.26567875e-07,1.48237,0.0
8.55070216e-07,1.481848,0.0
8.85608438e-07,1.481337,0.0
9.184087500000002e-07,1.480837,0.0
9.53732164e-07,1.480369,0.0
9.9188145e-07,1.479922,0.0
1.03320984e-06,1.479482,0.0
1.0781320100000002e-06,1.479054,0.0
1.12713801e-06,1.478641,0.0
1.1808112500000001e-06,1.478254,0.0
1.2398518099999999e-06,1.4779,0.0
1.3051071700000002e-06,1.477587,0.0
1.3776131300000001e-06,1.477319,0.0
1.4586491900000002e-06,1.47711,0.0
1.54981477e-06,1.476961,0.0
1.65313575e-06,1.476871,0.0
1.7712168800000001e-06,1.476885,0.0
1.90746433e-06,1.476995,0.0
2.0664196900000003e-06,1.477134,0.0
2.25427602e-06,1.477451,0.0
2.47970363e-06,1.477738,0.0
